destination_id,status,verification_status,kb_alignment_status,formula_class,resolver,contributor_count,ep_compare_status,ep_relative_delta_pct,final_value,display_value,notes
runtime_mechanic_param::game_runtime.speed_multiplier,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,5.0,,
meta_progression_param::laboratory.speed_multiplier,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,2.78,,
canonical_stat::tower_damage,resolved,publishable,misaligned,,standard_scalar_stat,,matched_close,,6633613680.35703,,
canonical_stat::tower_attack_speed,resolved,publishable,misaligned,,standard_scalar_stat,,matched_exact,,41.505253125,,
canonical_stat::tower_crit_multiplier,resolved,publishable,misaligned,,standard_scalar_stat,,matched_exact,,168.192,,
canonical_stat::tower_range_m,resolved,publishable,misaligned,,standard_scalar_stat,,matched_close,,109.55999999999999,,
canonical_stat::tower_damage_per_meter_multiplier,resolved,publishable,misaligned,,standard_scalar_stat,,matched_exact,,0.13030102799999999,,
canonical_stat::tower_supercrit_chance_pct,resolved,publishable,misaligned,,pct_capped_scalar_stat,,matched_exact,,24.9,,
canonical_stat::tower_supercrit_multiplier,resolved,publishable,misaligned,,standard_scalar_stat,,matched_close,,35.660351999999996,,
canonical_stat::max_rend_mult,resolved,publishable,not_ep_compared,,standard_scalar_stat,,,,9.68,,
capability::capability.tower.light_speed_shots,resolved,publishable,not_ep_compared,,capability_passthrough,,,,True,,
canonical_stat::tower_hp,resolved,publishable,misaligned,,standard_scalar_stat,,matched_close,,6646573883674.219,,
canonical_stat::tower_regen,resolved,publishable,misaligned,,standard_scalar_stat,,matched_close,,44638496577799.34,,
canonical_stat::tower_defense_absolute,resolved,publishable,misaligned,,standard_scalar_stat,,matched_close,,318932406.89537853,,
canonical_stat::tower_defense_pct,resolved,publishable,misaligned,,pct_capped_scalar_stat,,matched_exact,,98.0,,
mechanic_param::lab.orb_speed_bonus,mapped_not_resolved,needs_work,not_ep_compared,,standard_scalar_param,,,,,,
mechanic_param::lab.land_mine_damage_multiplier,mapped_not_resolved,needs_work,not_ep_compared,,standard_scalar_param,,,,,,
mechanic_param::lab.land_mine_decay_seconds,mapped_not_resolved,needs_work,not_ep_compared,,standard_scalar_param,,,,,,
mechanic_param::lab.shockwave_size_bonus,mapped_not_resolved,needs_work,not_ep_compared,,standard_scalar_param,,,,,,
mechanic_param::lab.orb_boss_hit_enabled,mapped_not_resolved,needs_work,not_ep_compared,,standard_scalar_param,,,,,,
canonical_stat::wall_hp,resolved,publishable,misaligned,,standard_scalar_stat,,matched_close,,114134966730453.69,,
canonical_stat::wall_rebuild_seconds,resolved,publishable,not_ep_compared,,standard_scalar_stat,,,,150.0,,
canonical_stat::wall_regen,resolved,publishable,misaligned,,standard_scalar_stat,,matched_close,,234352107033446.56,,
canonical_stat::wall_thorns_damage_pct,resolved,publishable,not_ep_compared,,standard_scalar_stat,,,,15.0,,
canonical_stat::wall_invincibility_duration_seconds,resolved,publishable,not_ep_compared,,standard_scalar_stat,,,,0.0,,
canonical_stat::wall_fortification_multiplier,resolved,publishable,misaligned,,standard_scalar_stat,,non_numeric_compare,,10.4,,
capability::capability.tower.garlic_thorns,resolved,publishable,not_ep_compared,,capability_passthrough,,,,True,,
canonical_stat::cash_kill_multiplier,resolved,publishable,not_ep_compared,,standard_scalar_stat,,,,33.123414239999995,,
canonical_stat::cash_per_wave,resolved,publishable,not_ep_compared,,standard_scalar_stat,,,,9125.952,,
canonical_stat::coins_per_kill_bonus,resolved,publishable,misaligned,,standard_scalar_stat,,matched_exact,,41.8389654375,,
canonical_stat::coins_per_wave,resolved,publishable,not_ep_compared,,standard_scalar_stat,,,,667.5200000000001,,
canonical_stat::interest_per_wave_pct,resolved,publishable,not_ep_compared,,standard_scalar_stat,,,,132.103125,,
capability::capability.recovery_package.after_boss,resolved,publishable,not_ep_compared,,capability_passthrough,,,,True,,
canonical_stat::recovery_amount_pct,resolved,publishable,not_ep_compared,,standard_scalar_stat,,,,145.0,,
canonical_stat::max_recovery_multiplier,resolved,publishable,misaligned,,standard_scalar_stat,,non_comparable,,16.5,,
canonical_stat::package_chance_pct,resolved,publishable,misaligned,,pct_capped_scalar_stat,,matched_exact,,45.0,,
canonical_stat::enemy_attack_level_skip_pct,resolved,publishable,not_ep_compared,,pct_capped_scalar_stat,,,,55.83249999999999,,
canonical_stat::enemy_health_level_skip_pct,resolved,publishable,not_ep_compared,,pct_capped_scalar_stat,,,,51.74999999999999,,
mechanic_param::uw.smart_missiles.despawn_time_seconds,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,0.0,,
capability::capability.uw.smart_missiles.explosion,resolved,publishable,not_ep_compared,,capability_passthrough,,,,False,,
mechanic_param::uw.smart_missiles.explosion_radius_m,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,0.0,,
mechanic_param::uw.chrono_field.duration_seconds,resolved,publishable,not_ep_compared,,uw_duration_param,,,,55.0,,
mechanic_param::uw.chrono_field.damage_reduction_pct,resolved,publishable,not_ep_compared,,pct_capped_param,,,,20.0,,
mechanic_param::uw.poison_swamp.radius_m,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,0.0,,
capability::capability.uw.poison_swamp.stun,resolved,publishable,not_ep_compared,,capability_passthrough,,,,False,,
mechanic_param::uw.poison_swamp.stun_chance_pct,resolved,publishable,not_ep_compared,,pct_capped_param,,,,0.0,,
mechanic_param::uw.poison_swamp.stun_duration_seconds,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,0.0,,
mechanic_param::uw.golden_tower.bonus_multiplier,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,26.85000000000001,,
mechanic_param::uw.golden_tower.duration_seconds,resolved,publishable,not_ep_compared,,uw_duration_param,,,,41.0,,
capability::capability.uw.chain_lightning.shock,resolved,publishable,not_ep_compared,,capability_passthrough,,,,True,,
mechanic_param::shock.chance_pct,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,9.5,,
mechanic_param::shock.damage_multiplier,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,1.66,,
runtime_mechanic_param::uw.death_wave.coin_bonus_multiplier,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,2.5,,
mechanic_param::uw.inner_land_mines.blast_radius_m,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,0.0,,
mechanic_param::uw.inner_land_mines.rotation_speed,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,0.0,,
mechanic_param::uw.chrono_field.range_m,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,51.0,,
mechanic_param::uw.smart_missiles.chain_hit_damage_multiplier,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,1.0,,
capability::capability.uw.smart_missiles.barrage,resolved,publishable,not_ep_compared,,capability_passthrough,,,,False,,
mechanic_param::uw.smart_missiles.barrage_quantity,resolved,publishable,not_ep_compared,,integer_count_param,,,,0.0,,
capability::capability.uw.inner_land_mines.stun,resolved,publishable,not_ep_compared,,capability_passthrough,,,,False,,
mechanic_param::uw.black_hole.damage_pct_enemy_hp_per_second,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,2.0,,
capability::capability.uw.black_hole.extra_black_hole,resolved,publishable,not_ep_compared,,capability_passthrough,,,,True,,
runtime_mechanic_param::uw.black_hole.coin_bonus_multiplier,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,11.0,,
runtime_mechanic_param::uw.spotlight.coin_bonus_multiplier,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,3.0,,
mechanic_param::uw.spotlight.missiles_frequency_seconds,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,19.0,,
capability::capability.uw.black_hole.disable_ranged,resolved,publishable,not_ep_compared,,capability_passthrough,,,,False,,
mechanic_param::uw.smart_missiles.recharge_barrage_waves,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,0.0,,
capability::capability.uw.poison_swamp.rend,resolved,publishable,not_ep_compared,,capability_passthrough,,,,False,,
mechanic_param::uw.poison_swamp.rend_additional_enemies,resolved,publishable,not_ep_compared,,integer_count_param,,,,0.0,,
mechanic_param::uw.chain_lightning.max_enemy_damage_reduction_pct,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,36.0,,
mechanic_param::uw.chain_lightning.scatter_multiplier,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,11.25,,
mechanic_param::uw.death_wave.cells_bonus_multiplier,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,3.0,,
mechanic_param::uw.death_wave.damage_amplifier_multiplier_per_effect_wave,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,8.0,,
mechanic_param::uw.death_wave.armor_strip_count,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,0.0,,
mechanic_param::uw.inner_land_mines.chrono_jump_seconds,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,0.0,,
mechanic_param::lab.second_wind_blast_pct,mapped_not_resolved,needs_work,not_ep_compared,,standard_scalar_param,,,,,,
capability::capability.tower.double_death_ray,resolved,publishable,not_ep_compared,,capability_passthrough,,,,True,,
canonical_stat::tower_orb_count,resolved,publishable,not_ep_compared,,integer_count_stat,,,,8,,
environment_param::bc.energy_shield_extra_hit,mapped_not_resolved,needs_work,not_ep_compared,,standard_scalar_param,,,,,,
mechanic_param::lab.super_tower_bonus_multiplier,mapped_not_resolved,needs_work,not_ep_compared,,standard_scalar_param,,,,,,
mechanic_param::lab.recharge_second_wind_waves,mapped_not_resolved,needs_work,not_ep_compared,,standard_scalar_param,,,,,,
mechanic_param::lab.recharge_demon_mode_waves,mapped_not_resolved,needs_work,not_ep_compared,,standard_scalar_param,,,,,,
mechanic_param::lab.recharge_nuke_waves,mapped_not_resolved,needs_work,not_ep_compared,,standard_scalar_param,,,,,,
meta_progression_param::milestones.waves_required_delta,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,-13.0,,
