provenance,source_file,bot_name,track_name,level,medal_cost,track_value
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,duration_seconds,0,0.0,20.0
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,duration_seconds,1,100.0,20.5
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,duration_seconds,2,140.0,21.0
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,duration_seconds,3,180.0,21.5
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,duration_seconds,4,220.0,22.0
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,duration_seconds,5,260.0,22.5
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,duration_seconds,6,300.0,23.0
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,duration_seconds,7,340.0,23.5
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,duration_seconds,8,380.0,24.0
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,duration_seconds,9,420.0,24.5
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,duration_seconds,10,460.0,25.0
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,duration_seconds,11,500.0,25.5
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,duration_seconds,12,540.0,26.0
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,duration_seconds,13,580.0,26.5
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,duration_seconds,14,620.0,27.0
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,duration_seconds,15,660.0,27.5
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,duration_seconds,16,700.0,28.0
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,duration_seconds,17,740.0,28.5
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,duration_seconds,18,780.0,29.0
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,duration_seconds,19,820.0,29.5
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,duration_seconds,20,860.0,30.0
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,duration_seconds,21,Max,30.0
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,cooldown_seconds,0,0.0,120.0
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,cooldown_seconds,1,100.0,117.0
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,cooldown_seconds,2,140.0,114.0
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,cooldown_seconds,3,180.0,111.0
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,cooldown_seconds,4,220.0,108.0
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,cooldown_seconds,5,260.0,105.0
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,cooldown_seconds,6,300.0,102.0
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,cooldown_seconds,7,340.0,99.0
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,cooldown_seconds,8,380.0,96.0
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,cooldown_seconds,9,420.0,93.0
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,cooldown_seconds,10,460.0,90.0
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,cooldown_seconds,11,500.0,87.0
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,cooldown_seconds,12,540.0,84.0
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,cooldown_seconds,13,580.0,81.0
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,cooldown_seconds,14,620.0,78.0
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,cooldown_seconds,15,660.0,75.0
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,cooldown_seconds,16,Max,75.0
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,bonus_multiplier_x,0,0.0,3.5
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,bonus_multiplier_x,1,100.0,3.9
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,bonus_multiplier_x,2,140.0,4.3
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,bonus_multiplier_x,3,180.0,4.7
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,bonus_multiplier_x,4,220.0,5.1
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,bonus_multiplier_x,5,260.0,5.5
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,bonus_multiplier_x,6,300.0,5.9
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,bonus_multiplier_x,7,340.0,6.3
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,bonus_multiplier_x,8,380.0,6.7
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,bonus_multiplier_x,9,420.0,7.1
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,bonus_multiplier_x,10,460.0,7.5
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,bonus_multiplier_x,11,500.0,7.9
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,bonus_multiplier_x,12,540.0,8.3
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,bonus_multiplier_x,13,580.0,8.7
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,bonus_multiplier_x,14,620.0,9.1
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,bonus_multiplier_x,15,660.0,9.5
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,bonus_multiplier_x,16,700.0,9.9
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,bonus_multiplier_x,17,740.0,10.3
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,bonus_multiplier_x,18,780.0,10.7
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,bonus_multiplier_x,19,820.0,11.1
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,bonus_multiplier_x,20,860.0,11.5
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,bonus_multiplier_x,21,Max,11.5
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,range_meters,0,0.0,25.0
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,range_meters,1,100.0,27.0
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,range_meters,2,140.0,29.0
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,range_meters,3,180.0,31.0
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,range_meters,4,220.0,33.0
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,range_meters,5,260.0,35.0
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,range_meters,6,300.0,37.0
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,range_meters,7,340.0,39.0
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,range_meters,8,380.0,41.0
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,range_meters,9,420.0,43.0
effective_paths_sheet_export,kb/bots/sources/raw/effective-paths/sheet-exports/all-bots-values.csv,Amplify Bot,range_meters,10,460.0,45.0
