level,cost_medals,duration_seconds,cooldown_seconds,bonus_or_damage_reduction_or_linger,range_m,source_status,notes
1,100,20.5,117,3.9,27,live_wiki_row_verified,
2,140,21.0,114,4.3,29,live_wiki_row_verified,
3,180,21.5,111,4.7,31,live_wiki_row_verified,
4,220,22.0,108,5.1,33,live_wiki_row_verified,
5,260,22.5,105,5.5,35,live_wiki_row_verified,
6,300,23.0,102,5.9,37,live_wiki_row_verified,
7,340,23.5,99,6.3,39,live_wiki_row_verified,
8,380,24.0,96,6.7,41,live_wiki_row_verified,
9,420,24.5,93,7.1,43,live_wiki_row_verified,
10,460,25.0,90,7.5,45,live_wiki_row_verified,
11,500,25.5,87,7.9,47,live_wiki_row_verified,
12,540,26.0,84,8.3,49,live_wiki_row_verified,
13,580,26.5,81,8.7,51,live_wiki_row_verified,
14,620,27.0,78,9.1,53,live_wiki_row_verified,
15,660,27.5,75,9.5,55,live_wiki_row_verified,
16,700,28.0,,9.9,,live_wiki_row_verified,cooldown/range columns omitted on source page after stat caps
17,740,28.5,,10.3,,live_wiki_row_verified,cooldown/range columns omitted on source page after stat caps
18,780,29.0,,10.7,,live_wiki_row_verified,cooldown/range columns omitted on source page after stat caps
19,820,29.5,,11.1,,live_wiki_row_verified,cooldown/range columns omitted on source page after stat caps
20,860,30.0,,11.5,,live_wiki_row_verified,cooldown/range columns omitted on source page after stat caps
21,900,30.5,,11.9,,live_wiki_row_verified,cooldown/range columns omitted on source page after stat caps
22,940,31.0,,12.3,,live_wiki_row_verified,cooldown/range columns omitted on source page after stat caps
23,980,31.5,,12.7,,live_wiki_row_verified,cooldown/range columns omitted on source page after stat caps
24,1020,32.0,,13.1,,live_wiki_row_verified,cooldown/range columns omitted on source page after stat caps
25,1060,32.5,,13.5,,live_wiki_row_verified,cooldown/range columns omitted on source page after stat caps
26,1100,33.0,,13.9,,live_wiki_row_verified,cooldown/range columns omitted on source page after stat caps
27,1140,33.5,,14.3,,live_wiki_row_verified,cooldown/range columns omitted on source page after stat caps
28,1180,34.0,,14.7,,live_wiki_row_verified,cooldown/range columns omitted on source page after stat caps
29,1220,34.5,,15.1,,live_wiki_row_verified,cooldown/range columns omitted on source page after stat caps
30,1260,35.0,,15.5,,live_wiki_row_verified,cooldown/range columns omitted on source page after stat caps
