level,cost_medals,duration_seconds,cooldown_seconds,bonus_or_damage_reduction_or_linger,range_m,source_status,notes
1,100,20.5,117,2.2,22,live_wiki_row_verified,
2,140,21.0,114,2.4,24,live_wiki_row_verified,
3,180,21.5,111,2.6,26,live_wiki_row_verified,
4,220,22.0,108,2.8,28,live_wiki_row_verified,
5,260,22.5,105,3.0,30,live_wiki_row_verified,
6,300,23.0,102,3.2,32,live_wiki_row_verified,
7,340,23.5,99,3.4,34,live_wiki_row_verified,
8,380,24.0,96,3.6,36,live_wiki_row_verified,
9,420,24.5,93,3.8,38,live_wiki_row_verified,
10,460,25.0,90,4.0,40,live_wiki_row_verified,
11,500,25.5,87,4.2,42,live_wiki_row_verified,
12,540,26.0,84,4.4,44,live_wiki_row_verified,
13,580,26.5,81,4.6,46,live_wiki_row_verified,
14,620,27.0,78,4.8,48,live_wiki_row_verified,
15,660,27.5,75,5.0,50,live_wiki_row_verified,
16,700,28.0,,5.2,,live_wiki_row_verified,cooldown/range columns omitted on source page after stat caps
17,740,28.5,,5.4,,live_wiki_row_verified,cooldown/range columns omitted on source page after stat caps
18,780,29.0,,5.6,,live_wiki_row_verified,cooldown/range columns omitted on source page after stat caps
19,820,29.5,,5.8,,live_wiki_row_verified,cooldown/range columns omitted on source page after stat caps
20,860,30.0,,6.0,,live_wiki_row_verified,cooldown/range columns omitted on source page after stat caps
21,900,30.5,,6.2,,live_wiki_row_verified,cooldown/range columns omitted on source page after stat caps
22,940,31.0,,6.4,,live_wiki_row_verified,cooldown/range columns omitted on source page after stat caps
23,980,31.5,,6.6,,live_wiki_row_verified,cooldown/range columns omitted on source page after stat caps
24,1020,32.0,,6.8,,live_wiki_row_verified,cooldown/range columns omitted on source page after stat caps
25,1060,32.5,,7.0,,live_wiki_row_verified,cooldown/range columns omitted on source page after stat caps
26,1100,33.0,,7.2,,live_wiki_row_verified,cooldown/range columns omitted on source page after stat caps
27,1140,33.5,,7.4,,live_wiki_row_verified,cooldown/range columns omitted on source page after stat caps
28,1180,34.0,,7.6,,live_wiki_row_verified,cooldown/range columns omitted on source page after stat caps
29,1220,34.5,,7.8,,live_wiki_row_verified,cooldown/range columns omitted on source page after stat caps
30,1260,35.0,,8.0,,live_wiki_row_verified,cooldown/range columns omitted on source page after stat caps
