card_id,source_family,source_surface,target_layer,application_gate,status
AREA_OF_EFFECT,card_base_level,card-base-ladders.csv,base_card,equipped_and_slot_available,active_or_partial_bundle_surface
AREA_OF_EFFECT,card_mastery_level,card-masteries.csv,mastery,mastery_unlocked_and_card_equipped,active_where_mastery_exists
ATTACK_SPEED,card_base_level,card-base-ladders.csv,base_card,equipped_and_slot_available,active_or_partial_bundle_surface
ATTACK_SPEED,card_mastery_level,card-masteries.csv,mastery,mastery_unlocked_and_card_equipped,active_where_mastery_exists
BERSERKER,card_base_level,card-base-ladders.csv,base_card,equipped_and_slot_available,active_or_partial_bundle_surface
BERSERKER,card_mastery_level,card-masteries.csv,mastery,mastery_unlocked_and_card_equipped,active_where_mastery_exists
CASH,card_base_level,card-base-ladders.csv,base_card,equipped_and_slot_available,active_or_partial_bundle_surface
CASH,card_mastery_level,card-masteries.csv,mastery,mastery_unlocked_and_card_equipped,active_where_mastery_exists
COINS,card_base_level,card-base-ladders.csv,base_card,equipped_and_slot_available,active_or_partial_bundle_surface
COINS,card_mastery_level,card-masteries.csv,mastery,mastery_unlocked_and_card_equipped,active_where_mastery_exists
CRITICAL_CHANCE,card_base_level,card-base-ladders.csv,base_card,equipped_and_slot_available,active_or_partial_bundle_surface
CRITICAL_CHANCE,card_mastery_level,card-masteries.csv,mastery,mastery_unlocked_and_card_equipped,active_where_mastery_exists
CRITICAL_COIN,card_base_level,card-base-ladders.csv,base_card,equipped_and_slot_available,active_or_partial_bundle_surface
CRITICAL_COIN,card_mastery_level,card-masteries.csv,mastery,mastery_unlocked_and_card_equipped,active_where_mastery_exists
DAMAGE,card_base_level,card-base-ladders.csv,base_card,equipped_and_slot_available,active_or_partial_bundle_surface
DAMAGE,card_mastery_level,card-masteries.csv,mastery,mastery_unlocked_and_card_equipped,active_where_mastery_exists
DEATH_RAY,card_base_level,card-base-ladders.csv,base_card,equipped_and_slot_available,active_or_partial_bundle_surface
DEATH_RAY,card_mastery_level,card-masteries.csv,mastery,mastery_unlocked_and_card_equipped,active_where_mastery_exists
DEMON_MODE,card_base_level,card-base-ladders.csv,base_card,equipped_and_slot_available,active_or_partial_bundle_surface
DEMON_MODE,card_mastery_level,card-masteries.csv,mastery,mastery_unlocked_and_card_equipped,active_where_mastery_exists
ENEMY_BALANCE,card_base_level,card-base-ladders.csv,base_card,equipped_and_slot_available,active_or_partial_bundle_surface
ENEMY_BALANCE,card_mastery_level,card-masteries.csv,mastery,mastery_unlocked_and_card_equipped,active_where_mastery_exists
ENERGY_NET,card_base_level,card-base-ladders.csv,base_card,equipped_and_slot_available,active_or_partial_bundle_surface
ENERGY_NET,card_mastery_level,card-masteries.csv,mastery,mastery_unlocked_and_card_equipped,active_where_mastery_exists
ENERGY_SHIELD,card_base_level,card-base-ladders.csv,base_card,equipped_and_slot_available,active_or_partial_bundle_surface
ENERGY_SHIELD,card_mastery_level,card-masteries.csv,mastery,mastery_unlocked_and_card_equipped,active_where_mastery_exists
EXTRA_DEFENSE,card_base_level,card-base-ladders.csv,base_card,equipped_and_slot_available,active_or_partial_bundle_surface
