card_id,canonical_name,baseline_rarity,max_base_level,unlock_milestone,effect_category,mastery_available,status
AREA_OF_EFFECT,Area of Effect,epic,7,Tier 20 Wave 80,combat_special,yes,active_base_ladder_surface
ATTACK_SPEED,Attack Speed,common,7,start_of_base_card_pool,stat_modifier,yes,active_base_ladder_surface
BERSERKER,Berserker,epic,7,start_of_base_card_pool,conditional_runtime,yes,active_base_ladder_surface
CASH,Cash,common,7,start_of_base_card_pool,stat_modifier,yes,active_base_ladder_surface
COINS,Coins,common,7,start_of_base_card_pool,stat_modifier,yes,active_base_ladder_surface
CRITICAL_CHANCE,Critical Chance,common,7,start_of_base_card_pool,stat_modifier,yes,active_base_ladder_surface
CRITICAL_COIN,Critical Coin,rare,7,start_of_base_card_pool,economy_modifier,yes,active_base_ladder_surface
DAMAGE,Damage,common,7,start_of_base_card_pool,stat_modifier,yes,active_base_ladder_surface
DEATH_RAY,Death Ray,epic,7,start_of_base_card_pool,combat_special,yes,active_base_ladder_surface
DEMON_MODE,Demon Mode,epic,7,start_of_base_card_pool,conditional_runtime,yes,active_base_ladder_surface
ENEMY_BALANCE,Enemy Balance,common,7,start_of_base_card_pool,stat_modifier,yes,active_base_ladder_surface
ENERGY_NET,Energy Net,epic,7,start_of_base_card_pool,combat_special,yes,active_base_ladder_surface
ENERGY_SHIELD,Energy Shield,epic,7,start_of_base_card_pool,conditional_runtime,yes,active_base_ladder_surface
EXTRA_DEFENSE,Extra Defense,common,7,start_of_base_card_pool,stat_modifier,yes,active_base_ladder_surface
EXTRA_ORB,Extra Orb,rare,7,start_of_base_card_pool,orb_modifier,yes,active_base_ladder_surface
FORTRESS,Fortress,common,7,start_of_base_card_pool,conditional_runtime,yes,active_base_ladder_surface
FREE_UPGRADES,Free Upgrades,rare,7,start_of_base_card_pool,stat_modifier,yes,active_base_ladder_surface
HEALTH,Health,common,7,start_of_base_card_pool,stat_modifier,yes,active_base_ladder_surface
HEALTH_REGEN,Health Regen,common,7,start_of_base_card_pool,mixed_or_special,yes,active_base_ladder_surface
INTRO_SPRINT,Intro Sprint,rare,7,start_of_base_card_pool,wave_runtime,yes,active_base_ladder_surface
LAND_MINE_STUN,Land Mine Stun,rare,7,Tier 7 Wave 250,combat_special,yes,active_base_ladder_surface
NUKE,Nuke,epic,7,Tier 11 Wave 10,combat_special,yes,active_base_ladder_surface
RECOVERY_PACKAGE_CHANCE,Recovery Package Chance,rare,7,Tier 2 Wave 750,package_modifier,yes,active_base_ladder_surface
PLASMA_CANNON,Plasma Cannon,rare,7,start_of_base_card_pool,combat_special,yes,active_base_ladder_surface
RANGE,Range,common,7,start_of_base_card_pool,stat_modifier,yes,active_base_ladder_surface
SECOND_WIND,Second Wind,epic,7,start_of_base_card_pool,conditional_runtime,yes,active_base_ladder_surface
SLOW_AURA,Slow Aura,common,7,start_of_base_card_pool,crowd_control,yes,active_base_ladder_surface
SUPER_TOWER,Super Tower,epic,7,start_of_base_card_pool,conditional_runtime,yes,active_base_ladder_surface
ULTIMATE_CRIT,Ultimate Crit,epic,7,Tier 14 Wave 50,combat_special,yes,active_base_ladder_surface
WAVE_ACCELERATOR,Wave Accelerator,epic,7,start_of_base_card_pool,wave_runtime,yes,active_base_ladder_surface
WAVE_SKIP,Wave Skip,rare,7,start_of_base_card_pool,wave_runtime,yes,active_base_ladder_surface
