card,rarity,notes,status
damage,common,present in prior v7 notes,rebuilt_from_prior_notes
attack_speed,common,present in prior v7 notes,rebuilt_from_prior_notes
health,common,present in prior v7 notes,rebuilt_from_prior_notes
coins,common,present in prior v7 notes,rebuilt_from_prior_notes
slow_aura,rare,present in prior v7 notes,rebuilt_from_prior_notes
extra_defense,common,present in prior v7 notes,rebuilt_from_prior_notes
free_upgrades,common,present in prior v7 notes,rebuilt_from_prior_notes
extra_orb,rare,present in prior v7 notes,rebuilt_from_prior_notes
plasma_cannon,rare,present in prior v7 notes,rebuilt_from_prior_notes
critical_coin,rare,present in prior v7 notes,rebuilt_from_prior_notes
wave_skip,rare,present in prior v7 notes,rebuilt_from_prior_notes
intro_sprint,rare,present in prior v7 notes,rebuilt_from_prior_notes
