wave,surface,enemy_damage,source_class,source_file
1,Tier 1,1.18,repo_raw_table,enemy_damage_table.csv
10,Tier 1,4.81,repo_raw_table,enemy_damage_table.csv
20,Tier 1,13.65,repo_raw_table,enemy_damage_table.csv
30,Tier 1,28.76,repo_raw_table,enemy_damage_table.csv
40,Tier 1,50.41,repo_raw_table,enemy_damage_table.csv
50,Tier 1,81.33,repo_raw_table,enemy_damage_table.csv
60,Tier 1,120.19,repo_raw_table,enemy_damage_table.csv
70,Tier 1,167.99,repo_raw_table,enemy_damage_table.csv
80,Tier 1,229.96,repo_raw_table,enemy_damage_table.csv
90,Tier 1,304.54,repo_raw_table,enemy_damage_table.csv
100,Tier 1,402.95,repo_raw_table,enemy_damage_table.csv
150,Tier 1,1100.0,repo_raw_table,enemy_damage_table.csv
200,Tier 1,2420.0,repo_raw_table,enemy_damage_table.csv
250,Tier 1,4620.0,repo_raw_table,enemy_damage_table.csv
300,Tier 1,7740.0,repo_raw_table,enemy_damage_table.csv
400,Tier 1,19180.0,repo_raw_table,enemy_damage_table.csv
500,Tier 1,38940.0,repo_raw_table,enemy_damage_table.csv
750,Tier 1,155440.0,repo_raw_table,enemy_damage_table.csv
1000,Tier 1,482950.0,repo_raw_table,enemy_damage_table.csv
1250,Tier 1,1210000.0,repo_raw_table,enemy_damage_table.csv
1500,Tier 1,2610000.0,repo_raw_table,enemy_damage_table.csv
2000,Tier 1,10640000.0,repo_raw_table,enemy_damage_table.csv
2500,Tier 1,34180000.0,repo_raw_table,enemy_damage_table.csv
3000,Tier 1,101250000.0,repo_raw_table,enemy_damage_table.csv
3500,Tier 1,264950000.0,repo_raw_table,enemy_damage_table.csv
4500,Tier 1,1700000000.0,repo_raw_table,enemy_damage_table.csv
5000,Tier 1,3860000000.0,repo_raw_table,enemy_damage_table.csv
5500,Tier 1,8840000000.0,repo_raw_table,enemy_damage_table.csv
6000,Tier 1,19480000000.0,repo_raw_table,enemy_damage_table.csv
6500,Tier 1,42450000000.0,repo_raw_table,enemy_damage_table.csv
7000,Tier 1,90960000000.0,repo_raw_table,enemy_damage_table.csv
