lab_name,unlock,levels,per_level_change,max_change,source_page,family
Common Enemy Health Research,tier 9 wave 10,30,-0.40%,-12.00%,Enemies,common_health
Common Enemy Attack Research,tier 9 wave 10,30,-0.40%,-12.00%,Enemies,common_attack
Fast Enemy Health Research,tier 9 wave 20,30,-0.40%,-12.00%,Enemies,fast_health
Fast Enemy Attack Research,tier 9 wave 20,30,-0.40%,-12.00%,Enemies,fast_attack
Fast Enemy Speed Research,tier 9 wave 300,30,-0.40%,-12.00%,Enemies,fast_speed
Tank Enemy Health Research,tier 9 wave 20,30,-0.40%,-12.00%,Enemies,tank_health
Tank Enemy Attack Research,tier 9 wave 20,30,-0.40%,-12.00%,Enemies,tank_attack
Ranged Enemy Health Research,tier 9 wave 20,30,-0.40%,-12.00%,Enemies,ranged_health
Ranged Enemy Attack Research,tier 9 wave 20,30,-0.40%,-12.00%,Enemies,ranged_attack
Boss Health Research,tier 9 wave 20,30,-0.40%,-12.00%,Enemies,boss_health
Boss Attack Research,tier 9 wave 20,30,-0.40%,-12.00%,Enemies,boss_attack
Protector Health Research,tier 9 wave 20,30,-0.30%,-9.00%,Enemies,protector_health
Protector Radius Research,tier 9 wave 20,30,-0.30%,-9.00%,Enemies,protector_radius
Protector Damage Reduction Research,tier 9 wave 20,20,-1.50%,-30.00%,Enemies,protector_damage_reduction
