source_family,contributor_id,semantic_unit_hint,destination_object_type,destination_id,resolver,value_surface_role,frozen_kb_value_policy
player_stuff,player_stuff__profile__player_id__string,string,account_context,account_context.player_id,capability_passthrough,account_state_input,registry_only_no_invented_instance_values
player_stuff,player_stuff__profile__farming_tier__enum,enum,account_context,account_context.farming_tier,capability_passthrough,account_state_input,registry_only_no_invented_instance_values
player_stuff,player_stuff__profile__tournament_league__enum,enum,account_context,account_context.tournament_league,capability_passthrough,account_state_input,registry_only_no_invented_instance_values
player_stuff,player_stuff__resource__lifetime_coins__count,count,account_resource,account_resource.lifetime_coins,capability_passthrough,account_state_input,registry_only_no_invented_instance_values
player_stuff,player_stuff__resource__stones__count,count,account_resource,account_resource.stones,capability_passthrough,account_state_input,registry_only_no_invented_instance_values
player_stuff,player_stuff__resource__gems__count,count,account_resource,account_resource.gems,capability_passthrough,account_state_input,registry_only_no_invented_instance_values
player_stuff,player_stuff__flag__premium_packs_unlocked__boolean,boolean,account_flag,account_flag.premium_packs_unlocked,capability_passthrough,account_state_input,registry_only_no_invented_instance_values
player_stuff,player_stuff__flag__disable_ads__boolean,boolean,account_flag,account_flag.disable_ads,capability_passthrough,account_state_input,registry_only_no_invented_instance_values
player_stuff,player_stuff__flag__starter_pack__boolean,boolean,account_flag,account_flag.starter_pack,capability_passthrough,account_state_input,registry_only_no_invented_instance_values
player_stuff,player_stuff__flag__epic_pack__boolean,boolean,account_flag,account_flag.epic_pack,capability_passthrough,account_state_input,registry_only_no_invented_instance_values
player_stuff,player_stuff__derived__coin_multiplier__enum,enum,account_context,account_context.coin_multiplier_display,capability_passthrough,account_state_input,registry_only_no_invented_instance_values
