level,value,unit
1,1.02,raw_number
2,1.04,raw_number
3,1.06,raw_number
4,1.08,raw_number
5,1.1,raw_number
6,1.12,raw_number
7,1.14,raw_number
8,1.16,raw_number
9,1.18,raw_number
10,1.2,raw_number
11,1.22,raw_number
12,1.24,raw_number
13,1.26,raw_number
14,1.28,raw_number
15,1.3,raw_number
16,1.32,raw_number
17,1.34,raw_number
18,1.36,raw_number
19,1.38,raw_number
20,1.4,raw_number
21,1.42,raw_number
22,1.44,raw_number
23,1.46,raw_number
24,1.48,raw_number
25,1.5,raw_number
26,1.52,raw_number
27,1.54,raw_number
28,1.56,raw_number
29,1.58,raw_number
30,1.6,raw_number
31,1.62,raw_number
32,1.64,raw_number
33,1.66,raw_number
34,1.68,raw_number
35,1.7,raw_number
36,1.72,raw_number
37,1.74,raw_number
38,1.76,raw_number
39,1.78,raw_number
40,1.8,raw_number
41,1.82,raw_number
42,1.84,raw_number
43,1.86,raw_number
44,1.88,raw_number
45,1.9,raw_number
46,1.92,raw_number
47,1.94,raw_number
48,1.96,raw_number
49,1.98,raw_number
50,2.0,raw_number
51,2.02,raw_number
52,2.04,raw_number
53,2.06,raw_number
54,2.08,raw_number
55,2.1,raw_number
56,2.12,raw_number
57,2.14,raw_number
58,2.16,raw_number
59,2.18,raw_number
60,2.2,raw_number
61,2.22,raw_number
62,2.24,raw_number
63,2.26,raw_number
64,2.28,raw_number
65,2.3,raw_number
66,2.32,raw_number
67,2.34,raw_number
68,2.36,raw_number
69,2.38,raw_number
70,2.4,raw_number
71,2.42,raw_number
72,2.44,raw_number
73,2.46,raw_number
74,2.48,raw_number
75,2.5,raw_number
76,2.52,raw_number
77,2.54,raw_number
78,2.56,raw_number
79,2.58,raw_number
80,2.6,raw_number
