level,value,unit
1,10.0,percent
2,20.0,percent
3,30.0,percent
4,40.0,percent
5,50.0,percent
6,60.0,percent
7,70.0,percent
8,80.0,percent
9,90.0,percent
10,100.0,percent
11,110.0,percent
12,120.0,percent
13,130.0,percent
14,140.0,percent
15,150.0,percent
16,160.0,percent
17,170.0,percent
18,180.0,percent
19,190.0,percent
20,200.0,percent
21,210.0,percent
22,220.0,percent
23,230.0,percent
24,240.0,percent
25,250.0,percent
26,260.0,percent
27,270.0,percent
28,280.0,percent
29,290.0,percent
30,300.0,percent
