level,Value
1,1.02
2,1.04
3,1.06
4,1.08
5,1.10
6,1.12
7,1.14
8,1.16
9,1.18
10,1.20
11,1.22
12,1.24
13,1.26
14,1.28
15,1.30
16,1.32
17,1.34
18,1.36
19,1.38
20,1.40
21,1.42
22,1.44
23,1.46
24,1.48
25,1.50
26,1.52
27,1.54
28,1.56
29,1.58
30,1.60
31,1.62
32,1.64
33,1.66
34,1.68
35,1.70
36,1.72
37,1.74
38,1.76
39,1.78
40,1.80
41,1.82
42,1.84
43,1.86
44,1.88
45,1.90
46,1.92
47,1.94
48,1.96
49,1.98
50,2.00
51,2.02
52,2.04
53,2.06
54,2.08
55,2.10
56,2.12
57,2.14
58,2.16
59,2.18
60,2.20
61,2.22
62,2.24
63,2.26
64,2.28
65,2.30
66,2.32
67,2.34
68,2.36
69,2.38
70,2.40
71,2.42
72,2.44
73,2.46
74,2.48
75,2.50
76,2.52
77,2.54
78,2.56
79,2.58
80,2.60
81,2.62
82,2.64
83,2.66
84,2.68
85,2.70
86,2.72
87,2.74
88,2.76
89,2.78
90,2.80
91,2.82
92,2.84
93,2.86
94,2.88
95,2.90
96,2.92
97,2.94
98,2.96
99,2.98
