Level,Time,Cost,Value
1,0d 0h 0m,30,1.03
2,0d 0h 6m,71,1.06
3,0d 0h 16m,178,1.09
4,0d 0h 31m,398,1.12
5,0d 0h 52m,772,1.15
6,0d 1h 20m,1340,1.18
7,0d 1h 56m,2120,1.21
8,0d 2h 39m,3170,1.24
9,0d 3h 31m,4510,1.27
10,0d 4h 32m,6170,1.3
11,0d 5h 43m,8170,1.33
12,0d 7h 3m,10560,1.36
13,0d 8h 34m,13350,1.39
14,0d 10h 15m,16580,1.42
15,0d 12h 7m,20270,1.45
16,0d 14h 10m,24440,1.48
17,0d 16h 25m,29130,1.51
18,0d 18h 52m,34360,1.54
19,0d 21h 31m,40160,1.57
20,1d 0h 22m,46540,1.6
21,1d 3h 26m,53530,1.63
22,1d 6h 44m,61160,1.66
23,1d 10h 14m,69460,1.69
24,1d 13h 58m,78430,1.72
25,1d 17h 56m,88120,1.75
26,1d 22h 7m,98530,1.78
27,2d 2h 33m,109700,1.81
28,2d 7h 13m,121650,1.84
29,2d 12h 8m,134390,1.87
30,2d 17h 18m,147950,1.9
31,2d 22h 43m,162350,1.93
32,3d 4h 23m,177620,1.96
33,3d 10h 18m,193780,1.99
34,3d 16h 30m,210830,2.02
35,3d 22h 57m,228820,2.05
36,4d 5h 40m,247760,2.08
37,4d 12h 40m,267660,2.11
38,4d 19h 55m,288560,2.14
39,5d 3h 28m,310470,2.17
40,5d 11h 17m,333400,2.2
41,5d 19h 24m,357390,2.23
42,6d 3h 47m,382450,2.26
43,6d 12h 28m,408600,2.29
44,6d 21h 26m,435870,2.32
45,7d 6h 42m,464260,2.35
46,7d 16h 15m,493810,2.38
47,8d 2h 7m,524530,2.41
48,8d 12h 17m,556430,2.44
49,8d 22h 45m,589550,2.47
50,9d 9h 31m,623890,2.5
51,9d 20h 37m,659490,2.53
52,10d 8h 0m,696340,2.56
53,10d 19h 43m,734490,2.59
54,11d 7h 45m,773940,2.62
55,11d 20h 6m,814710,2.65
56,12d 8h 46m,856830,2.68
57,12d 21h 46m,900300,2.71
58,13d 11h 5m,945160,2.74
59,14d 0h 44m,991410,2.77
60,14d 14h 43m,1040000,2.8
61,15d 5h 3m,1090000,2.83
62,15d 19h 42m,1140000,2.86
63,16d 10h 41m,1190000,2.89
64,17d 2h 1m,1240000,2.92
65,17d 17h 42m,1300000,2.95
66,18d 9h 43m,1360000,2.98
67,19d 2h 5m,1410000,3.01
68,19d 18h 48m,1470000,3.04
69,20d 11h 52m,1530000,3.07
70,21d 5h 17m,1600000,3.1
71,21d 23h 4m,1660000,3.13
72,22d 17h 12m,1730000,3.16
73,23d 11h 41m,1800000,3.19
74,24d 6h 32m,1870000,3.22
75,25d 1h 46m,1940000,3.25
76,25d 21h 20m,2010000,3.28
77,26d 17h 18m,2080000,3.31
78,27d 13h 37m,2160000,3.34
79,28d 10h 18m,2240000,3.37
80,29d 7h 22m,2320000,3.4
81,30d 4h 48m,2400000,3.43
82,31d 2h 37m,2480000,3.46
83,32d 0h 49m,2570000,3.49
84,32d 23h 24m,2650000,3.52
85,33d 22h 21m,2740000,3.55
86,34d 21h 42m,2830000,3.58
87,35d 21h 26m,2930000,3.61
88,36d 21h 33m,3020000,3.64
89,37d 22h 3m,3120000,3.67
90,38d 22h 57m,3220000,3.7
91,40d 0h 15m,3320000,3.73
92,41d 1h 56m,3420000,3.76
93,42d 4h 1m,3520000,3.79
94,43d 6h 30m,3630000,3.82
95,44d 9h 23m,3740000,3.85
96,45d 12h 40m,3850000,3.88
97,46d 16h 22m,3960000,3.91
98,47d 20h 27m,4070000,3.94
99,49d 0h 57m,4190000,3.97
100,50d 5h 52m,4310000,4.0
