Level,Time,Cost,Value
1,2d 7h 33m,20000000000,0.20%
2,2d 15h 54m,25010000000,0.40%
3,3d 0h 27m,30070000000,0.60%
4,3d 9h 34m,35330000000,0.80%
5,3d 19h 44m,40970000000,1.00%
6,4d 7h 36m,47260000000,1.20%
7,4d 21h 51m,54530000000,1.40%
8,5d 15h 19m,63130000000,1.60%
9,6d 12h 53m,73510000000,1.80%
10,7d 15h 31m,86140000000,2.00%
11,9d 0h 17m,101550000000,2.20%
12,10d 16h 19m,120320000000,2.40%
13,12d 16h 46m,143080000000,2.60%
14,15d 2h 57m,170500000000,2.80%
15,18d 0h 9m,203310000000,3.00%
16,21d 9h 46m,242270000000,3.20%
17,25d 9h 15m,288200000000,3.40%
18,30d 0h 6m,341960000000,3.60%
19,35d 7h 54m,404450000000,3.80%
20,41d 10h 16m,476600000000,4.00%
