lab_canonical_id,lab_primary_name,level_min,level_max,value_min,value_max,unit,formula_family,linear_step,active_source_surface,verification_status
LAB_ATTACK_SPEED,Attack Speed,1,99,1.02,2.98,raw_number,linear,0.02,tables/cache/wiki/lab_attack_speed.csv,externally_verified_live_wiki_2026-03-14
LAB_CASH_BONUS,Cash Bonus,1,99,1.02,2.98,raw_number,linear,0.02,kb/labs/tables/wiki-lab-cash-bonus.csv,externally_verified_live_wiki_2026-03-14
LAB_CHRONO_FIELD_DURATION,Chrono Field Duration,1,30,1.0,30.0,raw_number,linear,1.0,tables/cache/wiki/lab_chrono_field_duration.csv,externally_verified_live_wiki_2026-03-14
LAB_COINS_PER_WAVE,Coins/Wave,1,99,1.02,2.98,raw_number,linear,0.02,kb/labs/tables/wiki-lab-coins-wave.csv,externally_verified_live_wiki_2026-03-14
LAB_DAMAGE,Damage,1,100,1.02,3.0,raw_number,linear,0.02,kb/labs/tables/wiki-lab-damage.csv,externally_verified_live_wiki_2026-03-14
LAB_DEFENSE_PERCENT,Defense %,1,50,0.2,10.0,percent_points,linear,0.2,tables/cache/wiki/lab_defense.csv,externally_verified_live_wiki_2026-03-14
LAB_ENEMY_ATTACK_LEVEL_SKIP,Enemy Attack Level Skip,1,20,0.1,2.0,percent_points,linear,0.1,kb/labs/tables/wiki-lab-enemy-attack-level-skip.csv,externally_verified_live_wiki_2026-03-14
LAB_ENEMY_HEALTH_LEVEL_SKIP,Enemy Health Level Skip,1,20,0.1,2.0,percent_points,linear,0.1,kb/labs/tables/wiki-lab-enemy-health-level-skip.csv,externally_verified_live_wiki_2026-03-14
LAB_GAME_SPEED,Game Speed,1,7,2.0,5.0,raw_number,linear,0.5,kb/labs/tables/wiki-game-speed-lab.csv,externally_verified_live_wiki_2026-03-14
LAB_HEALTH,Health,1,100,1.03,4.0,raw_number,linear,0.03,tables/cache/wiki/lab_health.csv,externally_verified_live_wiki_2026-03-14
LAB_HEALTH_REGEN,Health Regen,1,100,1.03,4.0,raw_number,linear,0.03,tables/cache/wiki/lab_health_regen.csv,externally_verified_live_wiki_2026-03-14
LAB_LAB_SPEED,Labs Speed,1,99,1.02,2.98,raw_number,linear,0.02,kb/labs/tables/wiki-lab-labs-speed.csv,externally_verified_live_wiki_2026-03-14
LAB_RANGE,Range,1,80,1.02,2.6,raw_number,linear,0.02,kb/labs/tables/wiki-lab-range.csv,externally_verified_live_wiki_2026-03-14
LAB_RECOVERY_PACKAGE_CHANCE,Recovery Package Chance,1,20,0.2,4.0,percent,linear,0.2,tables/cache/wiki/lab_recovery_package_chance.csv,externally_verified_live_wiki_2026-03-14
LAB_WALL_FORTIFICATION,Wall Fortification,1,60,20.0,1200.0,percent,linear,20.0,kb/labs/tables/wall-lab-wall-fortification.csv,externally_verified_against_live_wiki_2026-03-14
LAB_WALL_HEALTH,Wall Health,1,50,2.0,100.0,percent,linear,2.0,tables/cache/wiki/wall_lab_wall_health.csv,externally_verified_live_wiki_2026-03-14
LAB_WALL_REGEN,Wall Regen,1,30,10.0,300.0,percent,linear,10.0,tables/cache/wiki/wall_lab_wall_regen.csv,externally_verified_live_wiki_2026-03-14
LAB_WAVES_REQUIRED,Waves Required,1,100,-100.0,-1.0,raw_number,linear,-1.0,tables/cache/wiki/lab_waves_required.csv,externally_verified_live_wiki_2026-03-14
