legacy_path_not_present_in_frozen_package,size_bytes,sha256,final_source_package,source_count,content_variants_across_packages
legacy_frozen_omitted::architecture/INDEX.md,343,7659a138ca00ec3f9fc1ddd43cb6e98aea2af0641d98d51205e4faa115ab6faf,tower_gpt_full_package_v4_ep_extracts.zip,6,1
legacy_frozen_omitted::architecture/MIGRATION_RULES_V1.md,2080,83b5ade227295307eb97bd60a7f45e1c70984715e19377adaf238d8754612fe7,tower_gpt_full_package_v4_ep_extracts.zip,6,1
legacy_frozen_omitted::architecture/OBJECT_TAXONOMY_V1.md,3369,cd4339a11d7e6a29732e93387e514ba25a41190e3b165e699037288d18921255,tower_gpt_full_package_v4_ep_extracts.zip,6,1
legacy_frozen_omitted::architecture/REGISTRY_GUIDE.md,1933,6416f46e086c97fc0bb7d2400269be9d8d1b38c2866c813097791d0b315a4008,tower_gpt_full_package_v4_ep_extracts.zip,6,1
legacy_frozen_omitted::architecture/aliases.yaml,2784,ede2b22ac9cd5a56fc5556fe31d80ed7eb9a9a4d8dc911b488cb34a7578ed855,tower_gpt_full_package_v4_ep_extracts.zip,6,1
legacy_frozen_omitted::architecture/canonical_stats.yaml,6100,aca8194401eca19fa4d65bd53e09c14ba8a22a346d5da62db851dcc2f01be34b,tower_gpt_full_package_v4_ep_extracts.zip,6,1
legacy_frozen_omitted::architecture/capabilities.yaml,2022,3d0659e2ca07e74b9ab0bd4d95c81dedd11669d27823e1851e7b0191030aed02,tower_gpt_full_package_v4_ep_extracts.zip,6,1
legacy_frozen_omitted::architecture/contributor_mappings_full.yaml,42668,79920243c0d927b64191b4e17b064e6f9d5fc4ace9627737cf1a6ed87bf78b17,tower_gpt_full_package_v4_ep_extracts.zip,6,1
legacy_frozen_omitted::architecture/contributors.yaml,2289,919f82323a9a1af248884f3065563cdc7b6594fb532738415429759e9eb5437b,tower_gpt_full_package_v4_ep_extracts.zip,6,1
legacy_frozen_omitted::architecture/domain_coverage.yaml,2209,dae90198f64b8e5ea86d2db297eca251e295d9987bfe04154cef51bc04293c7d,tower_gpt_full_package_v4_ep_extracts.zip,6,1
legacy_frozen_omitted::architecture/environment_params.yaml,3986,fda7b3ab6624bda263222fd99b6401b73cfcb4bb8913f643cb0d946232d0a510,tower_gpt_full_package_v4_ep_extracts.zip,6,1
legacy_frozen_omitted::architecture/mechanic_params.yaml,9917,528b3ae25eb7305562f69eafa03a28898ca56da9796ec4a924d901d610402ed3,tower_gpt_full_package_v4_ep_extracts.zip,6,1
legacy_frozen_omitted::architecture/resolvers.yaml,1953,8a20a5d7d50570259009beb4011f53e35d91fa54a8706cf8ca9c96b57b9c8b34,tower_gpt_full_package_v4_ep_extracts.zip,6,1
legacy_frozen_omitted::entities/DOMAIN_MAP.md,563,453babc22cc14a1eb17faf6a9d9b70651a938766bb181d9fc7a1cc7c00c64f97,tower_gpt_full_package_v4_ep_extracts.zip,6,1
legacy_frozen_omitted::ep_extracts/README_EP_EXTRACTION.md,2072,8a50d945ea84144316e4dbd951848cdd1cd42d72acd1418aa3503d30539c9a44,tower_gpt_full_package_v4_ep_extracts.zip,1,1
legacy_frozen_omitted::ep_extracts/defined_names/module_defined_names.csv,8696,6ffab83d2ca283a65465ba5404d9bf4732aac611e5e0ef7e1ebad3b4e5c92f06,tower_gpt_full_package_v4_ep_extracts.zip,1,1
legacy_frozen_omitted::ep_extracts/module_main_effects/module_main_effect_base.csv,577,e26e7c12acebbf95e5656c34938cd423dc67da36e8f9b13d0f960866dc09d58e,tower_gpt_full_package_v4_ep_extracts.zip,1,1
legacy_frozen_omitted::ep_extracts/module_main_effects/module_main_effect_formula_notes.md,2316,bc7e4f3d9fa094b0930045f2080949fc17de39191db07669eddf91826848aa43,tower_gpt_full_package_v4_ep_extracts.zip,1,1
legacy_frozen_omitted::ep_extracts/module_main_effects/module_main_effect_increment_bands.csv,435,25bb4fafa8701ecbe76609f8a60be64ead3910cf0bcb07499daa0780555645ab,tower_gpt_full_package_v4_ep_extracts.zip,1,1
legacy_frozen_omitted::ep_extracts/module_main_effects/module_main_effect_level_additive_curve.csv,8734,4fcd8e3d87163df24d9dccf5c8883ed0bb8209332cc1c79d300ba8ea2c497239,tower_gpt_full_package_v4_ep_extracts.zip,1,1
legacy_frozen_omitted::ep_extracts/module_main_effects/module_main_effect_total_multiplier_by_rarity_level.csv,481606,b68dea3488d7f51f95c3fd833175d5c961914fd7530e637c429ab896d8b5613d,tower_gpt_full_package_v4_ep_extracts.zip,1,1
legacy_frozen_omitted::ep_extracts/sheet_exports/all_bots__formulas.csv,6412,84d445e89a2710b97ff65ca435332e64403b20e16ce0a4d706061f500f5d9c36,tower_gpt_full_package_v4_ep_extracts.zip,1,1
legacy_frozen_omitted::ep_extracts/sheet_exports/all_bots__values.csv,4963,0d98dc99b335f131deb5f2e823f15fa99021d8da0d4186a16d0f8a4f0a20c641,tower_gpt_full_package_v4_ep_extracts.zip,1,1
legacy_frozen_omitted::ep_extracts/sheet_exports/all_uws__formulas.csv,16843,3165ee9ef3d1ff99efd9764034a86823314894570e9b72efb990a0b931d85d99,tower_gpt_full_package_v4_ep_extracts.zip,1,1
legacy_frozen_omitted::ep_extracts/sheet_exports/all_uws__values.csv,14855,8f449d62b361d2984495c88e2ac7c4b3d88204c44c2598bafb8b3acad753676a,tower_gpt_full_package_v4_ep_extracts.zip,1,1
legacy_frozen_omitted::ep_extracts/sheet_exports/data_val_tables__formulas.csv,256498,681413595a9da0cef5d93c072fddaf61722bbd7cdd91ddd5c6209f3041e5b85a,tower_gpt_full_package_v4_ep_extracts.zip,1,1
legacy_frozen_omitted::ep_extracts/sheet_exports/data_val_tables__values.csv,152571,642205106ffd625ac288e400af57f42bec27fa2ef266695c86e43e5fd319c390,tower_gpt_full_package_v4_ep_extracts.zip,1,1
legacy_frozen_omitted::ep_extracts/sheet_exports/dvt_bot__formulas.csv,70434,fc22077cd41a71b97ac58ea9366170d16215cde9491a4bf4f088953ce26d9afd,tower_gpt_full_package_v4_ep_extracts.zip,1,1
legacy_frozen_omitted::ep_extracts/sheet_exports/dvt_bot__values.csv,32940,83fc277717259de017d1b2e02f751384c46a638868ad7d394b55953e792362ff,tower_gpt_full_package_v4_ep_extracts.zip,1,1
legacy_frozen_omitted::ep_extracts/sheet_exports/dvt_laboratory__formulas.csv,194025,251701b798336bed8c3ae296682f175775721d4a3a07573b094744c7a2ee557c,tower_gpt_full_package_v4_ep_extracts.zip,1,1
