effect,common,rare,epic,legendary,mythic,ancestral,source_ref
Golden Tower - Bonus,,,1,2,3,4,internalized_source_snapshot
Golden Tower - Duration [s],,,,2,4,7,internalized_source_snapshot
Golden Tower - Cooldown [s],,,,-5,-8,-12,internalized_source_snapshot
Black Hole - Size [m],2,4,6,8,10,12,internalized_source_snapshot
Black Hole - Duration [s],,,,2,3,4,internalized_source_snapshot
Black Hole - Cooldown [s],,,,-2,-3,-4,internalized_source_snapshot
Spotlight - Bonus,1.2,2.5,3.5,10,15,20,internalized_source_snapshot
Spotlight - Angle,,,3,6,11,15,internalized_source_snapshot
Chrono Field - Duration [s],,,,4,7,10,internalized_source_snapshot
Chrono Field - Speed Reduction [%],,,3,8,11,15,internalized_source_snapshot
Chrono Field - Cooldown [s],,,,-4,-7,-10,internalized_source_snapshot
Death Wave - Damage [x],8,15,25,50,100,250,internalized_source_snapshot
Death Wave - Quantity,,,,1,2,3,internalized_source_snapshot
Death Wave - Cooldown [s],,,,-6,-10,-13,internalized_source_snapshot
Smart Missiles - Damage,8,15,25,50,100,250,internalized_source_snapshot
Smart Missiles - Quantity,,,1,2,4,5,internalized_source_snapshot
Smart Missiles - Cooldown [s],,,,-2,-4,-6,internalized_source_snapshot
Inner Land Mines - Damage [x],8,15,25,50,100,250,internalized_source_snapshot
Inner Land Mines - Quantity,,,,1,2,3,internalized_source_snapshot
Inner Land Mines - Cooldown [s],,,-5,-8,-10,-13,internalized_source_snapshot
Poison Swamp - Damage [x],8,15,25,50,100,250,internalized_source_snapshot
Poison Swamp - Duration [s],,,,2,5,10,internalized_source_snapshot
Poison Swamp - Cooldown [s],,-2,-4,-6,-8,-10,internalized_source_snapshot
Chain Lightning - Damage [x],8,15,25,50,100,250,internalized_source_snapshot
Chain Lightning - Quantity,,,1,2,3,4,internalized_source_snapshot
Chain Lightning - Chance [%],2,4,6,9,12,15,internalized_source_snapshot
