slot,substat,rarity,value,unit,source
Cannon,Attack Speed,Common,0.3,percent,kb/modules/sources/wiki-modules-and-submodules.md
Cannon,Attack Speed,Rare,0.5,percent,kb/modules/sources/wiki-modules-and-submodules.md
Cannon,Attack Speed,Epic,0.7,percent,kb/modules/sources/wiki-modules-and-submodules.md
Cannon,Attack Speed,Legendary,1,percent,kb/modules/sources/wiki-modules-and-submodules.md
Cannon,Attack Speed,Mythic,3,percent,kb/modules/sources/wiki-modules-and-submodules.md
Cannon,Attack Speed,Ancestral,5,percent,kb/modules/sources/wiki-modules-and-submodules.md
Cannon,Crit Chance,Rare,3,percent,kb/modules/sources/wiki-modules-and-submodules.md
Cannon,Crit Chance,Epic,4,percent,kb/modules/sources/wiki-modules-and-submodules.md
Cannon,Crit Chance,Legendary,6,percent,kb/modules/sources/wiki-modules-and-submodules.md
Cannon,Crit Chance,Mythic,8,percent,kb/modules/sources/wiki-modules-and-submodules.md
Cannon,Crit Chance,Ancestral,10,percent,kb/modules/sources/wiki-modules-and-submodules.md
Cannon,Crit Factor,Common,2,flat,kb/modules/sources/wiki-modules-and-submodules.md
Cannon,Crit Factor,Rare,4,flat,kb/modules/sources/wiki-modules-and-submodules.md
Cannon,Crit Factor,Epic,6,flat,kb/modules/sources/wiki-modules-and-submodules.md
Cannon,Crit Factor,Legendary,8,flat,kb/modules/sources/wiki-modules-and-submodules.md
Cannon,Crit Factor,Mythic,12,flat,kb/modules/sources/wiki-modules-and-submodules.md
Cannon,Crit Factor,Ancestral,15,flat,kb/modules/sources/wiki-modules-and-submodules.md
Cannon,Attack Range,Common,2,flat,kb/modules/sources/wiki-modules-and-submodules.md
Cannon,Attack Range,Rare,4,flat,kb/modules/sources/wiki-modules-and-submodules.md
Cannon,Attack Range,Epic,8,flat,kb/modules/sources/wiki-modules-and-submodules.md
Cannon,Attack Range,Legendary,12,flat,kb/modules/sources/wiki-modules-and-submodules.md
Cannon,Attack Range,Mythic,20,flat,kb/modules/sources/wiki-modules-and-submodules.md
Cannon,Attack Range,Ancestral,30,flat,kb/modules/sources/wiki-modules-and-submodules.md
Cannon,Damage / Meter,Common,0.005,flat,kb/modules/sources/wiki-modules-and-submodules.md
Cannon,Damage / Meter,Rare,0.01,flat,kb/modules/sources/wiki-modules-and-submodules.md
Cannon,Damage / Meter,Epic,0.025,flat,kb/modules/sources/wiki-modules-and-submodules.md
Cannon,Damage / Meter,Legendary,0.04,flat,kb/modules/sources/wiki-modules-and-submodules.md
Cannon,Damage / Meter,Mythic,0.075,flat,kb/modules/sources/wiki-modules-and-submodules.md
Cannon,Damage / Meter,Ancestral,0.15,flat,kb/modules/sources/wiki-modules-and-submodules.md
Cannon,Multishot Chance,Rare,3,percent,kb/modules/sources/wiki-modules-and-submodules.md
Cannon,Multishot Chance,Epic,5,percent,kb/modules/sources/wiki-modules-and-submodules.md
Cannon,Multishot Chance,Legendary,7,percent,kb/modules/sources/wiki-modules-and-submodules.md
Cannon,Multishot Chance,Mythic,10,percent,kb/modules/sources/wiki-modules-and-submodules.md
Cannon,Multishot Chance,Ancestral,13,percent,kb/modules/sources/wiki-modules-and-submodules.md
Cannon,Multishot Targets,Epic,1,count,kb/modules/sources/wiki-modules-and-submodules.md
Cannon,Multishot Targets,Legendary,2,count,kb/modules/sources/wiki-modules-and-submodules.md
Cannon,Multishot Targets,Mythic,3,count,kb/modules/sources/wiki-modules-and-submodules.md
Cannon,Multishot Targets,Ancestral,4,count,kb/modules/sources/wiki-modules-and-submodules.md
Cannon,Rapid Fire Chance,Rare,2,percent,kb/modules/sources/wiki-modules-and-submodules.md
Cannon,Rapid Fire Chance,Epic,4,percent,kb/modules/sources/wiki-modules-and-submodules.md
Cannon,Rapid Fire Chance,Legendary,6,percent,kb/modules/sources/wiki-modules-and-submodules.md
Cannon,Rapid Fire Chance,Mythic,9,percent,kb/modules/sources/wiki-modules-and-submodules.md
Cannon,Rapid Fire Chance,Ancestral,12,percent,kb/modules/sources/wiki-modules-and-submodules.md
Cannon,Rapid Fire Duration,Rare,0.4,seconds,kb/modules/sources/wiki-modules-and-submodules.md
Cannon,Rapid Fire Duration,Epic,0.8,seconds,kb/modules/sources/wiki-modules-and-submodules.md
Cannon,Rapid Fire Duration,Legendary,1.4,seconds,kb/modules/sources/wiki-modules-and-submodules.md
Cannon,Rapid Fire Duration,Mythic,2.5,seconds,kb/modules/sources/wiki-modules-and-submodules.md
Cannon,Rapid Fire Duration,Ancestral,3.5,seconds,kb/modules/sources/wiki-modules-and-submodules.md
Cannon,Bounce Shot Chance,Rare,2,percent,kb/modules/sources/wiki-modules-and-submodules.md
Cannon,Bounce Shot Chance,Epic,3,percent,kb/modules/sources/wiki-modules-and-submodules.md
Cannon,Bounce Shot Chance,Legendary,5,percent,kb/modules/sources/wiki-modules-and-submodules.md
Cannon,Bounce Shot Chance,Mythic,9,percent,kb/modules/sources/wiki-modules-and-submodules.md
Cannon,Bounce Shot Chance,Ancestral,12,percent,kb/modules/sources/wiki-modules-and-submodules.md
Cannon,Bounce Shot Targets,Epic,1,count,kb/modules/sources/wiki-modules-and-submodules.md
Cannon,Bounce Shot Targets,Legendary,2,count,kb/modules/sources/wiki-modules-and-submodules.md
Cannon,Bounce Shot Targets,Mythic,3,count,kb/modules/sources/wiki-modules-and-submodules.md
Cannon,Bounce Shot Targets,Ancestral,4,count,kb/modules/sources/wiki-modules-and-submodules.md
