bc_id,league,wave,magnitude
armored_enemies,copper,0,1
basic_ultimate_fast,copper,0,0.01
basic_ultimate_tank,copper,0,0.01
basic_ultimate_range,copper,0,0.01
basic_ultimate_boss,copper,0,0.01
basic_ultimate_protector,copper,0,0.01
boss_ultimate,copper,0,0.05
death_defy_down,copper,0,-0.01
death_ray_resistance,copper,0,0.9
enemy_attack_speed,copper,0,0.05
energy_shields_down,copper,0,0.01
enemy_speed,copper,0,0.2
fast_ultimate,copper,0,1
more_bosses,copper,0,6
more_enemies,copper,0,0.01
knockback_resistance,copper,0,0.95
orb_resistance,copper,0,0.9
plasma_cannon_resistance,copper,0,0.95
protector_ultimate,copper,0,3
ranged_ultimate_tower_disable_time,copper,0,0.1
tank_ultimate,copper,0,3
thorns_resistance,copper,0,0.95
ultimate_weapons_duration,copper,0,-1
enemy_level_skip,copper,0,-0.01
armored_enemies,silver,0,1
basic_ultimate_fast,silver,0,0.01
basic_ultimate_tank,silver,0,0.01
basic_ultimate_range,silver,0,0.01
basic_ultimate_boss,silver,0,0.01
basic_ultimate_protector,silver,0,0.01
boss_ultimate,silver,0,0.05
death_defy_down,silver,0,-0.01
death_ray_resistance,silver,0,0.9
enemy_attack_speed,silver,0,0.05
energy_shields_down,silver,0,0.01
enemy_speed,silver,0,0.2
fast_ultimate,silver,0,1
more_bosses,silver,0,6
more_enemies,silver,0,0.01
knockback_resistance,silver,0,0.95
orb_resistance,silver,0,0.9
plasma_cannon_resistance,silver,0,0.95
protector_ultimate,silver,0,3
ranged_ultimate_tower_disable_time,silver,0,0.1
tank_ultimate,silver,0,3
thorns_resistance,silver,0,0.95
ultimate_weapons_duration,silver,0,-1
enemy_level_skip,silver,0,-0.01
armored_enemies,gold,0,1
basic_ultimate_fast,gold,0,0.01
basic_ultimate_tank,gold,0,0.01
basic_ultimate_range,gold,0,0.01
basic_ultimate_boss,gold,0,0.01
basic_ultimate_protector,gold,0,0.01
boss_ultimate,gold,0,0.05
death_defy_down,gold,0,-0.01
death_ray_resistance,gold,0,0.9
enemy_attack_speed,gold,0,0.05
energy_shields_down,gold,0,0.01
enemy_speed,gold,0,0.2
fast_ultimate,gold,0,1
more_bosses,gold,0,6
more_enemies,gold,0,0.01
knockback_resistance,gold,0,0.95
orb_resistance,gold,0,0.9
plasma_cannon_resistance,gold,0,0.95
protector_ultimate,gold,0,3
ranged_ultimate_tower_disable_time,gold,0,0.1
tank_ultimate,gold,0,3
thorns_resistance,gold,0,0.95
ultimate_weapons_duration,gold,0,-1
enemy_level_skip,gold,0,-0.01
armored_enemies,platinum,0,1
basic_ultimate_fast,platinum,0,0.01
basic_ultimate_tank,platinum,0,0.01
basic_ultimate_range,platinum,0,0.01
basic_ultimate_boss,platinum,0,0.01
basic_ultimate_protector,platinum,0,0.01
boss_ultimate,platinum,0,0.05
death_defy_down,platinum,0,-0.01
death_ray_resistance,platinum,0,0.9
enemy_attack_speed,platinum,0,0.05
energy_shields_down,platinum,0,0.01
enemy_speed,platinum,0,0.2
fast_ultimate,platinum,0,1
more_bosses,platinum,0,6
more_enemies,platinum,0,0.01
knockback_resistance,platinum,0,0.95
orb_resistance,platinum,0,0.9
plasma_cannon_resistance,platinum,0,0.95
protector_ultimate,platinum,0,3
ranged_ultimate_tower_disable_time,platinum,0,0.1
tank_ultimate,platinum,0,3
thorns_resistance,platinum,0,0.95
ultimate_weapons_duration,platinum,0,-1
enemy_level_skip,platinum,0,-0.01
armored_enemies,champion,0,1
basic_ultimate_fast,champion,0,0.01
basic_ultimate_tank,champion,0,0.01
basic_ultimate_range,champion,0,0.01
basic_ultimate_boss,champion,0,0.01
basic_ultimate_protector,champion,0,0.01
boss_ultimate,champion,0,0.05
death_defy_down,champion,0,-0.01
death_ray_resistance,champion,0,0.9
enemy_attack_speed,champion,0,0.05
energy_shields_down,champion,0,0.01
enemy_speed,champion,0,0.2
fast_ultimate,champion,0,1
more_bosses,champion,0,6
more_enemies,champion,0,0.01
knockback_resistance,champion,0,0.95
orb_resistance,champion,0,0.9
plasma_cannon_resistance,champion,0,0.95
protector_ultimate,champion,0,3
ranged_ultimate_tower_disable_time,champion,0,0.1
tank_ultimate,champion,0,3
thorns_resistance,champion,0,0.95
ultimate_weapons_duration,champion,0,-1
enemy_level_skip,champion,0,-0.01
armored_enemies,legend,0,1
basic_ultimate_fast,legend,0,0.01
basic_ultimate_tank,legend,0,0.01
basic_ultimate_range,legend,0,0.01
basic_ultimate_boss,legend,0,0.01
basic_ultimate_protector,legend,0,0.01
boss_ultimate,legend,0,0.05
death_defy_down,legend,0,-0.01
death_ray_resistance,legend,0,0.9
enemy_attack_speed,legend,0,0.05
energy_shields_down,legend,0,0.01
enemy_speed,legend,0,0.2
fast_ultimate,legend,0,1
more_bosses,legend,0,6
more_enemies,legend,0,0.01
knockback_resistance,legend,0,0.95
orb_resistance,legend,0,0.9
plasma_cannon_resistance,legend,0,0.95
protector_ultimate,legend,0,3
ranged_ultimate_tower_disable_time,legend,0,0.1
tank_ultimate,legend,0,3
thorns_resistance,legend,0,0.95
ultimate_weapons_duration,legend,0,-1
enemy_level_skip,legend,0,-0.01
armored_enemies,copper,20,2
basic_ultimate_fast,copper,20,0.01
basic_ultimate_tank,copper,20,0.01
basic_ultimate_range,copper,20,0.01
basic_ultimate_boss,copper,20,0.01
basic_ultimate_protector,copper,20,0.01
boss_ultimate,copper,20,0.1
death_defy_down,copper,20,-0.02
death_ray_resistance,copper,20,0.8
enemy_attack_speed,copper,20,0.25
energy_shields_down,copper,20,0.05
enemy_speed,copper,20,0.4
fast_ultimate,copper,20,1
more_bosses,copper,20,6
more_enemies,copper,20,0.05
knockback_resistance,copper,20,0.9
orb_resistance,copper,20,0.75
plasma_cannon_resistance,copper,20,0.9
protector_ultimate,copper,20,15
ranged_ultimate_tower_disable_time,copper,20,0.1
tank_ultimate,copper,20,15
thorns_resistance,copper,20,0.9
ultimate_weapons_duration,copper,20,-1
enemy_level_skip,copper,20,-0.02
armored_enemies,silver,20,2
basic_ultimate_fast,silver,20,0.01
basic_ultimate_tank,silver,20,0.01
basic_ultimate_range,silver,20,0.01
basic_ultimate_boss,silver,20,0.01
basic_ultimate_protector,silver,20,0.01
boss_ultimate,silver,20,0.1
death_defy_down,silver,20,-0.02
death_ray_resistance,silver,20,0.8
enemy_attack_speed,silver,20,0.25
energy_shields_down,silver,20,0.05
enemy_speed,silver,20,0.4
fast_ultimate,silver,20,1
more_bosses,silver,20,6
more_enemies,silver,20,0.05
knockback_resistance,silver,20,0.9
orb_resistance,silver,20,0.75
plasma_cannon_resistance,silver,20,0.9
protector_ultimate,silver,20,15
ranged_ultimate_tower_disable_time,silver,20,0.1
tank_ultimate,silver,20,15
thorns_resistance,silver,20,0.9
ultimate_weapons_duration,silver,20,-1
enemy_level_skip,silver,20,-0.02
armored_enemies,gold,20,2
basic_ultimate_fast,gold,20,0.01
basic_ultimate_tank,gold,20,0.01
basic_ultimate_range,gold,20,0.01
basic_ultimate_boss,gold,20,0.01
basic_ultimate_protector,gold,20,0.01
boss_ultimate,gold,20,0.1
death_defy_down,gold,20,-0.02
death_ray_resistance,gold,20,0.8
enemy_attack_speed,gold,20,0.25
energy_shields_down,gold,20,0.05
enemy_speed,gold,20,0.4
fast_ultimate,gold,20,1
more_bosses,gold,20,6
more_enemies,gold,20,0.05
knockback_resistance,gold,20,0.9
orb_resistance,gold,20,0.75
plasma_cannon_resistance,gold,20,0.9
protector_ultimate,gold,20,15
ranged_ultimate_tower_disable_time,gold,20,0.1
tank_ultimate,gold,20,15
thorns_resistance,gold,20,0.9
ultimate_weapons_duration,gold,20,-1
enemy_level_skip,gold,20,-0.02
armored_enemies,platinum,20,2
basic_ultimate_fast,platinum,20,0.01
basic_ultimate_tank,platinum,20,0.01
basic_ultimate_range,platinum,20,0.01
basic_ultimate_boss,platinum,20,0.01
basic_ultimate_protector,platinum,20,0.01
boss_ultimate,platinum,20,0.1
death_defy_down,platinum,20,-0.02
death_ray_resistance,platinum,20,0.8
enemy_attack_speed,platinum,20,0.25
energy_shields_down,platinum,20,0.05
enemy_speed,platinum,20,0.4
fast_ultimate,platinum,20,1
more_bosses,platinum,20,6
more_enemies,platinum,20,0.05
knockback_resistance,platinum,20,0.9
orb_resistance,platinum,20,0.75
plasma_cannon_resistance,platinum,20,0.9
protector_ultimate,platinum,20,15
ranged_ultimate_tower_disable_time,platinum,20,0.1
tank_ultimate,platinum,20,15
thorns_resistance,platinum,20,0.9
ultimate_weapons_duration,platinum,20,-1
enemy_level_skip,platinum,20,-0.02
armored_enemies,champion,20,2
basic_ultimate_fast,champion,20,0.01
basic_ultimate_tank,champion,20,0.01
basic_ultimate_range,champion,20,0.01
basic_ultimate_boss,champion,20,0.01
basic_ultimate_protector,champion,20,0.01
boss_ultimate,champion,20,0.1
death_defy_down,champion,20,-0.02
death_ray_resistance,champion,20,0.8
enemy_attack_speed,champion,20,0.25
energy_shields_down,champion,20,0.05
enemy_speed,champion,20,0.4
fast_ultimate,champion,20,1
more_bosses,champion,20,6
more_enemies,champion,20,0.05
knockback_resistance,champion,20,0.9
orb_resistance,champion,20,0.75
plasma_cannon_resistance,champion,20,0.9
protector_ultimate,champion,20,15
ranged_ultimate_tower_disable_time,champion,20,0.1
tank_ultimate,champion,20,15
thorns_resistance,champion,20,0.9
ultimate_weapons_duration,champion,20,-1
enemy_level_skip,champion,20,-0.02
armored_enemies,legend,20,2
basic_ultimate_fast,legend,20,0.01
basic_ultimate_tank,legend,20,0.01
basic_ultimate_range,legend,20,0.01
basic_ultimate_boss,legend,20,0.01
basic_ultimate_protector,legend,20,0.01
boss_ultimate,legend,20,0.1
death_defy_down,legend,20,-0.02
death_ray_resistance,legend,20,0.8
enemy_attack_speed,legend,20,0.25
energy_shields_down,legend,20,0.05
enemy_speed,legend,20,0.4
fast_ultimate,legend,20,1
more_bosses,legend,20,6
more_enemies,legend,20,0.05
knockback_resistance,legend,20,0.9
orb_resistance,legend,20,0.75
plasma_cannon_resistance,legend,20,0.9
protector_ultimate,legend,20,15
ranged_ultimate_tower_disable_time,legend,20,0.1
tank_ultimate,legend,20,15
thorns_resistance,legend,20,0.9
ultimate_weapons_duration,legend,20,-1
enemy_level_skip,legend,20,-0.02
armored_enemies,copper,40,3
basic_ultimate_fast,copper,40,0.02
basic_ultimate_tank,copper,40,0.02
basic_ultimate_range,copper,40,0.01
basic_ultimate_boss,copper,40,0.01
basic_ultimate_protector,copper,40,0.01
boss_ultimate,copper,40,0.15
death_defy_down,copper,40,0
death_ray_resistance,copper,40,0.7
enemy_attack_speed,copper,40,0.5
energy_shields_down,copper,40,0.1
enemy_speed,copper,40,0.6
fast_ultimate,copper,40,2
more_bosses,copper,40,6
more_enemies,copper,40,0.1
knockback_resistance,copper,40,0.8
orb_resistance,copper,40,0.5
plasma_cannon_resistance,copper,40,0.8
protector_ultimate,copper,40,30
ranged_ultimate_tower_disable_time,copper,40,0.2
tank_ultimate,copper,40,30
thorns_resistance,copper,40,0.8
ultimate_weapons_duration,copper,40,-1
enemy_level_skip,copper,40,-0.03
armored_enemies,silver,40,3
basic_ultimate_fast,silver,40,0.02
basic_ultimate_tank,silver,40,0.02
basic_ultimate_range,silver,40,0.01
basic_ultimate_boss,silver,40,0.01
basic_ultimate_protector,silver,40,0.01
boss_ultimate,silver,40,0.15
death_defy_down,silver,40,0
death_ray_resistance,silver,40,0.7
enemy_attack_speed,silver,40,0.5
energy_shields_down,silver,40,0.1
enemy_speed,silver,40,0.6
fast_ultimate,silver,40,2
more_bosses,silver,40,6
more_enemies,silver,40,0.1
knockback_resistance,silver,40,0.8
orb_resistance,silver,40,0.5
plasma_cannon_resistance,silver,40,0.8
protector_ultimate,silver,40,30
ranged_ultimate_tower_disable_time,silver,40,0.2
tank_ultimate,silver,40,30
thorns_resistance,silver,40,0.8
ultimate_weapons_duration,silver,40,-1
enemy_level_skip,silver,40,-0.03
armored_enemies,gold,40,3
basic_ultimate_fast,gold,40,0.02
basic_ultimate_tank,gold,40,0.02
basic_ultimate_range,gold,40,0.01
basic_ultimate_boss,gold,40,0.01
basic_ultimate_protector,gold,40,0.01
boss_ultimate,gold,40,0.15
death_defy_down,gold,40,0
death_ray_resistance,gold,40,0.7
enemy_attack_speed,gold,40,0.5
energy_shields_down,gold,40,0.1
enemy_speed,gold,40,0.6
fast_ultimate,gold,40,2
more_bosses,gold,40,6
more_enemies,gold,40,0.1
knockback_resistance,gold,40,0.8
orb_resistance,gold,40,0.5
plasma_cannon_resistance,gold,40,0.8
protector_ultimate,gold,40,30
ranged_ultimate_tower_disable_time,gold,40,0.2
tank_ultimate,gold,40,30
thorns_resistance,gold,40,0.8
ultimate_weapons_duration,gold,40,-1
enemy_level_skip,gold,40,-0.03
armored_enemies,platinum,40,3
basic_ultimate_fast,platinum,40,0.02
basic_ultimate_tank,platinum,40,0.02
basic_ultimate_range,platinum,40,0.01
basic_ultimate_boss,platinum,40,0.01
basic_ultimate_protector,platinum,40,0.01
boss_ultimate,platinum,40,0.15
death_defy_down,platinum,40,0
death_ray_resistance,platinum,40,0.7
enemy_attack_speed,platinum,40,0.5
energy_shields_down,platinum,40,0.1
enemy_speed,platinum,40,0.6
fast_ultimate,platinum,40,2
more_bosses,platinum,40,6
more_enemies,platinum,40,0.1
knockback_resistance,platinum,40,0.8
orb_resistance,platinum,40,0.5
plasma_cannon_resistance,platinum,40,0.8
protector_ultimate,platinum,40,30
ranged_ultimate_tower_disable_time,platinum,40,0.2
tank_ultimate,platinum,40,30
thorns_resistance,platinum,40,0.8
ultimate_weapons_duration,platinum,40,-1
enemy_level_skip,platinum,40,-0.03
armored_enemies,champion,40,3
basic_ultimate_fast,champion,40,0.02
basic_ultimate_tank,champion,40,0.02
basic_ultimate_range,champion,40,0.01
basic_ultimate_boss,champion,40,0.01
basic_ultimate_protector,champion,40,0.01
boss_ultimate,champion,40,0.15
death_defy_down,champion,40,0
death_ray_resistance,champion,40,0.7
enemy_attack_speed,champion,40,0.5
energy_shields_down,champion,40,0.1
enemy_speed,champion,40,0.6
fast_ultimate,champion,40,2
more_bosses,champion,40,6
more_enemies,champion,40,0.1
knockback_resistance,champion,40,0.8
orb_resistance,champion,40,0.5
plasma_cannon_resistance,champion,40,0.8
protector_ultimate,champion,40,30
ranged_ultimate_tower_disable_time,champion,40,0.2
tank_ultimate,champion,40,30
thorns_resistance,champion,40,0.8
ultimate_weapons_duration,champion,40,-1
enemy_level_skip,champion,40,-0.03
armored_enemies,legend,40,3
basic_ultimate_fast,legend,40,0.02
basic_ultimate_tank,legend,40,0.02
basic_ultimate_range,legend,40,0.01
basic_ultimate_boss,legend,40,0.01
basic_ultimate_protector,legend,40,0.01
boss_ultimate,legend,40,0.15
death_defy_down,legend,40,0
death_ray_resistance,legend,40,0.7
enemy_attack_speed,legend,40,0.5
energy_shields_down,legend,40,0.1
enemy_speed,legend,40,0.6
fast_ultimate,legend,40,2
more_bosses,legend,40,6
more_enemies,legend,40,0.1
knockback_resistance,legend,40,0.8
orb_resistance,legend,40,0.5
plasma_cannon_resistance,legend,40,0.8
protector_ultimate,legend,40,30
ranged_ultimate_tower_disable_time,legend,40,0.2
tank_ultimate,legend,40,30
thorns_resistance,legend,40,0.8
ultimate_weapons_duration,legend,40,-1
enemy_level_skip,legend,40,-0.03
armored_enemies,copper,60,5
basic_ultimate_fast,copper,60,0.02
basic_ultimate_tank,copper,60,0.02
basic_ultimate_range,copper,60,0.01
basic_ultimate_boss,copper,60,0.01
basic_ultimate_protector,copper,60,0.01
boss_ultimate,copper,60,0.2
death_defy_down,copper,60,-0.04
death_ray_resistance,copper,60,0.65
enemy_attack_speed,copper,60,0.75
energy_shields_down,copper,60,0.15
enemy_speed,copper,60,0.7
fast_ultimate,copper,60,2
more_bosses,copper,60,6
more_enemies,copper,60,0.15
knockback_resistance,copper,60,0.75
orb_resistance,copper,60,0.4
plasma_cannon_resistance,copper,60,0.75
protector_ultimate,copper,60,45
ranged_ultimate_tower_disable_time,copper,60,0.2
tank_ultimate,copper,60,45
thorns_resistance,copper,60,0.75
ultimate_weapons_duration,copper,60,-2
enemy_level_skip,copper,60,-0.04
armored_enemies,silver,60,5
basic_ultimate_fast,silver,60,0.02
basic_ultimate_tank,silver,60,0.02
basic_ultimate_range,silver,60,0.01
basic_ultimate_boss,silver,60,0.01
basic_ultimate_protector,silver,60,0.01
boss_ultimate,silver,60,0.2
death_defy_down,silver,60,-0.04
death_ray_resistance,silver,60,0.65
enemy_attack_speed,silver,60,0.75
energy_shields_down,silver,60,0.15
enemy_speed,silver,60,0.7
fast_ultimate,silver,60,2
more_bosses,silver,60,6
more_enemies,silver,60,0.15
knockback_resistance,silver,60,0.75
orb_resistance,silver,60,0.4
plasma_cannon_resistance,silver,60,0.75
protector_ultimate,silver,60,45
ranged_ultimate_tower_disable_time,silver,60,0.2
tank_ultimate,silver,60,45
thorns_resistance,silver,60,0.75
ultimate_weapons_duration,silver,60,-2
enemy_level_skip,silver,60,-0.04
armored_enemies,gold,60,5
basic_ultimate_fast,gold,60,0.02
basic_ultimate_tank,gold,60,0.02
basic_ultimate_range,gold,60,0.01
basic_ultimate_boss,gold,60,0.01
basic_ultimate_protector,gold,60,0.01
boss_ultimate,gold,60,0.2
death_defy_down,gold,60,-0.04
death_ray_resistance,gold,60,0.65
enemy_attack_speed,gold,60,0.75
energy_shields_down,gold,60,0.15
enemy_speed,gold,60,0.7
fast_ultimate,gold,60,2
more_bosses,gold,60,6
more_enemies,gold,60,0.15
knockback_resistance,gold,60,0.75
orb_resistance,gold,60,0.4
plasma_cannon_resistance,gold,60,0.75
protector_ultimate,gold,60,45
ranged_ultimate_tower_disable_time,gold,60,0.2
tank_ultimate,gold,60,45
thorns_resistance,gold,60,0.75
ultimate_weapons_duration,gold,60,-2
enemy_level_skip,gold,60,-0.04
armored_enemies,platinum,60,5
basic_ultimate_fast,platinum,60,0.02
basic_ultimate_tank,platinum,60,0.02
basic_ultimate_range,platinum,60,0.01
basic_ultimate_boss,platinum,60,0.01
basic_ultimate_protector,platinum,60,0.01
boss_ultimate,platinum,60,0.2
death_defy_down,platinum,60,-0.04
death_ray_resistance,platinum,60,0.65
enemy_attack_speed,platinum,60,0.75
energy_shields_down,platinum,60,0.15
enemy_speed,platinum,60,0.7
fast_ultimate,platinum,60,2
more_bosses,platinum,60,6
more_enemies,platinum,60,0.15
knockback_resistance,platinum,60,0.75
orb_resistance,platinum,60,0.4
plasma_cannon_resistance,platinum,60,0.75
protector_ultimate,platinum,60,45
ranged_ultimate_tower_disable_time,platinum,60,0.2
tank_ultimate,platinum,60,45
thorns_resistance,platinum,60,0.75
ultimate_weapons_duration,platinum,60,-2
enemy_level_skip,platinum,60,-0.04
armored_enemies,champion,60,5
basic_ultimate_fast,champion,60,0.02
basic_ultimate_tank,champion,60,0.02
basic_ultimate_range,champion,60,0.01
basic_ultimate_boss,champion,60,0.01
basic_ultimate_protector,champion,60,0.01
boss_ultimate,champion,60,0.2
death_defy_down,champion,60,-0.04
death_ray_resistance,champion,60,0.65
enemy_attack_speed,champion,60,0.75
energy_shields_down,champion,60,0.15
enemy_speed,champion,60,0.7
fast_ultimate,champion,60,2
more_bosses,champion,60,6
more_enemies,champion,60,0.15
knockback_resistance,champion,60,0.75
orb_resistance,champion,60,0.4
plasma_cannon_resistance,champion,60,0.75
protector_ultimate,champion,60,45
ranged_ultimate_tower_disable_time,champion,60,0.2
tank_ultimate,champion,60,45
thorns_resistance,champion,60,0.75
ultimate_weapons_duration,champion,60,-2
enemy_level_skip,champion,60,-0.04
armored_enemies,legend,60,5
basic_ultimate_fast,legend,60,0.02
basic_ultimate_tank,legend,60,0.02
basic_ultimate_range,legend,60,0.01
basic_ultimate_boss,legend,60,0.01
basic_ultimate_protector,legend,60,0.01
boss_ultimate,legend,60,0.2
death_defy_down,legend,60,-0.04
death_ray_resistance,legend,60,0.65
enemy_attack_speed,legend,60,0.75
energy_shields_down,legend,60,0.15
enemy_speed,legend,60,0.7
fast_ultimate,legend,60,2
more_bosses,legend,60,6
more_enemies,legend,60,0.15
knockback_resistance,legend,60,0.75
orb_resistance,legend,60,0.4
plasma_cannon_resistance,legend,60,0.75
protector_ultimate,legend,60,45
ranged_ultimate_tower_disable_time,legend,60,0.2
tank_ultimate,legend,60,45
thorns_resistance,legend,60,0.75
ultimate_weapons_duration,legend,60,-2
enemy_level_skip,legend,60,-0.04
armored_enemies,copper,80,10
basic_ultimate_fast,copper,80,0.03
basic_ultimate_tank,copper,80,0.03
basic_ultimate_range,copper,80,0.02
basic_ultimate_boss,copper,80,0.01
basic_ultimate_protector,copper,80,0.01
boss_ultimate,copper,80,0.25
death_defy_down,copper,80,-0.05
death_ray_resistance,copper,80,0.6
enemy_attack_speed,copper,80,1
energy_shields_down,copper,80,0.2
enemy_speed,copper,80,0.8
fast_ultimate,copper,80,3
more_bosses,copper,80,6
more_enemies,copper,80,0.2
knockback_resistance,copper,80,0.7
orb_resistance,copper,80,0.3
plasma_cannon_resistance,copper,80,0.7
protector_ultimate,copper,80,60
ranged_ultimate_tower_disable_time,copper,80,0.3
tank_ultimate,copper,80,60
thorns_resistance,copper,80,0.7
ultimate_weapons_duration,copper,80,-2
enemy_level_skip,copper,80,-0.06
armored_enemies,silver,80,10
basic_ultimate_fast,silver,80,0.03
basic_ultimate_tank,silver,80,0.03
basic_ultimate_range,silver,80,0.02
basic_ultimate_boss,silver,80,0.01
basic_ultimate_protector,silver,80,0.01
boss_ultimate,silver,80,0.25
