bc_name,bc_key,bc_variant,level_or_heat,value_num,value_unit,value_kind,behavior,source_class
Armored Enemies,armored_enemies,,0,1.0,hits,hits_blocked,Enemies block the first x hits,repo_input_curve
Armored Enemies,armored_enemies,,20,2.0,hits,hits_blocked,Enemies block the first x hits,repo_input_curve
Armored Enemies,armored_enemies,,40,3.0,hits,hits_blocked,Enemies block the first x hits,repo_input_curve
Armored Enemies,armored_enemies,,60,5.0,hits,hits_blocked,Enemies block the first x hits,repo_input_curve
Armored Enemies,armored_enemies,,80,10.0,hits,hits_blocked,Enemies block the first x hits,repo_input_curve
Armored Enemies,armored_enemies,,100,15.0,hits,hits_blocked,Enemies block the first x hits,repo_input_curve
Armored Enemies,armored_enemies,,150,20.0,hits,hits_blocked,Enemies block the first x hits,repo_input_curve
Armored Enemies,armored_enemies,,200,25.0,hits,hits_blocked,Enemies block the first x hits,repo_input_curve
Armored Enemies,armored_enemies,,250,30.0,hits,hits_blocked,Enemies block the first x hits,repo_input_curve
Armored Enemies,armored_enemies,,300,35.0,hits,hits_blocked,Enemies block the first x hits,repo_input_curve
Armored Enemies,armored_enemies,,350,50.0,hits,hits_blocked,Enemies block the first x hits,repo_input_curve
Armored Enemies,armored_enemies,,400,55.0,hits,hits_blocked,Enemies block the first x hits,repo_input_curve
Armored Enemies,armored_enemies,,450,60.0,hits,hits_blocked,Enemies block the first x hits,repo_input_curve
Armored Enemies,armored_enemies,,500,65.0,hits,hits_blocked,Enemies block the first x hits,repo_input_curve
Armored Enemies,armored_enemies,,600,70.0,hits,hits_blocked,Enemies block the first x hits,repo_input_curve
Armored Enemies,armored_enemies,,700,80.0,hits,hits_blocked,Enemies block the first x hits,repo_input_curve
Armored Enemies,armored_enemies,,800,90.0,hits,hits_blocked,Enemies block the first x hits,repo_input_curve
Armored Enemies,armored_enemies,,900,95.0,hits,hits_blocked,Enemies block the first x hits,repo_input_curve
Armored Enemies,armored_enemies,,1000,100.0,hits,hits_blocked,Enemies block the first x hits,repo_input_curve
Basic's Ultimate,basic_ultimate,boss,0,0.01,ratio,probability,,repo_input_curve
Basic's Ultimate,basic_ultimate,boss,20,0.01,ratio,probability,,repo_input_curve
Basic's Ultimate,basic_ultimate,boss,40,0.01,ratio,probability,,repo_input_curve
Basic's Ultimate,basic_ultimate,boss,60,0.01,ratio,probability,,repo_input_curve
Basic's Ultimate,basic_ultimate,boss,80,0.01,ratio,probability,,repo_input_curve
Basic's Ultimate,basic_ultimate,boss,100,0.01,ratio,probability,,repo_input_curve
Basic's Ultimate,basic_ultimate,boss,150,0.01,ratio,probability,,repo_input_curve
Basic's Ultimate,basic_ultimate,boss,200,0.01,ratio,probability,,repo_input_curve
Basic's Ultimate,basic_ultimate,boss,250,0.01,ratio,probability,,repo_input_curve
Basic's Ultimate,basic_ultimate,boss,300,0.01,ratio,probability,,repo_input_curve
Basic's Ultimate,basic_ultimate,boss,350,0.01,ratio,probability,,repo_input_curve
Basic's Ultimate,basic_ultimate,boss,400,0.01,ratio,probability,,repo_input_curve
Basic's Ultimate,basic_ultimate,boss,450,0.01,ratio,probability,,repo_input_curve
Basic's Ultimate,basic_ultimate,boss,500,0.01,ratio,probability,,repo_input_curve
