level_index,multiplier,multiplier_stones,duration_s,duration_stones,cooldown_s,cooldown_stones,source_ref
0,5.0,0.0,15,0,300.0,0.0,live_wiki_verified_2026-03-14
1,5.8,5.0,16,5,290.0,10.0,live_wiki_verified_2026-03-14
2,6.6,13.0,17,14,280.0,28.0,live_wiki_verified_2026-03-14
3,7.4,22.0,18,23,270.0,46.0,live_wiki_verified_2026-03-14
4,8.2,32.0,19,32,260.0,64.0,live_wiki_verified_2026-03-14
5,9.0,43.0,20,41,250.0,82.0,live_wiki_verified_2026-03-14
6,9.8,55.0,21,50,240.0,100.0,live_wiki_verified_2026-03-14
7,10.6,68.0,22,59,230.0,118.0,live_wiki_verified_2026-03-14
8,11.4,82.0,23,68,220.0,136.0,live_wiki_verified_2026-03-14
9,12.2,98.0,24,77,210.0,154.0,live_wiki_verified_2026-03-14
10,13.0,116.0,25,87,200.0,172.0,live_wiki_verified_2026-03-14
11,13.8,138.0,26,98,190.0,190.0,live_wiki_verified_2026-03-14
12,14.6,162.0,27,110,180.0,208.0,live_wiki_verified_2026-03-14
13,15.4,250.0,28,123,170.0,226.0,live_wiki_verified_2026-03-14
14,16.2,350.0,29,137,160.0,244.0,live_wiki_verified_2026-03-14
15,17.0,500.0,30,152,150.0,262.0,live_wiki_verified_2026-03-14
16,17.8,700.0,31,168,140.0,300.0,live_wiki_verified_2026-03-14
17,18.6,950.0,32,185,130.0,368.0,live_wiki_verified_2026-03-14
18,19.4,1250.0,33,203,120.0,476.0,live_wiki_verified_2026-03-14
19,20.2,1600.0,34,222,110.0,644.0,live_wiki_verified_2026-03-14
20,21.0,2000.0,35,242,100.0,872.0,live_wiki_verified_2026-03-14
21,,,36,263,,,live_wiki_verified_2026-03-14
22,,,37,285,,,live_wiki_verified_2026-03-14
23,,,38,308,,,live_wiki_verified_2026-03-14
24,,,39,332,,,live_wiki_verified_2026-03-14
25,,,40,356,,,live_wiki_verified_2026-03-14
26,,,41,380,,,live_wiki_verified_2026-03-14
27,,,42,404,,,live_wiki_verified_2026-03-14
28,,,43,428,,,live_wiki_verified_2026-03-14
29,,,44,452,,,live_wiki_verified_2026-03-14
30,,,45,476,,,live_wiki_verified_2026-03-14
31,,,46,530,,,live_wiki_verified_2026-03-14
32,,,47,614,,,live_wiki_verified_2026-03-14
33,,,48,728,,,live_wiki_verified_2026-03-14
34,,,49,872,,,live_wiki_verified_2026-03-14
35,,,50,1046,,,live_wiki_verified_2026-03-14
36,,,51,1250,,,live_wiki_verified_2026-03-14
37,,,52,1484,,,live_wiki_verified_2026-03-14
38,,,53,1748,,,live_wiki_verified_2026-03-14
