level,time,cost,frequency_seconds,source_ref
1,6d 15h 58m,"200,000,000",19.0,internalized_source_snapshot
2,7d 0h 20m,"200,313,514",18.0,internalized_source_snapshot
3,7d 8h 52m,"200,854,054",17.0,internalized_source_snapshot
4,7d 17h 52m,"202,551,351",16.0,internalized_source_snapshot
5,8d 3h 48m,"207,502,703",15.0,internalized_source_snapshot
6,8d 15h 5m,"219,286,486",14.0,internalized_source_snapshot
7,9d 4h 17m,"243,329,730",13.0,internalized_source_snapshot
8,9d 19h 57m,"287,156,757",12.0,internalized_source_snapshot
9,10d 14h 47m,"360,659,459",11.0,internalized_source_snapshot
10,11d 13h 30m,"476,367,568",10.0,internalized_source_snapshot
11,12d 16h 48m,"649,686,486",9.0,internalized_source_snapshot
12,14d 1h 29m,"899,091,892",8.0,internalized_source_snapshot
13,15d 16h 22m,"1,243,243,243",7.0,internalized_source_snapshot
14,17d 14h 20m,"1,718,918,919",6.0,internalized_source_snapshot
15,19d 20h 16m,"2,335,135,135",5.0,internalized_source_snapshot
16,22d 11h 8m,"3,145,945,946",4.0,internalized_source_snapshot
