uw_name,plus_track_name,level_index,value,cost,source_ref,notes
Black Hole,Consume,0,0.05,0,internalized_source_snapshot,x current wave HP
Black Hole,Consume,1,0.1,400,internalized_source_snapshot,x current wave HP
Black Hole,Consume,2,0.15,500,internalized_source_snapshot,x current wave HP
Black Hole,Consume,3,0.2,610,internalized_source_snapshot,x current wave HP
Black Hole,Consume,4,0.25,730,internalized_source_snapshot,x current wave HP
Black Hole,Consume,5,0.3,860,internalized_source_snapshot,x current wave HP
Black Hole,Consume,6,0.35,1000,internalized_source_snapshot,x current wave HP
Black Hole,Consume,7,0.4,1150,internalized_source_snapshot,x current wave HP
Black Hole,Consume,8,0.45,1300,internalized_source_snapshot,x current wave HP
Black Hole,Consume,9,0.5,1500,internalized_source_snapshot,x current wave HP
Black Hole,Consume,10,0.55,1700,internalized_source_snapshot,x current wave HP
Black Hole,Consume,11,0.6,1950,internalized_source_snapshot,x current wave HP
Black Hole,Consume,12,0.65,2200,internalized_source_snapshot,x current wave HP
Black Hole,Consume,13,0.7,2450,internalized_source_snapshot,x current wave HP
Black Hole,Consume,14,0.75,2700,internalized_source_snapshot,x current wave HP
Chain Lightning,Smite,0,0.0005,0,internalized_source_snapshot,x current wave HP; wiki lists N/A for final three values
Chain Lightning,Smite,1,0.001,300,internalized_source_snapshot,x current wave HP; wiki lists N/A for final three values
Chain Lightning,Smite,2,0.0015,375,internalized_source_snapshot,x current wave HP; wiki lists N/A for final three values
Chain Lightning,Smite,3,0.002,475,internalized_source_snapshot,x current wave HP; wiki lists N/A for final three values
Chain Lightning,Smite,4,0.0025,600,internalized_source_snapshot,x current wave HP; wiki lists N/A for final three values
Chain Lightning,Smite,5,0.003,725,internalized_source_snapshot,x current wave HP; wiki lists N/A for final three values
Chain Lightning,Smite,6,0.0035,925,internalized_source_snapshot,x current wave HP; wiki lists N/A for final three values
Chain Lightning,Smite,7,0.004,1150,internalized_source_snapshot,x current wave HP; wiki lists N/A for final three values
Chain Lightning,Smite,8,0.0045,1450,internalized_source_snapshot,x current wave HP; wiki lists N/A for final three values
Chain Lightning,Smite,9,0.005,1800,internalized_source_snapshot,x current wave HP; wiki lists N/A for final three values
Chain Lightning,Smite,10,0.0055,2200,internalized_source_snapshot,x current wave HP; wiki lists N/A for final three values
Chain Lightning,Smite,11,0.006,2650,internalized_source_snapshot,x current wave HP; wiki lists N/A for final three values
Chain Lightning,Smite,12,,3150,internalized_source_snapshot,x current wave HP; wiki lists N/A for final three values
Chain Lightning,Smite,13,,3700,internalized_source_snapshot,x current wave HP; wiki lists N/A for final three values
Chain Lightning,Smite,14,,4300,internalized_source_snapshot,x current wave HP; wiki lists N/A for final three values
Chrono Field,Chrono Loop,0,0.1,0,internalized_source_snapshot,rotation rate; wiki lists N/A at final slot
Chrono Field,Chrono Loop,1,0.15,400,internalized_source_snapshot,rotation rate; wiki lists N/A at final slot
