level_index,damage_multiplier,damage_stones,duration_s,duration_stones,cooldown_s,cooldown_stones,source_ref
0,10,0,30.0,0.0,125.0,0.0,live_wiki_verified_2026-03-14
1,11,5,35.0,10.0,120.0,8.0,live_wiki_verified_2026-03-14
2,13,11,40.0,20.0,115.0,26.0,live_wiki_verified_2026-03-14
3,16,17,45.0,35.0,110.0,44.0,live_wiki_verified_2026-03-14
4,20,23,50.0,55.0,105.0,62.0,live_wiki_verified_2026-03-14
5,26,29,55.0,100.0,100.0,80.0,live_wiki_verified_2026-03-14
6,34,35,60.0,120.0,95.0,98.0,live_wiki_verified_2026-03-14
7,43,41,65.0,150.0,90.0,116.0,live_wiki_verified_2026-03-14
8,55,47,70.0,200.0,85.0,134.0,live_wiki_verified_2026-03-14
9,69,53,75.0,260.0,80.0,152.0,live_wiki_verified_2026-03-14
10,87,61,80.0,330.0,75.0,170.0,live_wiki_verified_2026-03-14
11,108,71,85.0,410.0,70.0,188.0,live_wiki_verified_2026-03-14
12,134,84,90.0,500.0,65.0,206.0,live_wiki_verified_2026-03-14
13,164,100,95.0,600.0,60.0,224.0,live_wiki_verified_2026-03-14
14,200,120,100.0,710.0,55.0,242.0,live_wiki_verified_2026-03-14
15,243,144,,,50.0,260.0,live_wiki_verified_2026-03-14
16,293,174,,,,,live_wiki_verified_2026-03-14
17,352,210,,,,,live_wiki_verified_2026-03-14
18,421,252,,,,,live_wiki_verified_2026-03-14
19,502,302,,,,,live_wiki_verified_2026-03-14
20,597,362,,,,,live_wiki_verified_2026-03-14
21,708,434,,,,,live_wiki_verified_2026-03-14
22,838,525,,,,,live_wiki_verified_2026-03-14
23,989,636,,,,,live_wiki_verified_2026-03-14
24,1165,772,,,,,live_wiki_verified_2026-03-14
25,1370,938,,,,,live_wiki_verified_2026-03-14
26,1608,1134,,,,,live_wiki_verified_2026-03-14
27,1886,1360,,,,,live_wiki_verified_2026-03-14
28,2209,1616,,,,,live_wiki_verified_2026-03-14
29,2585,1902,,,,,live_wiki_verified_2026-03-14
30,3021,2228,,,,,live_wiki_verified_2026-03-14
