level_index,damage_multiplier,damage_stones,quantity,quantity_stones,cooldown_s,cooldown_stones,source_ref
0,10,0,5.0,0.0,180.0,0.0,live_wiki_verified_2026-03-14
1,11,5,6.0,4.0,170.0,8.0,live_wiki_verified_2026-03-14
2,13,11,7.0,12.0,160.0,24.0,live_wiki_verified_2026-03-14
3,16,17,8.0,35.0,150.0,40.0,live_wiki_verified_2026-03-14
4,20,23,9.0,70.0,140.0,56.0,live_wiki_verified_2026-03-14
5,26,29,10.0,120.0,130.0,72.0,live_wiki_verified_2026-03-14
6,34,35,11.0,180.0,120.0,88.0,live_wiki_verified_2026-03-14
7,43,41,12.0,275.0,110.0,104.0,live_wiki_verified_2026-03-14
8,55,47,13.0,350.0,100.0,120.0,live_wiki_verified_2026-03-14
9,69,53,14.0,420.0,90.0,136.0,live_wiki_verified_2026-03-14
10,87,61,15.0,500.0,80.0,152.0,live_wiki_verified_2026-03-14
11,108,71,16.0,600.0,70.0,168.0,live_wiki_verified_2026-03-14
12,134,84,17.0,750.0,60.0,184.0,live_wiki_verified_2026-03-14
13,164,100,18.0,950.0,50.0,200.0,live_wiki_verified_2026-03-14
14,200,120,19.0,1200.0,40.0,216.0,live_wiki_verified_2026-03-14
15,243,144,20.0,1500.0,30.0,232.0,live_wiki_verified_2026-03-14
16,293,174,,,20.0,750.0,live_wiki_verified_2026-03-14
17,352,210,,,,,live_wiki_verified_2026-03-14
18,421,252,,,,,live_wiki_verified_2026-03-14
19,502,302,,,,,live_wiki_verified_2026-03-14
20,597,362,,,,,live_wiki_verified_2026-03-14
21,708,432,,,,,live_wiki_verified_2026-03-14
22,838,528,,,,,live_wiki_verified_2026-03-14
23,989,654,,,,,live_wiki_verified_2026-03-14
24,1165,810,,,,,live_wiki_verified_2026-03-14
25,1370,996,,,,,live_wiki_verified_2026-03-14
26,1608,1222,,,,,live_wiki_verified_2026-03-14
27,1886,1488,,,,,live_wiki_verified_2026-03-14
28,2209,1804,,,,,live_wiki_verified_2026-03-14
29,2585,2180,,,,,live_wiki_verified_2026-03-14
30,3021,2636,,,,,live_wiki_verified_2026-03-14
