level,time,cost,value_multiplier,status,source_url
1,1d 15h 59m,20000000,1.5,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Black_Hole_Coin_Bonus
2,2d 0h 21m,21405405,2.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Black_Hole_Coin_Bonus
3,2d 8h 53m,23124324,2.5,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Black_Hole_Coin_Bonus
4,2d 17h 54m,26627027,3.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Black_Hole_Coin_Bonus
5,3d 3h 49m,35837838,3.5,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Black_Hole_Coin_Bonus
6,3d 15h 6m,58248649,4.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Black_Hole_Coin_Bonus
7,4d 4h 17m,106162162,4.5,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Black_Hole_Coin_Bonus
8,4d 19h 58m,197870270,5.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Black_Hole_Coin_Bonus
9,5d 14h 49m,358875676,5.5,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Black_Hole_Coin_Bonus
10,6d 13h 31m,623091892,6.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Black_Hole_Coin_Bonus
11,7d 16h 49m,1030000000,6.5,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Black_Hole_Coin_Bonus
12,9d 1h 30m,1640000000,7.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Black_Hole_Coin_Bonus
13,10d 16h 23m,2520000000,7.5,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Black_Hole_Coin_Bonus
14,12d 14h 21m,3740000000,8.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Black_Hole_Coin_Bonus
15,14d 20h 18m,5410000000,8.5,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Black_Hole_Coin_Bonus
16,17d 11h 9m,7630000000,9.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Black_Hole_Coin_Bonus
17,20d 11h 54m,10520000000,9.5,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Black_Hole_Coin_Bonus
18,23d 23h 32m,14230000000,10.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Black_Hole_Coin_Bonus
19,27d 23h 5m,18930000000,10.5,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Black_Hole_Coin_Bonus
20,32d 11h 40m,24800000000,11.0,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Black_Hole_Coin_Bonus
