level_index,damage_multiplier,damage_stones,effect_wave_qty,effect_wave_stones,cooldown_s,cooldown_stones,source_ref
0,2,0,1.0,0.0,300.0,0.0,live_wiki_verified_2026-03-14
1,3,5,2.0,200.0,290.0,8.0,live_wiki_verified_2026-03-14
2,5,11,3.0,500.0,280.0,24.0,live_wiki_verified_2026-03-14
3,9,17,4.0,850.0,270.0,40.0,live_wiki_verified_2026-03-14
4,14,23,5.0,1400.0,260.0,56.0,live_wiki_verified_2026-03-14
5,22,29,,,250.0,72.0,live_wiki_verified_2026-03-14
6,32,35,,,240.0,88.0,live_wiki_verified_2026-03-14
7,46,41,,,230.0,104.0,live_wiki_verified_2026-03-14
8,63,47,,,220.0,120.0,live_wiki_verified_2026-03-14
9,85,53,,,210.0,136.0,live_wiki_verified_2026-03-14
10,113,61,,,200.0,152.0,live_wiki_verified_2026-03-14
11,148,71,,,190.0,168.0,live_wiki_verified_2026-03-14
12,191,84,,,180.0,184.0,live_wiki_verified_2026-03-14
13,244,100,,,170.0,200.0,live_wiki_verified_2026-03-14
14,309,120,,,160.0,216.0,live_wiki_verified_2026-03-14
15,387,144,,,150.0,232.0,live_wiki_verified_2026-03-14
16,482,174,,,140.0,248.0,live_wiki_verified_2026-03-14
17,596,210,,,130.0,264.0,live_wiki_verified_2026-03-14
18,723,254,,,120.0,280.0,live_wiki_verified_2026-03-14
19,877,308,,,110.0,346.0,live_wiki_verified_2026-03-14
20,1064,374,,,100.0,512.0,live_wiki_verified_2026-03-14
21,1290,452,,,90.0,688.0,live_wiki_verified_2026-03-14
22,1569,558,,,80.0,874.0,live_wiki_verified_2026-03-14
23,1916,694,,,70.0,1070.0,live_wiki_verified_2026-03-14
24,2356,880,,,60.0,1276.0,live_wiki_verified_2026-03-14
25,2919,1126,,,50.0,1492.0,live_wiki_verified_2026-03-14
26,3637,1432,,,,,live_wiki_verified_2026-03-14
27,4544,1813,,,,,live_wiki_verified_2026-03-14
28,5678,2269,,,,,live_wiki_verified_2026-03-14
29,7078,2800,,,,,live_wiki_verified_2026-03-14
30,9119,3406,,,,,live_wiki_verified_2026-03-14
