level,time,cost,value_seconds,requires,source_status
1,16d 16h 0m 0s,1q,5s,ILM+,live_wiki_row_verified
2,33d 8h 0m 0s,2.1q,10s,ILM+,live_wiki_row_verified
3,50d 0h 0m 0s,4.2q,15s,ILM+,live_wiki_row_verified
4,66d 16h 0m 0s,8.6q,20s,ILM+,live_wiki_row_verified
5,83d 8h 0m 0s,17.7q,25s,ILM+,live_wiki_row_verified
6,100d 0h 10m 0s,36.2q,30s,ILM+,live_wiki_row_verified
7,116d 16h 0m 0s,74.2q,35s,ILM+,live_wiki_row_verified
8,133d 8h 0m 0s,152.2q,40s,ILM+,live_wiki_row_verified
9,150d 0h 0m 0s,311.9q,45s,ILM+,live_wiki_row_verified
10,166d 16h 0m 0s,639.4q,50s,ILM+,live_wiki_row_verified
