track,level,value,stone_cost
damage,0,10.00x,0
quantity,0,3#,0
cooldown,0,200s,0
damage,1,11.00x,5
quantity,1,4#,50
cooldown,1,190s,8
damage,2,13.00x,11
quantity,2,5#,125
cooldown,2,180s,24
damage,3,16.00x,17
quantity,3,6#,250
cooldown,3,170s,40
damage,4,20.00x,23
cooldown,4,160s,56
damage,5,26.00x,29
cooldown,5,150s,72
damage,6,34.00x,35
cooldown,6,140s,88
damage,7,43.00x,41
cooldown,7,130s,104
damage,8,55.00x,47
cooldown,8,120s,120
damage,9,69.00x,53
cooldown,9,110s,136
damage,10,87.00x,61
cooldown,10,100s,152
damage,11,108.00x,71
cooldown,11,90s,168
damage,12,134.00x,84
cooldown,12,80s,184
damage,13,164.00x,100
cooldown,13,70s,200
damage,14,200.00x,120
cooldown,14,60s,216
damage,15,243.00x,144
cooldown,15,50s,232
damage,16,293.00x,174
damage,17,352.00x,210
damage,18,421.00x,254
damage,19,502.00x,308
damage,20,597.00x,374
damage,21,708.00x,454
damage,22,838.00x,540
damage,23,989.00x,632
damage,24,1165.00x,730
damage,25,1370.00x,834
damage,26,1608.00x,944
damage,27,1886.00x,1060
damage,28,2209.00x,1182
damage,29,2585.00x,1312
damage,30,3021.00x,1448
