level,time,cost,value
1,8d 8h 0m,100000000000,x1.25
2,9d 8h 0m,150000000000,x2.5
3,10d 10h 52m,225000000000,x3.75
4,11d 16h 59m,337500000000,x5
5,13d 2h 42m,506250000000,x6.25
6,14d 16h 28m,759380000000,x7.5
7,16d 10h 45m,1140000000000,x8.75
8,18d 10h 8m,1710000000000,x10
9,20d 15h 11m,2560000000000,x11.25
10,23d 2h 36m,3840000000000,x12.5
11,25d 21h 10m,5770000000000,x13.75
12,28d 23h 42m,8650000000000,x15
13,32d 11h 11m,12970000000000,x16.25
14,36d 8h 41m,19460000000000,x17.5
15,40d 17h 25m,29190000000000,x18.75
16,45d 14h 42m,43790000000000,x20
17,51d 2h 4m,65680000000000,x21.25
18,57d 5h 12m,98530000000000,x22.5
19,64d 1h 59m,147790000000000,x23.75
20,71d 18h 33m,221680000000000,x25
21,80d 9h 15m,332530000000000,x26.25
22,90d 0h 46m 11s,498790000000000,x27.5
23,100d 20h 3m,748180000000000,x28.75
24,112d 22h 28m,1120000000000000,x30
25,126d 11h 43m,1680000000000000,x31.25
26,141d 16h 0m,2530000000000000,x32.5
27,158d 16h 0m,3790000000000000,x33.75
28,177d 16h 58m,5680000000000000,x35
29,199d 0h 46m 25s,8520000000000000,x36.25
30,222d 21h 59m,12780000000000000,x37.5
