level,time,cost,value,unit,source_status
1,1d 14h 53m,"800,000",0.35,radius,live_wiki_row_verified
2,1d 18h 14m,"835,000",0.4,radius,live_wiki_row_verified
3,1d 21h 46m,"1,050,000",0.45,radius,live_wiki_row_verified
4,2d 1h 47m,"2,000,000",0.5,radius,live_wiki_row_verified
5,2d 6h 42m,"4,780,000",0.55,radius,live_wiki_row_verified
6,2d 12h 59m,"11,050,000",0.6,radius,live_wiki_row_verified
7,2d 21h 10m,"23,130,000",0.65,radius,live_wiki_row_verified
8,3d 7h 52m,"44,020,000",0.7,radius,live_wiki_row_verified
9,3d 21h 42m,"77,430,000",0.75,radius,live_wiki_row_verified
10,4d 15h 24m,"127,860,000",0.8,radius,live_wiki_row_verified
11,5d 13h 42m,"200,580,000",0.85,radius,live_wiki_row_verified
12,6d 17h 23m,"301,670,000",0.9,radius,live_wiki_row_verified
13,8d 3h 16m,"438,100,000",0.95,radius,live_wiki_row_verified
14,9d 20h 14m,"617,660,000",1.0,radius,live_wiki_row_verified
15,11d 21h 11m,"849,060,000",1.05,radius,live_wiki_row_verified
16,14d 7h 3m,"1,140,000,000",1.1,radius,live_wiki_row_verified
17,17d 2h 48m,"1,510,000,000",1.15,radius,live_wiki_row_verified
18,20d 9h 26m,"1,960,000,000",1.2,radius,live_wiki_row_verified
19,24d 4h 0m,"2,500,000,000",1.25,radius,live_wiki_row_verified
20,28d 11h 33m,"3,150,000,000",1.3,radius,live_wiki_row_verified
