level,time,cost,value_pct
1,0d 20h 0m,250000,3.00%
2,1d 4h 21m,560000,3.50%
3,1d 12h 53m,1100000,4.00%
4,1d 21h 54m,2800000,4.50%
5,2d 7h 49m,7750000,5.00%
6,2d 19h 6m,19540000,5.50%
7,3d 8h 17m,43580000,6.00%
8,3d 23h 58m,87410000,6.50%
9,4d 18h 49m,160910000,7.00%
10,5d 17h 31m,276620000,7.50%
11,6d 20h 49m,449930000,8.00%
12,8d 5h 30m,699340000,8.50%
13,9d 20h 23m,1050000000,9.00%
14,11d 18h 21m,1520000000,9.50%
15,14d 0h 18m,2140000000,10.00%
16,16d 15h 9m,2950000000,10.50%
17,19d 15h 54m,3980000000,11.00%
18,23d 3h 32m,5270000000,11.50%
19,27d 3h 6m,6880000000,12.00%
20,31d 15h 40m,8840000000,12.50%
21,36d 18h 19m,11220000000,13.00%
22,42d 12h 12m,14080000000,13.50%
23,48d 22h 27m,17480000000,14.00%
24,56d 2h 16m,21490000000,14.50%
25,64d 0h 50m,26190000000,15.00%
26,72d 19h 25m,31660000000,15.50%
27,82d 11h 17m,37990000000,16.00%
28,93d 1h 41m,45280000000,16.50%
29,104d 15h 58m,53620000000,17.00%
30,117d 7h 28m,63130000000,17.50%
