bonus_level_index,bonus_x,bonus_stones,angle_deg,angle_stones,quantity,quantity_stones,source_ref,notes
0,8.0,0.0,30,0,1.0,0.0,live_wiki_verified_2026-03-14,live wiki basic upgrades row-verified
1,9.4,5.0,31,5,2.0,375.0,live_wiki_verified_2026-03-14,live wiki basic upgrades row-verified
2,10.8,13.0,32,16,3.0,850.0,live_wiki_verified_2026-03-14,live wiki basic upgrades row-verified
3,12.2,21.0,33,27,4.0,2500.0,live_wiki_verified_2026-03-14,live wiki basic upgrades row-verified
4,13.6,30.0,34,38,,,live_wiki_verified_2026-03-14,live wiki basic upgrades row-verified
5,15.0,40.0,35,49,,,live_wiki_verified_2026-03-14,live wiki basic upgrades row-verified
6,16.4,52.0,36,60,,,live_wiki_verified_2026-03-14,live wiki basic upgrades row-verified
7,17.8,65.0,37,71,,,live_wiki_verified_2026-03-14,live wiki basic upgrades row-verified
8,19.2,80.0,38,82,,,live_wiki_verified_2026-03-14,live wiki basic upgrades row-verified
9,20.6,95.0,39,93,,,live_wiki_verified_2026-03-14,live wiki basic upgrades row-verified
10,22.0,112.0,40,104,,,live_wiki_verified_2026-03-14,live wiki basic upgrades row-verified
11,23.4,133.0,41,115,,,live_wiki_verified_2026-03-14,live wiki basic upgrades row-verified
12,24.8,150.0,42,126,,,live_wiki_verified_2026-03-14,live wiki basic upgrades row-verified
13,26.2,180.0,43,137,,,live_wiki_verified_2026-03-14,live wiki basic upgrades row-verified
14,27.6,220.0,44,148,,,live_wiki_verified_2026-03-14,live wiki basic upgrades row-verified
15,29.0,280.0,45,159,,,live_wiki_verified_2026-03-14,live wiki basic upgrades row-verified
16,30.4,320.0,46,170,,,live_wiki_verified_2026-03-14,live wiki basic upgrades row-verified
17,31.8,360.0,47,181,,,live_wiki_verified_2026-03-14,live wiki basic upgrades row-verified
18,33.2,420.0,48,192,,,live_wiki_verified_2026-03-14,live wiki basic upgrades row-verified
19,34.6,500.0,49,203,,,live_wiki_verified_2026-03-14,live wiki basic upgrades row-verified
20,36.0,600.0,50,214,,,live_wiki_verified_2026-03-14,live wiki basic upgrades row-verified
21,37.4,720.0,51,225,,,live_wiki_verified_2026-03-14,live wiki basic upgrades row-verified
22,38.8,850.0,52,236,,,live_wiki_verified_2026-03-14,live wiki basic upgrades row-verified
23,40.2,1000.0,53,247,,,live_wiki_verified_2026-03-14,live wiki basic upgrades row-verified
24,41.6,1175.0,54,258,,,live_wiki_verified_2026-03-14,live wiki basic upgrades row-verified
25,43.0,1400.0,55,269,,,live_wiki_verified_2026-03-14,live wiki basic upgrades row-verified
26,,,56,280,,,live_wiki_verified_2026-03-14,live wiki basic upgrades row-verified
27,,,57,291,,,live_wiki_verified_2026-03-14,live wiki basic upgrades row-verified
28,,,58,302,,,live_wiki_verified_2026-03-14,live wiki basic upgrades row-verified
29,,,59,313,,,live_wiki_verified_2026-03-14,live wiki basic upgrades row-verified
30,,,60,324,,,live_wiki_verified_2026-03-14,live wiki basic upgrades row-verified
31,,,61,337,,,live_wiki_verified_2026-03-14,live wiki basic upgrades row-verified
32,,,62,352,,,live_wiki_verified_2026-03-14,live wiki basic upgrades row-verified
33,,,63,369,,,live_wiki_verified_2026-03-14,live wiki basic upgrades row-verified
34,,,64,388,,,live_wiki_verified_2026-03-14,live wiki basic upgrades row-verified
35,,,65,409,,,live_wiki_verified_2026-03-14,live wiki basic upgrades row-verified
36,,,66,432,,,live_wiki_verified_2026-03-14,live wiki basic upgrades row-verified
37,,,67,457,,,live_wiki_verified_2026-03-14,live wiki basic upgrades row-verified
38,,,68,484,,,live_wiki_verified_2026-03-14,live wiki basic upgrades row-verified
39,,,69,513,,,live_wiki_verified_2026-03-14,live wiki basic upgrades row-verified
40,,,70,544,,,live_wiki_verified_2026-03-14,live wiki basic upgrades row-verified
41,,,71,577,,,live_wiki_verified_2026-03-14,live wiki basic upgrades row-verified
42,,,72,612,,,live_wiki_verified_2026-03-14,live wiki basic upgrades row-verified
43,,,73,649,,,live_wiki_verified_2026-03-14,live wiki basic upgrades row-verified
44,,,74,688,,,live_wiki_verified_2026-03-14,live wiki basic upgrades row-verified
45,,,75,729,,,live_wiki_verified_2026-03-14,live wiki basic upgrades row-verified
46,,,76,772,,,live_wiki_verified_2026-03-14,live wiki basic upgrades row-verified
47,,,77,817,,,live_wiki_verified_2026-03-14,live wiki basic upgrades row-verified
48,,,78,864,,,live_wiki_verified_2026-03-14,live wiki basic upgrades row-verified
49,,,79,913,,,live_wiki_verified_2026-03-14,live wiki basic upgrades row-verified
50,,,80,964,,,live_wiki_verified_2026-03-14,live wiki basic upgrades row-verified
51,,,81,1017,,,live_wiki_verified_2026-03-14,live wiki basic upgrades row-verified
52,,,82,1072,,,live_wiki_verified_2026-03-14,live wiki basic upgrades row-verified
53,,,83,1129,,,live_wiki_verified_2026-03-14,live wiki basic upgrades row-verified
54,,,84,1188,,,live_wiki_verified_2026-03-14,live wiki basic upgrades row-verified
55,,,85,1249,,,live_wiki_verified_2026-03-14,live wiki basic upgrades row-verified
56,,,86,1312,,,live_wiki_verified_2026-03-14,live wiki basic upgrades row-verified
57,,,87,1377,,,live_wiki_verified_2026-03-14,live wiki basic upgrades row-verified
58,,,88,1444,,,live_wiki_verified_2026-03-14,live wiki basic upgrades row-verified
59,,,89,1513,,,live_wiki_verified_2026-03-14,live wiki basic upgrades row-verified
60,,,90,1584,,,live_wiki_verified_2026-03-14,live wiki basic upgrades row-verified
