level,time,cost,value_seconds,unlock_dependency,source_status
1,0d 19h 59m,250000,1.3,Poison Swamp Stun,live_wiki_row_verified
2,0d 23h 21m,285000,1.6,Poison Swamp Stun,live_wiki_row_verified
3,1d 2h 53m,496980,1.9,Poison Swamp Stun,live_wiki_row_verified
4,1d 6h 54m,1450000,2.2,Poison Swamp Stun,live_wiki_row_verified
5,1d 11h 49m,4230000,2.5,Poison Swamp Stun,live_wiki_row_verified
6,1d 18h 6m,10500000,2.8,Poison Swamp Stun,live_wiki_row_verified
7,2d 2h 17m,22580000,3.1,Poison Swamp Stun,live_wiki_row_verified
8,2d 12h 58m,43470000,3.4,Poison Swamp Stun,live_wiki_row_verified
9,3d 2h 49m,76880000,3.7,Poison Swamp Stun,live_wiki_row_verified
10,3d 20h 31m,127310000,4,Poison Swamp Stun,live_wiki_row_verified
11,4d 18h 49m,200030000,4.3,Poison Swamp Stun,live_wiki_row_verified
12,5d 22h 30m,301120000,4.6,Poison Swamp Stun,live_wiki_row_verified
13,7d 8h 23m,437550000,4.9,Poison Swamp Stun,live_wiki_row_verified
14,9d 1h 21m,617110000,5.2,Poison Swamp Stun,live_wiki_row_verified
15,11d 2h 18m,848510000,5.5,Poison Swamp Stun,live_wiki_row_verified
16,13d 12h 9m,1140000000,5.8,Poison Swamp Stun,live_wiki_row_verified
17,16d 7h 54m,1510000000,6.1,Poison Swamp Stun,live_wiki_row_verified
18,19d 14h 32m,1950000000,6.4,Poison Swamp Stun,live_wiki_row_verified
19,23d 9h 6m,2500000000,6.7,Poison Swamp Stun,live_wiki_row_verified
20,27d 16h 40m,3150000000,7,Poison Swamp Stun,live_wiki_row_verified
21,32d 14h 19m,3930000000,7.3,Poison Swamp Stun,live_wiki_row_verified
22,38d 3h 12m,4850000000,7.6,Poison Swamp Stun,live_wiki_row_verified
23,44d 8h 27m,5920000000,7.9,Poison Swamp Stun,live_wiki_row_verified
24,51d 7h 16m,7170000000,8.2,Poison Swamp Stun,live_wiki_row_verified
25,59d 0h 50m,8610000000,8.5,Poison Swamp Stun,live_wiki_row_verified
26,67d 14h 25m,10260000000,8.8,Poison Swamp Stun,live_wiki_row_verified
27,77d 1h 17m,12150000000,9.1,Poison Swamp Stun,live_wiki_row_verified
28,87d 10h 41m,14290000000,9.4,Poison Swamp Stun,live_wiki_row_verified
29,98d 19h 58m,16700000000,9.7,Poison Swamp Stun,live_wiki_row_verified
30,111d 6h 28m,19420000000,10,Poison Swamp Stun,live_wiki_row_verified
