level,unlock_cost_stones,value,ability,description,source_status
1,400,0.1,Chrono Field - Chrono Loop,Enemies affected by Chrono Field spiral towards the tower with a rotation rate of X,live_wiki_row_verified_v70
2,500,0.15,Chrono Field - Chrono Loop,Enemies affected by Chrono Field spiral towards the tower with a rotation rate of X,live_wiki_row_verified_v70
3,610,0.2,Chrono Field - Chrono Loop,Enemies affected by Chrono Field spiral towards the tower with a rotation rate of X,live_wiki_row_verified_v70
4,730,0.25,Chrono Field - Chrono Loop,Enemies affected by Chrono Field spiral towards the tower with a rotation rate of X,live_wiki_row_verified_v70
5,860,0.3,Chrono Field - Chrono Loop,Enemies affected by Chrono Field spiral towards the tower with a rotation rate of X,live_wiki_row_verified_v70
6,1000,0.35,Chrono Field - Chrono Loop,Enemies affected by Chrono Field spiral towards the tower with a rotation rate of X,live_wiki_row_verified_v70
7,1150,0.4,Chrono Field - Chrono Loop,Enemies affected by Chrono Field spiral towards the tower with a rotation rate of X,live_wiki_row_verified_v70
8,1300,0.45,Chrono Field - Chrono Loop,Enemies affected by Chrono Field spiral towards the tower with a rotation rate of X,live_wiki_row_verified_v70
9,1500,0.5,Chrono Field - Chrono Loop,Enemies affected by Chrono Field spiral towards the tower with a rotation rate of X,live_wiki_row_verified_v70
10,1700,0.55,Chrono Field - Chrono Loop,Enemies affected by Chrono Field spiral towards the tower with a rotation rate of X,live_wiki_row_verified_v70
11,1950,0.6,Chrono Field - Chrono Loop,Enemies affected by Chrono Field spiral towards the tower with a rotation rate of X,live_wiki_row_verified_v70
12,2200,0.65,Chrono Field - Chrono Loop,Enemies affected by Chrono Field spiral towards the tower with a rotation rate of X,live_wiki_row_verified_v70
13,2450,0.7,Chrono Field - Chrono Loop,Enemies affected by Chrono Field spiral towards the tower with a rotation rate of X,live_wiki_row_verified_v70
14,2700,0.75,Chrono Field - Chrono Loop,Enemies affected by Chrono Field spiral towards the tower with a rotation rate of X,live_wiki_row_verified_v70
