level,unlock_cost_stones,value,ability,description,source_status
1,400,3,Death Wave - Kill Wall,Each Effect Wave hit amplifies the Death Wave damage store by x (additively).,live_wiki_row_verified_v70
2,500,4,Death Wave - Kill Wall,Each Effect Wave hit amplifies the Death Wave damage store by x (additively).,live_wiki_row_verified_v70
3,610,6,Death Wave - Kill Wall,Each Effect Wave hit amplifies the Death Wave damage store by x (additively).,live_wiki_row_verified_v70
4,730,9,Death Wave - Kill Wall,Each Effect Wave hit amplifies the Death Wave damage store by x (additively).,live_wiki_row_verified_v70
5,860,13,Death Wave - Kill Wall,Each Effect Wave hit amplifies the Death Wave damage store by x (additively).,live_wiki_row_verified_v70
6,1000,18,Death Wave - Kill Wall,Each Effect Wave hit amplifies the Death Wave damage store by x (additively).,live_wiki_row_verified_v70
7,1150,24,Death Wave - Kill Wall,Each Effect Wave hit amplifies the Death Wave damage store by x (additively).,live_wiki_row_verified_v70
8,1300,31,Death Wave - Kill Wall,Each Effect Wave hit amplifies the Death Wave damage store by x (additively).,live_wiki_row_verified_v70
9,1500,39,Death Wave - Kill Wall,Each Effect Wave hit amplifies the Death Wave damage store by x (additively).,live_wiki_row_verified_v70
10,1700,48,Death Wave - Kill Wall,Each Effect Wave hit amplifies the Death Wave damage store by x (additively).,live_wiki_row_verified_v70
11,1950,58,Death Wave - Kill Wall,Each Effect Wave hit amplifies the Death Wave damage store by x (additively).,live_wiki_row_verified_v70
12,2200,69,Death Wave - Kill Wall,Each Effect Wave hit amplifies the Death Wave damage store by x (additively).,live_wiki_row_verified_v70
13,2450,81,Death Wave - Kill Wall,Each Effect Wave hit amplifies the Death Wave damage store by x (additively).,live_wiki_row_verified_v70
14,2700,94,Death Wave - Kill Wall,Each Effect Wave hit amplifies the Death Wave damage store by x (additively).,live_wiki_row_verified_v70
15,3000,108,Death Wave - Kill Wall,Each Effect Wave hit amplifies the Death Wave damage store by x (additively).,live_wiki_row_verified_v70
