Level,Damage,Level,Health,Level,HPregen,Level,DefAbs,Level,Damage / Meter,Level,Lifesteal
0.0,3.0,0.0,5.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0
1.0,5.877,1.0,10.0,1.0,0.0399999991059303,1.0,0.504999995231628,1.0,0.7939773798,1.0,0.09927235544
2.0,8.908,2.0,15.0769996643066,2.0,0.0884999982118607,2.0,1.51994898564816,2.0,1.576000094,2.0,0.1970999986
3.0,12.093,3.0,20.097185602328,3.0,0.151587081611156,3.0,2.55563557463949,3.0,2.346203089,3.0,0.2934987247
4.0,15.432,4.0,25.9979132943818,4.0,0.234163052797318,4.0,3.62399103538218,4.0,3.104720116,4.0,0.3884840906
5.0,18.925,5.0,32.6758214062247,5.0,0.33963343000412,5.0,4.73464229221187,5.0,3.851683378,5.0,0.4820716083
6.0,22.572,6.0,40.310564520516,6.0,0.470741903662682,6.0,5.89604257541594,6.0,4.587224007,6.0,0.5742766261
7.0,26.373,7.0,49.0693445982124,7.0,0.62983224606514,7.0,7.1158777927034,7.0,5.311471462,7.0,0.6651141644
8.0,30.328,8.0,59.1100979674611,8.0,0.81897399187088,8.0,8.40127638510422,8.0,6.024554729,8.0,0.754599452
9.0,34.437,9.0,70.5834860234063,9.0,1.04003383612633,9.0,9.75893539106834,9.0,6.726599693,9.0,0.8427472115
10.0,38.7,10.0,83.634214884587,10.0,1.29472118282318,10.0,11.1952039480022,10.0,7.417732716,10.0,0.9295721054
11.0,43.117,11.0,98.4019699937853,11.0,1.58461926031113,11.0,12.7161425721298,11.0,8.098078728,11.0,1.015088916
12.0,47.688,12.0,115.022163798705,12.0,1.91120656275749,12.0,14.3275659759206,12.0,8.767760277,12.0,1.099311948
13.0,52.413,13.0,133.62641800601,13.0,2.27587385177612,13.0,16.0350774277543,13.0,9.42689991,13.0,1.182255745
14.0,57.292,14.0,154.343064527377,14.0,2.67993676996231,14.0,17.8440935210856,14.0,10.07561779,14.0,1.263933897
15.0,62.325,15.0,176.392881510634,15.0,3.12464492273331,15.0,19.7598662250421,15.0,10.71403408,15.0,1.344360948
16.0,67.512,16.0,201.578517502479,16.0,3.61119126987457,16.0,21.7875007061407,16.0,11.34226704,16.0,1.423550725
17.0,72.853,17.0,229.232181813954,17.0,4.14071723127365,17.0,23.9319659004916,17.0,11.96043396,17.0,1.501516819
18.0,78.348,18.0,259.471256497487,18.0,4.71431890821457,18.0,26.1981129396408,18.0,12.56865025,18.0,1.578272939
19.0,83.997,19.0,292.411100290032,19.0,5.33305110740662,19.0,28.5906793794517,19.0,13.16703033,19.0,1.653832316
20.0,89.8,20.0,328.165256895536,20.0,5.99793159294128,20.0,31.1143024908768,20.0,13.75568962,20.0,1.728208661
21.0,95.757,21.0,366.845395475666,21.0,6.70994376039505,21.0,33.7735228847129,21.0,14.33473969,21.0,1.801415205
22.0,101.868,22.0,408.561637950839,22.0,7.47004088878631,22.0,36.5727941776172,22.0,14.90428925,22.0,1.873464584
23.0,108.133,23.0,453.422529245585,23.0,8.27914577007294,23.0,39.5164902416187,23.0,15.46445179,23.0,1.944370151
24.0,114.552,24.0,501.535215816381,24.0,9.13815720510483,24.0,42.6089064123703,24.0,16.01533699,24.0,2.014144897
25.0,121.125,25.0,553.005445651652,25.0,10.0479474487305,25.0,45.8542679469121,25.0,16.5570488,25.0,2.082800865
26.0,127.852,26.0,607.937746799609,26.0,11.0093667831421,26.0,49.2567300236717,26.0,17.08969879,26.0,2.150351286
27.0,134.733,27.0,666.435367858969,27.0,12.0232430877686,27.0,52.8203874084796,27.0,17.61338997,27.0,2.216808319
28.0,141.768,28.0,728.600426752149,28.0,13.0903867235184,28.0,56.5492684133093,28.0,18.12822723,28.0,2.282184124
29.0,148.957,29.0,794.533910725273,29.0,14.2115851716995,29.0,60.4473578530648,29.0,18.63431549,29.0,2.346491575
30.0,156.3,30.0,873.20082933185,30.0,15.3876130876541,30.0,65.157365147801,30.0,19.13175583,30.0,2.409741879
31.0,163.797,31.0,947.726865875615,31.0,16.6192242527008,31.0,69.4476335851533,31.0,19.62064934,31.0,2.471947908
32.0,171.448,32.0,1026.36003504739,32.0,17.9071600055695,32.0,73.9205071704581,32.0,20.10109711,32.0,2.533120871
33.0,179.253,33.0,1109.19851220259,33.0,19.2521444644928,33.0,78.5798027356754,33.0,20.57320023,33.0,2.593272448
34.0,187.212,34.0,1196.33951078259,34.0,20.6548896627426,34.0,83.4292809828832,34.0,21.03705406,34.0,2.652414799
35.0,195.325,35.0,1287.87958291281,35.0,22.1160907964706,35.0,88.4726708885743,35.0,21.4927578,35.0,2.710558891
36.0,203.592,36.0,1383.91395808681,36.0,23.6364335317612,36.0,93.7136477397894,36.0,21.94041252,36.0,2.767716885
37.0,212.013,37.0,1484.53786579816,37.0,25.2165925483704,37.0,99.1558526575542,37.0,22.38010406,37.0,2.823899031
38.0,220.588,38.0,1589.84485219081,38.0,26.8572245903015,38.0,104.802897477739,38.0,22.81193352,38.0,2.87911725
39.0,229.317,39.0,1699.92870388721,39.0,28.5589823646545,39.0,110.65834034676,39.0,23.23599243,39.0,2.933382511
40.0,238.2,40.0,1814.8817646387,40.0,30.3225030784607,40.0,116.725715006741,40.0,23.65237236,40.0,2.986705303
41.0,247.237,41.0,1934.79613771811,41.0,32.1484174661636,41.0,123.008521033787,41.0,24.06116676,41.0,3.039096832
42.0,256.428,42.0,2059.76272400565,42.0,34.037344918251,42.0,129.51021895713,42.0,24.4624691,42.0,3.090568066
43.0,265.773,43.0,2189.87242438155,43.0,35.9898919992447,43.0,136.234244901707,43.0,24.85636139,43.0,3.141129017
44.0,275.272,44.0,2325.21565876901,44.0,38.0066630764007,44.0,143.184000826437,44.0,25.24293709,44.0,3.190790653
45.0,284.925,45.0,2465.88116374158,45.0,40.0882489757538,45.0,150.362844762509,45.0,25.62228394,45.0,3.239562988
46.0,294.732,46.0,2611.95767587281,46.0,42.2352342891693,46.0,157.774134741109,46.0,25.99448776,46.0,3.287456989
47.0,304.693,47.0,2763.53417221477,47.0,44.4481904249191,47.0,165.421179984832,47.0,26.35963821,47.0,3.334482431
48.0,314.808,48.0,2920.69818694843,48.0,46.7276928281784,48.0,173.307260431116,48.0,26.7178154,48.0,3.380649328
49.0,325.077,49.0,3083.53629234066,49.0,49.0742953290939,49.0,181.435646255682,49.0,27.06910324,49.0,3.425967455
50.0,335.5,50.0,3301.66088867188,50.0,51.4885517578125,50.0,191.670444970907,50.0,27.41358948,50.0,3.47044754
51.0,346.077,51.0,3478.76416015625,51.0,53.971015586853,51.0,200.377651320844,51.0,27.75135612,51.0,3.514098883
52.0,356.808,52.0,3661.89135742188,52.0,56.5222186737061,52.0,209.339267864887,52.0,28.08248329,52.0,3.556931019
53.0,367.693,53.0,3851.1279296875,53.0,59.1426971511841,53.0,218.558478550212,53.0,28.40705109,53.0,3.598953962
54.0,378.732,54.0,4046.56103515625,54.0,61.8329739685059,54.0,228.038457466575,54.0,28.72514153,54.0,3.640177011
55.0,389.925,55.0,4248.275390625,55.0,64.59357670784,55.0,237.782358988888,55.0,29.0368309,55.0,3.680609226
56.0,401.272,56.0,4456.3564453125,56.0,67.4250146579742,56.0,247.793298062377,56.0,29.34219933,56.0,3.72026062
57.0,412.773,57.0,4670.888671875,57.0,70.327793428421,57.0,258.074389632269,57.0,29.6413269,57.0,3.759140015
58.0,424.428,58.0,4891.95654296875,58.0,73.3024227848053,58.0,268.628709214102,58.0,29.93428421,58.0,3.797256947
59.0,436.237,59.0,5119.6435546875,59.0,76.3493993091583,59.0,279.459332323417,59.0,30.22114944,59.0,3.834619522
60.0,448.2,60.0,5354.033203125,60.0,79.4692107944489,60.0,290.569275331223,60.0,30.50200081,60.0,3.871237755
61.0,460.317,61.0,5595.208984375,61.0,82.662358455658,61.0,301.961613753061,61.0,30.77691078,61.0,3.907119513
62.0,472.588,62.0,5843.25341796875,62.0,85.9292988471985,62.0,313.639304815409,62.0,31.04595566,62.0,3.942274809
63.0,485.013,63.0,6098.248046875,63.0,89.2705331840515,63.0,325.605345174435,63.0,31.3092041,63.0,3.976711273
64.0,497.592,64.0,6360.27490234375,64.0,92.6865272865295,64.0,337.862731486307,64.0,31.56672668,64.0,4.010437965
65.0,510.325,65.0,6629.41650390625,65.0,96.1777381858826,65.0,350.414381547817,65.0,31.81859779,65.0,4.043462753
66.0,523.212,66.0,6905.75244140625,66.0,99.7446492805481,66.0,363.263272300289,66.0,32.064888,66.0,4.07579565
67.0,536.253,67.0,7189.36474609375,67.0,103.387700023651,67.0,376.412262395988,67.0,32.30567169,67.0,4.107442856
68.0,549.448,68.0,7480.3330078125,68.0,107.107356473923,68.0,389.864309061394,68.0,32.54100418,68.0,4.138414383
69.0,562.797,69.0,7778.7373046875,69.0,110.904066396713,69.0,403.622251233928,69.0,32.77096558,69.0,4.168717384
70.0,576.3,70.0,8084.658203125,70.0,114.778278272629,70.0,421.744236030513,70.0,33.0,70.0,4.198360443
71.0,589.957,71.0,8398.1748046875,71.0,118.730431554794,71.0,436.262199997997,71.0,33.20000076,71.0,4.227351189
72.0,603.768,72.0,8719.3662109375,72.0,122.760965696335,72.0,451.097708453834,72.0,33.40000153,72.0,4.255698204
73.0,617.733,73.0,9048.310546875,73.0,126.870320150375,73.0,466.253548272921,73.0,33.59999847,73.0,4.283408165
74.0,631.852,74.0,9385.0859375,74.0,131.058908241272,74.0,481.73266558015,74.0,33.79999924,74.0,4.310489655
75.0,646.125,75.0,9827.07009275653,75.0,135.327186523437,75.0,497.537767625423,75.0,34.0,75.0,4.336950302
76.0,660.552,76.0,10183.2706557994,76.0,139.675550743103,76.0,513.671760721131,76.0,34.20000076,76.0,4.362798214
77.0,675.133,77.0,10547.6182890779,77.0,144.104440353394,77.0,530.137352117177,77.0,34.40000153,77.0,4.388040066
78.0,689.868,78.0,10920.1899261849,78.0,148.614268440247,78.0,546.937368500956,78.0,34.59999847,78.0,4.41268301
79.0,704.757,79.0,11301.0625007136,79.0,153.205439300537,79.0,564.074556934868,79.0,34.79999924,79.0,4.43673563
80.0,719.8,80.0,11690.3159052413,80.0,157.878374809265,80.0,581.55170429381,80.0,35.0,80.0,4.460204124
81.0,734.997,81.0,12088.0260870329,81.0,162.633488290787,81.0,599.371478015184,81.0,35.20000076,,
82.0,750.348,82.0,12494.2680070251,82.0,167.47114840889,82.0,617.536704786388,82.0,35.40000153,,
83.0,765.853,83.0,12909.1225441236,83.0,172.391794855118,83.0,636.050012232324,83.0,35.59999847,,
84.0,781.512,84.0,13332.6607139525,84.0,177.395814348221,84.0,654.914107602893,84.0,35.79999924,,
85.0,797.325,85.0,13764.9643817456,85.0,182.483593606949,85.0,674.131737960494,85.0,36.0,,
86.0,813.292,86.0,14206.1065357833,86.0,187.655536928177,86.0,693.705530930032,86.0,36.20000076,,
87.0,829.413,87.0,14656.1621370025,87.0,192.912031269073,87.0,713.638193761406,87.0,36.40000153,,
88.0,845.688,88.0,15115.2081189961,88.0,198.253445293427,88.0,733.932314267022,88.0,36.59999847,,
89.0,862.117,89.0,15583.3194427011,89.0,203.68018353653,89.0,754.590599696781,89.0,36.79999924,,
90.0,878.7,90.0,16060.5690963978,90.0,209.192615139008,90.0,783.073513891357,90.0,37.0,,
91.0,895.437,91.0,16547.0340136795,91.0,214.791126819611,91.0,804.673687988552,91.0,37.20000076,,
92.0,912.328,92.0,17042.7871828265,92.0,220.476087718964,92.0,826.649366678069,92.0,37.40000153,,
93.0,929.373,93.0,17547.9055374321,93.0,226.24786721611,93.0,849.003363631655,93.0,37.59999847,,
94.0,946.572,94.0,18062.457134136,94.0,232.106869131088,94.0,871.738090567952,94.0,37.79999924,,
95.0,963.925,95.0,18586.5228518439,95.0,238.053410108566,95.0,894.856280768084,95.0,38.0,,
96.0,981.432,96.0,19120.1717335237,96.0,244.087894445419,96.0,918.360426341313,96.0,38.20000076,,
97.0,999.093,97.0,19663.4787401124,97.0,250.210691282272,97.0,942.253180178145,97.0,38.40000153,,
98.0,1016.908,98.0,20216.5168598904,98.0,256.422117025375,98.0,966.537195169084,98.0,38.59999847,,
99.0,1034.877,99.0,20779.3571084822,99.0,262.722575971603,99.0,991.214802642148,99.0,38.79999924,,
100.0,1053.0,100.0,21563.4809248988,100.0,269.11240234375,100.0,1016.28873587846,100.0,39.0,,
101.0,1071.277,101.0,22151.9153279578,101.0,275.591947227478,101.0,1041.76156737791,101.0,39.20000076,,
102.0,1089.708,102.0,22750.4700433277,102.0,282.161580001831,102.0,1067.63570885914,102.0,39.40000153,,
103.0,1108.293,103.0,23359.2167897569,103.0,288.821634651184,103.0,1093.9136524314,103.0,39.59999847,,
104.0,1127.032,104.0,23978.2312703691,104.0,295.572462738037,104.0,1120.59805098521,104.0,39.79999924,,
105.0,1145.925,105.0,24607.5812195381,105.0,302.414433403015,105.0,1147.6913162392,105.0,40.0,,
106.0,1164.972,106.0,25247.3423403874,106.0,309.347863052368,106.0,1175.19602069325,106.0,40.20000076,,
107.0,1184.173,107.0,25897.5863516657,107.0,316.373085670471,107.0,1203.114576066,107.0,40.40000153,,
108.0,1203.528,108.0,26558.3829799341,108.0,323.490487976074,108.0,1231.44955485735,108.0,40.59999847,,
109.0,1223.037,109.0,27229.8059361288,109.0,330.700351696014,109.0,1260.20328839531,109.0,40.79999924,,
110.0,1242.7,110.0,27911.9249468111,110.0,338.003062595367,110.0,1301.6581318282,110.0,41.0,,
111.0,1262.517,111.0,28604.809738542,111.0,345.39893755722,111.0,1331.5388246527,111.0,41.20000076,,
112.0,1282.488,112.0,29308.5380066326,112.0,352.888257831573,112.0,1361.84980789146,112.0,41.40000153,,
113.0,1302.613,113.0,30023.1735010818,113.0,360.471445293426,113.0,1392.59343507562,113.0,41.59999847,,
114.0,1322.892,114.0,30748.7899328256,114.0,368.14874603653,114.0,1423.77222204879,114.0,41.79999924,,
115.0,1343.325,115.0,31485.4570284253,115.0,375.920546779633,115.0,1455.38868465459,115.0,42.0,,
116.0,1363.912,116.0,32233.2465066295,116.0,383.787163928986,116.0,1487.44509526788,116.0,42.20000076,,
