Level,Time,Cost,Value
1,0d 5h 33m,1B,+2%
2,0d 5h 37m,"1,2B",+4%
3,0d 5h 46m,"1,4B",+6%
4,0d 5h 59m,"1,6B",+8%
5,0d 6h 19m,"1,81B",+10%
6,0d 6h 45m,"2,02B",+12%
7,0d 7h 19m,"2,24B",+14%
8,0d 8h 1m,"2,46B",+16%
9,0d 8h 51m,"2,7B",+18%
10,0d 9h 50m,"2,94B",+20%
11,0d 10h 59m,"3,2B",+22%
12,0d 12h 18m,"3,47B",+24%
13,0d 13h 47m,"3,76B",+26%
14,0d 15h 26m,"4,07B",+28%
15,0d 17h 17m,"4,41B",+30%
16,0d 19h 18m,"4,76B",+32%
17,0d 21h 32m,"5,14B",+34%
18,0d 23h 57m,"5,55B",+36%
19,1d 2h 34m,"5,99B",+38%
20,1d 5h 24m,"6,46B",+40%
21,1d 8h 26m,"6,97B",+42%
22,1d 11h 42m,"7,51B",+44%
23,1d 15h 10m,"8,09B",+46%
24,1d 18h 53m,"8,72B",+48%
25,1d 22h 49m,"9,39B",+50%
26,2d 2h 59m,"10,1B",+52%
27,2d 7h 23m,"10,87B",+54%
28,2d 12h 1m,"11,69B",+56%
29,2d 16h 55m,"12,57B",+58%
30,2d 22h 3m,"13,5B",+60%
31,3d 3h 26m,"14,49B",+62%
32,3d 9h 4m,"15,55B",+64%
33,3d 14h 58m,"16,67B",+66%
34,3d 21h 8m,"17,86B",+68%
35,4d 3h 33m,"19,12B",+70%
36,4d 10h 15m,"20,46B",+72%
37,4d 17h 13m,"21,87B",+74%
38,5d 0h 27m,"23,36B",+76%
39,5d 7h 58m,"24,94B",+78%
40,5d 15h 45m,"26,6B",+80%
41,5d 23h 50m,"28,36B",+82%
42,6d 8h 12m,"30,2B",+84%
43,6d 16h 51m,"32,14B",+86%
44,7d 1h 47m,"34,17B",+88%
45,7d 11h 2m,"36,31B",+90%
46,7d 20h 34m,"38,55B",+92%
47,8d 6h 24m,"40,9B",+94%
48,8d 16h 32m,"43,36B",+96%
49,9d 2h 58m,"45,93B",+98%
50,9d 13h 43m,"48,61B",+100%
