Level,Time,Cost,Value
1,1d 3h 46m,30.00B,10.00%
2,1d 9h 21m,35.10B,20.00%
3,1d 15h 16m,40.35B,30.00%
4,1d 22h 38m,45.72B,40.00%
5,2d 9h 32m,51.21B,50.00%
6,3d 3h 15m,56.81B,60.00%
7,4d 8h 14m,62.52B,70.00%
8,6d 6h 21m,68.32B,80.00%
9,9d 4h 50m,74.22B,90.00%
10,13d 12h 24m,80.22B,100.00%
11,19d 15h 18m,86.31B,110.00%
12,22d 13h 59m,92.49B,120.00%
13,25d 23h 17m,98.76B,130.00%
14,29d 20h 47m,105.12B,140.00%
15,34d 8h 18m,111.56B,150.00%
16,39d 11h 57m,118.09B,160.00%
17,45d 10h 8m,124.70B,170.00%
18,52d 5h 40m,131.40B,180.00%
19,60d 1h 43m,138.18B,190.00%
20,69d 1h 58m,145.03B,200.00%
21,79d 10h 40m,151.97B,210.00%
22,91d 8h 40m,158.99B,220.00%
23,105d 1h 34m,166.08B,230.00%
24,120d 19h 48m,173.26B,240.00%
25,138d 22h 47m,180.51B,250.00%
26,159d 19h 0m,187.83B,260.00%
27,183d 18h 15m,195.23B,270.00%
28,211d 7h 47m,202.71B,280.00%
29,243d 33m 49s,210.26B,290.00%
30,279d 11h 26m,217.89B,300.00%
