bc_key,bc_variant,value_unit,value_kind,applies_champion,applies_legend
armored_enemies,,hits,hits_blocked,true,true
basic_ultimate,boss,ratio,probability,true,true
basic_ultimate,fast,ratio,probability,true,true
basic_ultimate,protector,ratio,probability,true,true
basic_ultimate,range,ratio,probability,true,true
basic_ultimate,tank,ratio,probability,true,true
boss_ultimate,,ratio,multiplier,true,true
death_defy_down,,ratio,probability_delta,true,true
death_ray_resistance,,ratio,multiplier,true,true
enemy_attack_speed,,ratio,multiplier,true,true
enemy_level_skip,,ratio,probability,true,true
enemy_speed,,ratio,multiplier,true,true
energy_shields_down,,ratio,recharge_time_multiplier_or_delta,true,true
fast_ultimate,,ratio,multiplier,true,true
knockback_resistance,,ratio,multiplier,true,true
more_bosses,,waves,interval_waves,true,true
more_enemies,,ratio,spawn_rate_delta,true,true
orb_resistance,,ratio,multiplier,true,true
plasma_cannon_resistance,,ratio,multiplier,true,true
protector_s_ultimate,,s,duration_or_cooldown,true,true
ranged_ultimate,,s,duration,true,true
tank_s_ultimate,,s,duration_or_cooldown,true,true
thorns_resistance,,ratio,multiplier,true,true
ultimate_weapon_durations,,s,duration_delta,true,true
