ledger_scope,source_family,wiki_track_name,source_item,wiki_page_title,wiki_page_url,state_field,max_level_field,activation_field,contributor_id,semantic_type,operation,target_stat,raw_or_derived,dependencies,unlock_notes,wiki_semantic_note,confidence,uncertainty_notes,source_ref
bot,bot,Bonus,Amplify Bot / Bonus,Amplify Bot,https://the-tower-idle-tower-defense.fandom.com/wiki/Amplify_Bot,bot__amplify_bonus__level,bot__amplify_bonus__max_level,—,bot__amplify_bonus__multiplier,multiplier,multiply,amplify_bot_bonus_multiplier,raw,—,Bots are unlocked/upgraded in the Event Shop; unlock cost depends on how many other bots have been bought.,Bonus starts at x3.50 and has 30 levels; each level increases bonus by 0.4.,strong,Target stat is represented as a multiplier because the wiki defines the bonus as an x-based damage multiplier.,Amplify Bot lines 318-320
bot,bot,Cooldown,Amplify Bot / Cooldown,Amplify Bot,https://the-tower-idle-tower-defense.fandom.com/wiki/Amplify_Bot,bot__amplify_cooldown__level,bot__amplify_cooldown__max_level,—,bot__amplify_cooldown__cooldown_seconds,cooldown_seconds,set_cooldown_seconds,amplify_bot_cooldown_seconds,raw,—,Bots are unlocked/upgraded in the Event Shop; unlock cost depends on how many other bots have been bought.,Cooldown starts at 120 seconds and has 15 levels; each level decreases cooldown by 3 seconds.,strong,—,Amplify Bot lines 314-316
bot,bot,Duration,Amplify Bot / Duration,Amplify Bot,https://the-tower-idle-tower-defense.fandom.com/wiki/Amplify_Bot,bot__amplify_duration__level,bot__amplify_duration__max_level,—,bot__amplify_duration__duration_seconds,duration_seconds,set_duration_seconds,amplify_bot_duration_seconds,raw,—,Bots are unlocked/upgraded in the Event Shop; unlock cost depends on how many other bots have been bought.,Duration starts at 20 seconds and has 30 levels; each level increases duration by 0.5 seconds.,strong,—,Amplify Bot lines 307-313
bot,bot,Range,Amplify Bot / Range,Amplify Bot,https://the-tower-idle-tower-defense.fandom.com/wiki/Amplify_Bot,bot__amplify_range__level,bot__amplify_range__max_level,—,bot__amplify_range__range_m,range_m,set_range_m,amplify_bot_range_m,raw,range,Bots are unlocked/upgraded in the Event Shop; unlock cost depends on how many other bots have been bought.,Range starts at 25m and has 15 levels; each level increases range by 2m and the page states range is amplified by tower range.,strong,Effective active range is further amplified by tower range; this row captures the bot track output itself.,Amplify Bot lines 322-324
bot,bot,Cooldown,Flame Bot / Cooldown,Flame Bot,https://the-tower-idle-tower-defense.fandom.com/wiki/Flame_Bot,bot__flame_cooldown__level,bot__flame_cooldown__max_level,—,bot__flame_cooldown__cooldown_seconds,cooldown_seconds,set_cooldown_seconds,flame_bot_cooldown_seconds,raw,—,Bots are unlocked/upgraded in the Event Shop; unlock cost depends on how many other bots have been bought.,Cooldown starts at 75 seconds and has 15 levels reducing cooldown by 3 seconds per level.,strong,—,Flame Bot lines 314-316
bot,bot,Damage,Flame Bot / Damage,Flame Bot,https://the-tower-idle-tower-defense.fandom.com/wiki/Flame_Bot,bot__flame_damage__level,bot__flame_damage__max_level,—,bot__flame_damage__multiplier,multiplier,multiply,flame_bot_damage_multiplier,raw,"damage, crit_factor, crit_chance, super_crit_mult, super_crit_chance",Bots are unlocked/upgraded in the Event Shop; unlock cost depends on how many other bots have been bought.,Damage multiplier begins at x50 tower damage and has 30 levels increasing by +8x per level; page says it takes crit/super crit factor and chance into account and refers to Ultimate Weapons damage calculation.,strong,Target stat is represented as a damage multiplier because the wiki defines the bot track as x tower damage rather than an absolute damage scalar.,Flame Bot lines 317-319
bot,bot,Damage Reduction,Flame Bot / Damage Reduction,Flame Bot,https://the-tower-idle-tower-defense.fandom.com/wiki/Flame_Bot,bot__flame_damage_reduction__level,bot__flame_damage_reduction__max_level,—,bot__flame_damage_reduction__pct,pct,set_pct,flame_bot_damage_reduction_pct,raw,—,Bots are unlocked/upgraded in the Event Shop; unlock cost depends on how many other bots have been bought.,Damage reduction begins at 20% and has 25 levels increasing by 3% per level for burned enemies.,strong,—,Flame Bot lines 307-313
bot,bot,Range,Flame Bot / Range,Flame Bot,https://the-tower-idle-tower-defense.fandom.com/wiki/Flame_Bot,bot__flame_range__level,bot__flame_range__max_level,—,bot__flame_range__range_m,range_m,set_range_m,flame_bot_range_m,raw,range,Bots are unlocked/upgraded in the Event Shop; unlock cost depends on how many other bots have been bought.,Range begins with 30m and has 15 levels increasing by 4m per level; page states range is amplified by tower range.,strong,Effective active range is further amplified by tower range; this row captures the bot track output itself.,Flame Bot lines 321-323
bot,bot,Bonus,Golden Bot / Bonus,Golden Bot,https://the-tower-idle-tower-defense.fandom.com/wiki/Golden_Bot,bot__golden_bonus__level,bot__golden_bonus__max_level,—,bot__golden_bonus__multiplier,multiplier,multiply,golden_bot_bonus_multiplier,raw,—,Bots are unlocked/upgraded in the Event Shop; unlock cost depends on how many other bots have been purchased.,"Bonus starts at 2.0x and has 30 levels, each increasing the coin bonus by 0.2x; maximum is 8.0x.",strong,Target stat is represented as a multiplier because the wiki defines the bonus as an x-based coin multiplier.,Golden Bot lines 317-319
bot,bot,Cooldown,Golden Bot / Cooldown,Golden Bot,https://the-tower-idle-tower-defense.fandom.com/wiki/Golden_Bot,bot__golden_cooldown__level,bot__golden_cooldown__max_level,—,bot__golden_cooldown__cooldown_seconds,cooldown_seconds,set_cooldown_seconds,golden_bot_cooldown_seconds,raw,—,Bots are unlocked/upgraded in the Event Shop; unlock cost depends on how many other bots have been purchased.,"Cooldown starts at 120 seconds and has 15 levels, each decreasing cooldown by 3 seconds; minimum from bot upgrades alone is 75 seconds.",strong,"Labs can further reduce cooldown to 50 seconds, but that is a separate contributor family.",Golden Bot lines 313-315
