upstream_node_id,downstream_node_id,verification_status,notes
source_input::workshop:Health,canonical_stat::tower_hp,verified,Workshop Health routes to tower_hp.
canonical_stat::tower_hp,canonical_stat::wall_hp,verified,wall_hp depends on tower_hp.
source_input::workshop:Orbs,canonical_stat::tower_orb_count,verified,Workshop Orbs routes to tower_orb_count.
source_input::workshop:Free Attack Upgrade,canonical_stat::free_attack_upgrade_chance_pct,verified,Direct workshop contribution.
source_input::workshop:Free Defense Upgrade,canonical_stat::free_defense_upgrade_chance_pct,verified,Direct workshop contribution.
source_input::workshop:Free Utility Upgrade,canonical_stat::free_utility_upgrade_chance_pct,verified,Direct workshop contribution.
canonical_stat::free_upgrade_multiplier,canonical_stat::free_attack_upgrade_chance_pct,verified,Shared enhancement support multiplier.
canonical_stat::free_upgrade_multiplier,canonical_stat::free_defense_upgrade_chance_pct,verified,Shared enhancement support multiplier.
canonical_stat::free_upgrade_multiplier,canonical_stat::free_utility_upgrade_chance_pct,verified,Shared enhancement support multiplier.
source_input::workshop:Enemy Attack Level Skip,canonical_stat::enemy_attack_level_skip_pct,verified,Direct workshop contribution.
source_input::workshop:Enemy Health Level Skip,canonical_stat::enemy_health_level_skip_pct,verified,Direct workshop contribution.
canonical_stat::enemy_attack_level_skip_pct,runtime_surface::attack_wave,verified,Progression runtime consumer.
canonical_stat::enemy_health_level_skip_pct,runtime_surface::health_wave,verified,Progression runtime consumer.
source_input::workshop:Defense %,canonical_stat::tower_defense_pct,verified,Direct workshop contribution.
source_input::workshop:Thorn Damage,canonical_stat::tower_thorns_damage_pct,verified,Direct workshop contribution.
source_input::workshop:Orb Speed,canonical_stat::tower_orb_speed_rpm,verified,Direct workshop contribution.
