node_id,node_kind,is_publishable,verification_status,blocker_reason,notes
source_input::workshop:Health,source_input,false,verified,,Mutable workshop track.
source_input::workshop:Orbs,source_input,false,verified,,Mutable workshop track.
source_input::workshop:Free Attack Upgrade,source_input,false,verified,,Mutable workshop track.
source_input::workshop:Free Defense Upgrade,source_input,false,verified,,Mutable workshop track.
source_input::workshop:Free Utility Upgrade,source_input,false,verified,,Mutable workshop track.
source_input::workshop:Enemy Attack Level Skip,source_input,false,verified,,Mutable workshop track.
source_input::workshop:Enemy Health Level Skip,source_input,false,verified,,Mutable workshop track.
canonical_stat::tower_hp,canonical_stat,true,verified,,Closed canonical stat.
canonical_stat::wall_hp,canonical_stat,true,verified,,Depends on tower_hp.
canonical_stat::tower_orb_count,canonical_stat,true,verified,,Closed canonical stat.
canonical_stat::free_upgrade_multiplier,canonical_stat,true,verified,,Enhancement support node.
canonical_stat::free_attack_upgrade_chance_pct,canonical_stat,true,verified,,Closed canonical stat with support node.
canonical_stat::free_defense_upgrade_chance_pct,canonical_stat,true,verified,,Closed canonical stat with support node.
canonical_stat::free_utility_upgrade_chance_pct,canonical_stat,true,verified,,Closed canonical stat with support node.
canonical_stat::enemy_attack_level_skip_pct,canonical_stat,true,verified,,Closed canonical stat.
canonical_stat::enemy_health_level_skip_pct,canonical_stat,true,verified,,Closed canonical stat.
runtime_surface::attack_wave,runtime_surface,false,verified,,Consumer surface for progression engine.
runtime_surface::health_wave,runtime_surface,false,verified,,Consumer surface for progression engine.
source_input::workshop:Defense %,source_input,false,verified,,Mutable workshop track.
source_input::workshop:Thorn Damage,source_input,false,verified,,Mutable workshop track.
source_input::workshop:Orb Speed,source_input,false,verified,,Mutable workshop track.
canonical_stat::tower_defense_pct,canonical_stat,true,verified,,Closed canonical stat.
canonical_stat::tower_thorns_damage_pct,canonical_stat,true,verified,,Closed canonical stat.
canonical_stat::tower_orb_speed_rpm,canonical_stat,true,verified,,Closed canonical stat.
