section,id,name,mapped_compare_destination,compare_row_present
eDamage_mechanics,ep_lambda_epd_epd_aspd,EPD_ASPD,canonical_stat::tower_attack_speed,yes
eDamage_mechanics,ep_lambda_epd_epd_bsc,EPD_BSC,canonical_stat::tower_bounce_shot_chance_pct,yes
eDamage_mechanics,ep_lambda_epd_epd_bst,EPD_BST,canonical_stat::tower_bounce_shot_targets,yes
eDamage_mechanics,ep_lambda_epd_epd_dpm,EPD_DPM,canonical_stat::tower_damage_per_meter_multiplier,yes
eDamage_mechanics,ep_lambda_epd_epd_range,EPD_RANGE,canonical_stat::tower_range_m,yes
eDamage_mechanics,ep_lambda_epd_epd_rfc,EPD_RFC,canonical_stat::tower_rapid_fire_chance_pct,yes
eDamage_mechanics,ep_lambda_epd_epd_rfd,EPD_RFD,canonical_stat::tower_rapid_fire_duration_seconds,yes
eHP_mechanics,ep_lambda_ehp_eph_max_rcvr,EPH_MAX_RCVR,canonical_stat::max_recovery_multiplier,yes
eHP_mechanics,ep_lambda_ehp_eph_health,EPH_HEALTH,canonical_stat::tower_hp,yes
eHP_mechanics,ep_lambda_ehp_eph_regen,EPH_REGEN,canonical_stat::tower_regen,yes
eEcon_mechanics,ep_lambda_epc_epc_cpk,EPC_CPK,canonical_stat::coin_kill_multiplier,yes
