section,implementation_status,count
eDamage_mechanics,calculator_equivalent_present_uncompared,18
eDamage_mechanics,retained_helper_formula,5
eDamage_mechanics,verification_only_helper_or_aggregate,16
eEcon_mechanics,calculator_destination_defined_not_emitted,3
eEcon_mechanics,calculator_equivalent_present_uncompared,13
eEcon_mechanics,cross_section_duplicate_reference,13
eEcon_mechanics,retained_helper_formula,6
eEcon_mechanics,verification_only_helper_or_aggregate,1
eHP_mechanics,calculator_equivalent_present_uncompared,4
eHP_mechanics,retained_helper_formula,1
