step,scope_item,verification_method,verification_status,delivery_status
1,Confirm Defense % path is package-closed,compiler + routing + destination-ledger audit,verified,complete
2,Confirm Thorn Damage path is package-closed,compiler + routing audit,verified,complete
3,Confirm Orb Speed path is package-closed,compiler + routing audit,verified,complete
4,Extend dependency node ledger for new workshop and canonical nodes,config audit + tests,verified,complete
5,Extend dependency edge ledger for new paths,config audit + tests,verified,complete
6,Extend mutation class ledger for new workshop triggers,config audit + tests,verified,complete
7,Verify subset executor parity for new canonical paths,targeted unit tests,verified,complete
8,Verify bridge guarded publication for new paths,targeted bridge tests,verified,complete
9,Expand cross-stat or derived publishable surfaces beyond canonical closures,not yet run,not started,pending
10,Remove full-safe reference precompute and claim speedup,benchmark evidence required,not started,pending
