destination,compare_preset,unsupported_facets,notes
canonical_stat::tower_damage,Tourney,"max_progression, max_workshop, conditional_runtime_card__berserker_damage",ep_compare_uses_unsupported_stage_facets; max_progression; max_workshop; conditional_runtime_card__berserker_damage
canonical_stat::tower_damage_per_meter_multiplier,Tourney,"max_progression, max_workshop",ep_compare_uses_unsupported_stage_facets; max_progression; max_workshop
canonical_stat::tower_bounce_shot_targets,Tourney,"max_progression, max_workshop",ep_compare_uses_unsupported_stage_facets; max_progression; max_workshop
canonical_stat::tower_supercrit_multiplier,Tourney,"max_progression, max_workshop",ep_compare_uses_unsupported_stage_facets; max_progression; max_workshop
canonical_stat::tower_hp,Farming,"max_progression, max_workshop, run_perks",ep_compare_uses_unsupported_stage_facets; max_progression; max_workshop; run_perks
canonical_stat::tower_regen,Farming,"max_progression, max_workshop, run_perks",ep_compare_uses_unsupported_stage_facets; max_progression; max_workshop; run_perks
canonical_stat::tower_defense_absolute,Farming,"max_progression, max_workshop, run_perks",ep_compare_uses_unsupported_stage_facets; max_progression; max_workshop; run_perks
canonical_stat::wall_hp,Farming,"max_progression, max_workshop, run_perks",ep_compare_uses_unsupported_stage_facets; max_progression; max_workshop; run_perks
canonical_stat::wall_regen,Farming,"max_progression, max_workshop, run_perks",ep_compare_uses_unsupported_stage_facets; max_progression; max_workshop; run_perks
canonical_stat::coin_kill_multiplier,Farming,"max_progression, max_workshop, run_perks",ep_compare_uses_unsupported_stage_facets; max_progression; max_workshop; run_perks
