destination,consumed,listed
canonical_stat::tower_range_m,2,2
canonical_stat::tower_supercrit_chance_pct,4,4
canonical_stat::tower_defense_pct,7,7
canonical_stat::cash_kill_multiplier,6,6
canonical_stat::enemy_attack_level_skip_pct,7,7
canonical_stat::enemy_health_level_skip_pct,6,6
canonical_stat::tower_crit_chance_pct,3,3
canonical_stat::tower_multishot_chance_pct,2,2
canonical_stat::tower_multishot_targets,2,2
canonical_stat::tower_rapid_fire_chance_pct,2,2
canonical_stat::tower_rapid_fire_duration_seconds,1,1
canonical_stat::tower_bounce_shot_chance_pct,3,3
canonical_stat::tower_bounce_shot_targets,1,1
canonical_stat::tower_bounce_shot_range_m,1,1
canonical_stat::tower_rend_armor_chance_pct,2,2
canonical_stat::tower_rend_armor_multiplier,4,4
canonical_stat::tower_thorns_damage_pct,5,5
canonical_stat::tower_lifesteal_pct,1,1
canonical_stat::tower_knockback_chance_pct,2,2
canonical_stat::tower_orb_speed_rpm,4,4
canonical_stat::tower_shockwave_size_m,1,1
canonical_stat::tower_shockwave_interval_seconds,2,2
canonical_stat::tower_land_mine_chance_pct,1,1
canonical_stat::tower_land_mine_radius_m,1,1
canonical_stat::tower_death_defy_chance_pct,2,2
canonical_stat::coins_per_wave,1,1
canonical_stat::interest_per_wave_pct,1,1
canonical_stat::cells_kill_multiplier,1,1
canonical_stat::free_upgrade_multiplier,2,2
canonical_stat::recovery_package_multiplier,1,1
canonical_stat::lab_speed_multiplier,1,1
canonical_stat::ultimate_damage_multiplier,4,4
