surface,start_of_run,start_display,start_status,max_progression,max_display,max_status,changed
mechanic_param::uw.black_hole.cooldown_seconds,46.0,46,resolved,46.0,46,resolved,False
mechanic_param::uw.black_hole.damage_pct_enemy_hp_per_second,2.0,2,resolved,2.0,2,resolved,False
mechanic_param::uw.black_hole.duration_seconds,36.0,36,resolved,48.0,48,resolved,True
mechanic_param::uw.black_hole.size_m,48.0,48,resolved,48.0,48,resolved,False
mechanic_param::uw.chain_lightning.chance_pct,18.2,18.2%,resolved,18.2,18.2%,resolved,False
mechanic_param::uw.chain_lightning.damage_multiplier,903.0,x903,resolved,1806.0,x1.81k,resolved,True
mechanic_param::uw.chain_lightning.max_enemy_damage_reduction_pct,36.0,36,resolved,36.0,36,resolved,False
mechanic_param::uw.chain_lightning.quantity,4.0,4,resolved,4.0,4,resolved,False
mechanic_param::uw.chain_lightning.scatter_multiplier,11.25,11.25,resolved,11.25,11.25,resolved,False
mechanic_param::uw.chrono_field.cooldown_seconds,60.0,60,resolved,60.0,60,resolved,False
mechanic_param::uw.chrono_field.damage_reduction_pct,20.0,20%,resolved,20.0,20%,resolved,False
mechanic_param::uw.chrono_field.duration_seconds,50.0,50,resolved,55.0,55,resolved,True
mechanic_param::uw.chrono_field.range_m,51.0,51,resolved,51.0,51,resolved,False
mechanic_param::uw.chrono_field.slow_pct,50.0,50%,resolved,50.0,50%,resolved,False
mechanic_param::uw.death_wave.armor_strip_count,0.0,0,resolved,0.0,0,resolved,False
mechanic_param::uw.death_wave.cells_bonus_multiplier,3.0,3,resolved,3.0,3,resolved,False
mechanic_param::uw.death_wave.cooldown_seconds,180.0,180,resolved,180.0,180,resolved,False
mechanic_param::uw.death_wave.damage_amplifier_multiplier_per_effect_wave,8.0,8,resolved,8.0,8,resolved,False
mechanic_param::uw.death_wave.damage_multiplier,63.0,x63,resolved,63.0,x63,resolved,False
mechanic_param::uw.death_wave.effect_wave_count,5.0,5,resolved,6.0,6,resolved,True
mechanic_param::uw.golden_tower.bonus_multiplier,17.900000000000006,x17.9,resolved,26.85000000000001,x26.85,resolved,True
mechanic_param::uw.golden_tower.cooldown_seconds,180.0,180,resolved,180.0,180,resolved,False
mechanic_param::uw.golden_tower.duration_seconds,41.0,41,resolved,41.0,41,resolved,False
mechanic_param::uw.inner_land_mines.blast_radius_m,0.0,0,resolved,0.0,0,resolved,False
mechanic_param::uw.inner_land_mines.chrono_jump_seconds,0.0,0,resolved,0.0,0,resolved,False
mechanic_param::uw.inner_land_mines.cooldown_seconds,200.0,200,resolved,200.0,200,resolved,False
mechanic_param::uw.inner_land_mines.damage,10.0,10,resolved,10.0,10,resolved,False
mechanic_param::uw.inner_land_mines.quantity,3.0,3,resolved,3.0,3,resolved,False
mechanic_param::uw.inner_land_mines.rotation_speed,0.0,0,resolved,0.0,0,resolved,False
mechanic_param::uw.poison_swamp.cooldown_seconds,125.0,125,resolved,125.0,125,resolved,False
mechanic_param::uw.poison_swamp.damage_multiplier,10.0,x10,resolved,10.0,x10,resolved,False
mechanic_param::uw.poison_swamp.duration_seconds,30.0,30,resolved,30.0,30,resolved,False
mechanic_param::uw.poison_swamp.radius_m,0.0,0,resolved,0.0,0,resolved,False
mechanic_param::uw.poison_swamp.rend_additional_enemies,0.0,0,resolved,0.0,0,resolved,False
mechanic_param::uw.poison_swamp.stun_chance_pct,0.0,0%,resolved,0.0,0%,resolved,False
mechanic_param::uw.poison_swamp.stun_duration_seconds,0.0,0,resolved,0.0,0,resolved,False
mechanic_param::uw.smart_missiles.barrage_quantity,0.0,0,resolved,0.0,0,resolved,False
mechanic_param::uw.smart_missiles.chain_hit_damage_multiplier,1.0,1,resolved,1.0,1,resolved,False
mechanic_param::uw.smart_missiles.cooldown_seconds,180.0,180,resolved,180.0,180,resolved,False
mechanic_param::uw.smart_missiles.damage_multiplier,10.0,x10,resolved,10.0,x10,resolved,False
mechanic_param::uw.smart_missiles.despawn_time_seconds,0.0,0,resolved,0.0,0,resolved,False
mechanic_param::uw.smart_missiles.explosion_radius_m,0.0,0,resolved,0.0,0,resolved,False
mechanic_param::uw.smart_missiles.quantity,5.0,5,resolved,5.0,5,resolved,False
mechanic_param::uw.smart_missiles.recharge_barrage_waves,0.0,0,resolved,0.0,0,resolved,False
mechanic_param::uw.spotlight.angle_degrees,55.1,55.1,resolved,55.1,55.1,resolved,False
mechanic_param::uw.spotlight.bonus_multiplier,22.099999999999998,x22.1,resolved,33.15,x33.15,resolved,True
mechanic_param::uw.spotlight.count,3.0,3,resolved,3.0,3,resolved,False
mechanic_param::uw.spotlight.missiles_frequency_seconds,19.0,19,resolved,19.0,19,resolved,False
