module,slot,scalar_param,primary_canonical_output,primary_wired,assist_behavior,secondary_or_fixed_runtime_effect,runtime_consumer_note
Astral Deliverance,Cannon,bounce_damage_per_bounce_pct,module.astral_deliverance.bounce_damage_per_bounce_pct,Yes,"Assist uses assist rarity cap, then assist-efficiency scaling on the unique value.",Bounce shot range increased by 3% of total tower range.,
Being Annihilator,Cannon,guaranteed_supercrits_after_supercrit_attacks,module.being_annihilator.guaranteed_supercrits_after_supercrit_attacks,Yes,Assist uses assist rarity cap only for the unique value.,Next x attacks are guaranteed super crits after a super crit occurs.,
Death Penalty,Cannon,mark_for_death_spawn_chance_pct,module.death_penalty.mark_for_death_spawn_chance_pct,Yes,"Assist uses assist rarity cap, then assist-efficiency scaling on the unique value.",Marked enemy is destroyed by first hit.,
Havoc Bringer,Cannon,rend_armor_instant_max_chance_pct,module.havoc_bringer.rend_armor_instant_max_chance_pct,Yes,"Assist uses assist rarity cap, then assist-efficiency scaling on the unique value.",Proc sends Rend Armor directly to max.,
Shrink Ray,Cannon,enemy_mass_reduction_pct,module.shrink_ray.enemy_mass_reduction_pct,Yes,"Assist uses assist rarity cap, then assist-efficiency scaling on the unique value.",1% fixed chance per attack; effect is explicitly non-stacking.,
Amplifying Strike,Cannon,tower_damage_5x_duration_s,module.amplifying_strike.tower_damage_5x_duration_s,Yes,"Assist uses assist rarity cap, then assist-efficiency scaling on the unique value.",Wiki note: does Impact UW damage; new boss/elite kill refreshes duration.,
Anti-Cube Portal,Armor,shockwave_damage_taken_mult_x,module.anti_cube_portal.shockwave_damage_taken_mult_x,Yes,"Assist uses assist rarity cap, then assist-efficiency scaling on the unique value.",Enemies still count as hit even if immune to shockwave effects.,
Negative Mass Projector,Armor,orb_nonkill_debuff_pct_per_hit,module.negative_mass_projector.orb_nonkill_debuff_pct_per_hit,Yes,"Assist uses assist rarity cap, then assist-efficiency scaling on the unique value.",Orb hit still counts for effect logic even if enemy is immune to orb effect; only if orb does not kill.,
Wormhole Redirector,Armor,regen_heal_cap_pct_of_package_max_recovery,module.wormhole_redirector.regen_heal_cap_pct_of_package_max_recovery,Yes,"Assist uses assist rarity cap, then assist-efficiency scaling on the unique value.",Allows Health Regen to heal into Package Max Recovery up to listed percent.,
Space Displacer,Armor,landmine_spawn_as_ilm_chance_pct,module.space_displacer.landmine_spawn_as_ilm_chance_pct,Yes,"Assist uses assist rarity cap, then assist-efficiency scaling on the unique value.","If ILM UW unlocked, uses player ILM stats/effects; otherwise uses level-1 x30 damage multiplier. Chance applies to normal landmine spawns.",
Sharp Fortitude,Armor,wall_health_regen_mult_x,module.sharp_fortitude.wall_health_regen_mult_x,Yes,"Assist uses assist rarity cap, then assist-efficiency scaling on the unique value.",Wall health and regen multiplied by listed x; enemies take +1% increased damage from wall thorns per subsequent hit.,
Orbital Augment,Armor,electrons_count,module.orbital_augment.electrons_count,Yes,Assist uses assist rarity cap only for the unique value.,Each Electron deals 15% of enemy remaining health; quarter effective against Bosses and Fleets.,Consumed by scenario/timing/boss via electron-count surfaces.
Singularity Harness,Generator,bot_range_bonus_m,module.singularity_harness.bot_range_bonus_m,Yes,"Assist uses assist rarity cap, then assist-efficiency scaling on the unique value.",All bots gain listed meters of range; enemies hit by Flame Bot receive double damage.,Dual-routed into bot.global.range_bonus_m; bot range canonicals consume it.
Galaxy Compressor,Generator,uw_cooldown_reduction_on_package_s,module.galaxy_compressor.uw_cooldown_reduction_on_package_s,Yes,"Assist uses assist rarity cap, then assist-efficiency scaling on the unique value.",Wiki explicitly excludes Poison Swamp.,
Pulsar Harvester,Generator,level_reduction_proc_pct,module.pulsar_harvester.level_reduction_proc_pct,Yes,"Assist uses assist rarity cap, then assist-efficiency scaling on the unique value.",Each proc reduces both Health and Attack level by 1.,
Black Hole Digestor,Generator,extra_coin_kill_bonus_per_free_upgrade_pct,module.black_hole_digestor.extra_coin_kill_bonus_per_free_upgrade_pct,Yes,"Assist uses assist rarity cap, then assist-efficiency scaling on the unique value.",Bonus applies when free upgrade triggers even if no upgrades remain in that category; free upgrades cannot increase Tower Range.,
