Oracle Outputs (Effective Paths),,,,,,,,,,,,,,,,,,
EP id,1FyCGG8Mxpu0_oC8K3NV5wUToXLVl-OKE3L_rK9XLOXc,,,,,,,,,,,,,,,,,
EP Base URL,https://docs.google.com/spreadsheets/d/1FyCGG8Mxpu0_oC8K3NV5wUToXLVl-OKE3L_rK9XLOXc,,,,,,,,,,,,,,,,,
Note: Machine-facing EP bridge for TowerSim. Do not optimise for visual review. Use key/type/unit/value as the stable contract.,,,,,,,,,,,,,,,,,,
Types: raw=direct numeric source; parsed_raw=numeric parsed from EP notation; multiplier=effective factor; chance=probability/percent; rate=frequency/per-second; dps=damage contribution; bonus=bonus value; effect=non-multiplier effect value; preset/scenario=context fields; helper_score/equiv/ratio=EP helper metric.,,,,,,,,,,,,,,,,,,
suite,key,label,type,unit,value,source_tab,status,audit_note,,,,,,,,,,
qa,blank_required_value_count,Blank required values in export rows,raw,count,3,EP Export,,,,,,,,,,,,
qa,error_value_count,Error values in export rows,raw,count,37,EP Export,,,,,,,,,,,,
qa,duplicate_key_count,Duplicate keys in export rows,raw,count,0,EP Export,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
context,edmg_workshop_preset,eDamage workshop preset,preset,text,Tourney,eDamage,,,,,,,,,,,,
context,edmg_card_preset,eDamage card preset,preset,text,Farming,eDamage,,,,,,,,,,,,
context,edmg_module_preset,eDamage module preset,preset,text,,eDamage,,,,,,,,,,,,
context,edmg_scenario_or_tier,eDamage scenario or tier,scenario,text,Tourney,eDamage,,,,,,,,,,,,
context,edmg_tier_num,eDamage tier number derived,derived,tier,,derived,,,,,,,,,,,,
context,ehp_workshop_preset,eHP workshop preset,preset,text,Farming,eHP,,,,,,,,,,,,
context,ehp_card_preset,eHP card preset,preset,text,Farming,eHP,,,,,,,,,,,,
context,ehp_module_preset,eHP module preset,preset,text,,eHP,,,,,,,,,,,,
context,ehp_scenario_or_tier,eHP scenario or tier,scenario,text,T14,eHP,,,,,,,,,,,,
context,ehp_tier_num,eHP tier number derived,derived,tier,14,derived,,,,,,,,,,,,
context,eecon_workshop_preset,eEcon workshop preset,preset,text,Farming,eEcon,,,,,,,,,,,,
context,eecon_card_preset,eEcon card preset,preset,text,Farming,eEcon,,,,,,,,,,,,
context,eecon_module_preset,eEcon module preset,preset,text,,eEcon,,,,,,,,,,,,
context,eecon_scenario_or_tier,eEcon scenario or tier,scenario,text,Tier 14,eEcon,,,,,,,,,,,,
context,eecon_tier_num,eEcon tier number derived,derived,tier,14,derived,,,,,,,,,,,,
context,preset_alignment_status,Preset alignment status,derived,text,mixed,derived,,,,,,,,,,,,
context,tier_alignment_status,Tier alignment status,derived,text,mixed,derived,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
edmg,edmg_total_raw,eDMG/sec total raw,raw,damage/sec,#N/A,eDamage,,,,,,,,,,,,
edmg,base_damage_raw,Base damage,raw,damage,1,eDamage,,,,,,,,,,,,
edmg,crit_chance,Critical chance,chance,ratio,1,eDamage,,,,,,,,,,,,
edmg,crit_factor,Critical factor,multiplier,x,1,eDamage,,,,,,,,,,,,
edmg,super_crit_chance,Super crit chance,chance,ratio,#N/A,eDamage,,,,,,,,,,,,
edmg,super_crit_multiplier,Super crit multiplier,multiplier,x,#N/A,eDamage,,,,,,,,,,,,
edmg,crit_multiplier_effective,Crit multiplier effective,multiplier,x,#N/A,eDamage,,,,,,,,,,,,
edmg,uw_crit_multiplier_effective,UW crit multiplier effective,multiplier,x,#N/A,eDamage,,,,,,,,,,,,
edmg,multishot_effective,Multishot effective,multiplier,x,#N/A,eDamage,,,,,,,,,,,,
edmg,bounce_shot_effective_ad,Bounce shot effective incl AD,multiplier,x,#N/A,eDamage,,,,,,,,,,,,
edmg,bounce_shot_effective_no_ad,Bounce shot effective excl AD,multiplier,x,#N/A,eDamage,,,,,,,,,,,,
edmg,rapid_fire_effective,Rapid fire effective,multiplier,x,#N/A,eDamage,,,,,,,,,,,,
edmg,bullets_per_second,Bullets per second,rate,1/sec,#N/A,eDamage,,,,,,,,,,,,
edmg,range_m,Range metres,raw,m,#N/A,eDamage,,,,,,,,,,,,
edmg,damage_per_meter,Damage per metre,bonus,%/m,#N/A,eDamage,,,,,,,,,,,,
edmg,range_dpm_effective,Range DPM effective,multiplier,x,#N/A,eDamage,,,,,,,,,,,,
edmg,super_tower_bonus,Super Tower bonus,multiplier,x,#N/A,eDamage,,,,,,,,,,,,
edmg,super_tower_uw,Super Tower UW,multiplier,x,#N/A,eDamage,,,,,,,,,,,,
edmg,max_rend_multiplier,Max rend multiplier,multiplier,x,#N/A,eDamage,,,,,,,,,,,,
edmg,bullet_damage_multiplier,Bullet damage multiplier,multiplier,x,1,eDamage,,,,,,,,,,,,
edmg,disco_uw_multiplier,Disco UW multiplier,multiplier,x,1,eDamage,,,,,,,,,,,,
edmg,avg_time_boost,Average time boost,multiplier,x,#N/A,eDamage,,,,,,,,,,,,
edmg,spotlight_multiplier,Spotlight multiplier,multiplier,x,#N/A,eDamage,,,,,,,,,,,,
edmg,death_wave_dps,Death Wave DPS,dps,damage/sec,3.073108373959232,eDamage,,,,,,,,,,,,
edmg,chain_lightning_dps,Chain Lightning DPS,dps,damage/sec,1,eDamage,,,,,,,,,,,,
edmg,smart_missile_dps,Smart Missile DPS,dps,damage/sec,#N/A,eDamage,,,,,,,,,,,,
edmg,spotlight_missile_dps,Spotlight Missile DPS,dps,damage/sec,#N/A,eDamage,,,,,,,,,,,,
edmg,smart_missile_heatup,Smart Missile heatup,multiplier,x,#N/A,eDamage,,,,,,,,,,,,
edmg,poison_swamp_dps,Poison Swamp DPS,dps,damage/sec,0,eDamage,,,,,,,,,,,,
edmg,poison_swamp_dc,Poison Swamp DC,effect,x,#N/A,eDamage,,,,,,,,,,,,
edmg,inner_land_mines_dps,Inner Land Mines DPS,dps,damage/sec,5.5,eDamage,,,,,,,,,,,,
edmg,ilm_heat_multiplier,ILM heat multiplier,multiplier,x,0,eDamage,,,,,,,,,,,,
edmg,core_multiplier,Core multiplier,multiplier,x,22.75,eDamage,,,,,,,,,,,,
edmg,uws_total_raw,UWs total raw,raw,damage/sec,#N/A,eDamage,,,,,,,,,,,,
edmg,chrono_field_multiplier,Chrono Field multiplier,multiplier,x,0.5,eDamage,,,,,,,,,,,,
edmg,chrono_field_plus_multiplier,Chrono Field+ multiplier,multiplier,x,#N/A,eDamage,,,,,,,,,,,,
edmg,slow_multiplier,Slow multiplier,multiplier,x,#N/A,eDamage,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
ehp,ehp_total_raw,eHP total raw,raw,hp,1.0169491525423728,eHP,,,,,,,,,,,,
ehp,health_raw,Health raw,raw,hp,6.553117480714305,eHP,,,,,,,,,,,,
ehp,armor_multiplier,Armor multiplier,multiplier,x,#N/A,eHP,,,,,,,,,,,,
ehp,defense_absolute_raw,Defense absolute raw,raw,hp,#N/A,eHP,,,,,,,,,,,,
ehp,defense_percent_multiplier,Defense percent multiplier,multiplier,x,#N/A,eHP,,,,,,,,,,,,
ehp,wall_fortification_multiplier,Wall fortification multiplier,multiplier,x,#N/A,eHP,,,,,,,,,,,,
ehp,improved_tradeoff_perks_multiplier,Improved trade-off perks multiplier,multiplier,x,#N/A,eHP,,,,,,,,,,,,
ehp,chrono_field_reduction_multiplier,Chrono Field reduction multiplier,multiplier,x,1,eHP,,,,,,,,,,,,
ehp,chain_thunder_multiplier,Chain Thunder multiplier,multiplier,x,1.2903225806451613,eHP,,,,,,,,,,,,
ehp,health_regen_raw,Health regen raw,parsed_raw,hp/sec,,eHP,,,,,,,,,,,,
ehp,wall_health_raw,Wall health raw,parsed_raw,hp,,eHP,,,,,,,,,,,,
ehp,wall_fortification_raw,Wall fortification raw,parsed_raw,hp,,eHP,,,,,,,,,,,,
ehp,wall_regen_raw_per_sec,Wall regen per sec raw,raw,hp/sec,2.3000000000000003,eRegen,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
eecon,cpk_average_raw,Average CpK raw,raw,coins/kill,#N/A,eEcon,,,,,,,,,,,,
eecon,coins_per_kill_bonus,Coins per kill bonus,bonus,x,#N/A,eEcon,,,,,,,,,,,,
eecon,free_attack_upgrade,Free attack upgrade,chance,ratio,#N/A,eEcon,,,,,,,,,,,,
eecon,free_defense_upgrade,Free defense upgrade,chance,ratio,#N/A,eEcon,,,,,,,,,,,,
eecon,free_utility_upgrade,Free utility upgrade,chance,ratio,#N/A,eEcon,,,,,,,,,,,,
