Labs,https://docs.google.com/spreadsheets/d/12pUOKCb_Hujh8m7ndehZLuVlIfUaGblVx56BqYTdmkw/edit,?,v3.4.1,WS,https://docs.google.com/spreadsheets/d/1TfTfknEF_TivxBMDS9-J0NFa2Di1zG3TOz185ekGSyU/edit,?,v3.2.1,,,,,,,,,,WS+,,,,,,,,UWs,https://docs.google.com/spreadsheets/d/11zOUaRyKSrDTkgIHv5MJ_VmS869PqQksvb64-Z_Jk94/edit,?,v3.3.1,,,Cards,https://docs.google.com/spreadsheets/d/1eBwSz-QEwQPEnng5AO8SZyDO1ks4YwN8VhcdRPzOuCg/edit,?,Cards Presets,v3.2.1,19,,,"Themes, Songs & Relics",https://docs.google.com/spreadsheets/d/1--5EhNGZXpr4N6czLyY2vMHyEfMgVoWWg7eyoHQqwOA/edit,?,Vault,https://docs.google.com/spreadsheets/d/17MpFBbmlppwYX8PcY58EJ5p4etBNf65JqCZeYgSgRtQ/edit,?,Bots,https://docs.google.com/spreadsheets/d/1QOs6dBavGyYDEkA4rWSorLzArDt8Te_Mx725-7YXuvc/edit,?,v3.3.1,,,,,,,,,Modules,https://docs.google.com/spreadsheets/d/1A4jDDOKNsy0FkNSR1WxzhkLl06UFd7TlVEVxLdRJVyo/edit,?,eHP GComp Farm,GC GComp OC,Utility Disco eHP,Utility Disco GC,UW Disco GC,,,,,,,,,,,,Guardians,https://docs.google.com/spreadsheets/d/1j_kyn42jLrcU2PIMPdqV4kIbgdj4UuNDywD6Ab5Kc8o/edit,?,v3.1.2,,,,,,,,,,,Player & Stuff,https://docs.google.com/spreadsheets/d/1-VWYvbqn2EzjZFxytSkGKVVbCcwYbm8V-0N3IECVaWg/edit,?,v4.5.1,,,,,,,Perks Preset,https://docs.google.com/spreadsheets/d/1-VWYvbqn2EzjZFxytSkGKVVbCcwYbm8V-0N3IECVaWg/edit,?,,,Preset Preset,,,,,,
Game Speed,7,,7,U,Workshop Upgrade,eHP Farm,,Utility Disco eHP,,Attack Disco eHP,,Utility Disco GC,,Defense Disco GC,,,Workshop Enhancement,,eHP Farm,Utility Disco eHP,Attack Disco eHP,Utility Disco GC,Defense Disco GC,317.64 q,Chain Lightning,,Damage,898,19 | x898 | Cost 302 ? | Next 362 ?,,Damage,7,true,GC Milestone,eHP Farm,eHP Milestone,GC Tournament,Reroll Farm,Relics,Owned,v4.0.6,Keys spent,0,v4.0.1,,Attribute,Farming,,Tournament,,eHP,,Preset 4,,Preset 5,,Assist Slot,false,0,,,Assist Slot,true,101,,,Assist Slot,true,101,,,Assist Slot,true,171,,Guardians,,Attribute,,Farming,,Tourney,,Preset 3,,Preset 4,,Preset 5,,Tier,Wave,Attack,Defense,Utility,Ultimate Weapon,P,,Stat,Value,Farming,eHP Milestone,GC Milestone,Preset 4,Preset 5,,Farm eHP,Tournament GC,Attack Disco eHP,Utility Disco GC,,
Starting Cash,22,,99,,,? Level,$ Level,? Level,$ Level,? Level,$ Level,? Level,$ Level,? Level,$ Level,Max,,,WS+,WS+,WS+,WS+,WS+,Max,,,Quantity,4,03 | #4 | Cost 150 ? | Next 400 ?,,Attack Speed,7,false,Energy Shield,Enemy Balance,Intro Sprint,Energy Shield,,Event Relics,185,,,,,Flame Bot,Damage R.,00 | 20% | Cost 0 ? | Next 100 ?,Active,00 | 20% | Cost 0 ? | Next 100 ?,Active,25 | 95% | Cost 1060 ? | Maxed,Active,00 | 20% | Cost 0 ? | Next 100 ?,Active,00 | 20% | Cost 0 ? | Next 100 ?,Active,Rarity Cap,Epic,,,,Rarity Cap,Epic,,,,Rarity Cap,Epic,,,,Rarity Cap,Epic,,,Attack,,Percentage,,false,00 | 1% | Cost 0 ? | Next 25 ?,true,19 | 20% | Cost 475 ? | Maxed,false,00 | 1% | Cost 0 ? | Next 25 ?,false,00 | 1% | Cost 0 ? | Next 25 ?,false,00 | 1% | Cost 0 ? | Next 25 ?,Tier 1,10210,7690,5160,5014,5602,true,,Player ID,4C64DCF66976FD33,,,,,,Range,0,80,80,80,,
Workshop Attack Discount,36,,99,,Damage,6000,6000,6000,6000,0,,0,,0,,6000,Damage +,1.83,83,70,0,0,0,600,true,UW Unlocked,Chance,0.185,09 | 18.5% | Cost 152 ? | Next 170 ?,,Health,7,false,Second Wind,Extra Defense,Energy Net,Energy Net,,Guild Relics,20,,Gameplay Section,true,,,Cooldown,00 | 75s | Cost 0 ? | Next 100 ?,false,00 | 75s | Cost 0 ? | Next 100 ?,false,15 | 30s | Cost 660 ? | Maxed,true,00 | 75s | Cost 0 ? | Next 100 ?,false,00 | 75s | Cost 0 ? | Next 100 ?,false,Multiplier Cap,0.01,00 | 1% | Cost 0 ? | Next 15 ?,,,Multiplier Cap,0.05,04 | 5% | Cost 24 ? | Next 27 ?,,,Multiplier Cap,0.1,09 | 10% | Cost 39 ? | Next 42 ?,,,Multiplier Cap,0.2,19 | 20% | Cost 69 ? | Next 72 ?,,,,Cooldown,,,00 | 120s | Cost 0 ? | Next 1 ?,,90 | 30s | Cost 90 ? | Maxed,,00 | 120s | Cost 0 ? | Next 1 ?,,00 | 120s | Cost 0 ? | Next 1 ?,,00 | 120s | Cost 0 ? | Next 1 ?,Tier 2,5987,5269,5287,5010,5987,,,Farming Tier,Tier 14,Perk Wave Requirement,Perk Wave Requirement,Perk Wave Requirement,,,Shockwave Size,0,20,20,20,,
Workshop Defense Discount,37,,99,,Attack Speed,99,99,99,99,0,,0,,0,,99,Rend Armor Mult +,1,0,0,0,0,0,600,UW+,,Smite,Locked,Lo | Locked,,Health Regen,7,false,Intro Sprint,Health,Plasma Cannon,Super Tower,,Other Relics,26,,Auto Restart Run,0,,,Damage,00 | x50 | Cost 0 ? | Next 100 ?,,00 | x50 | Cost 0 ? | Next 100 ?,,00 | x50 | Cost 0 ? | Next 100 ?,,00 | x50 | Cost 0 ? | Next 100 ?,,00 | x50 | Cost 0 ? | Next 100 ?,,Substat Cap,0.01,00 | 1% | Cost 0 ? | Next 15 ?,,,Substat Cap,0.1,09 | 10% | Cost 39 ? | Next 42 ?,,,Substat Cap,0.1,09 | 10% | Cost 39 ? | Next 42 ?,,,Substat Cap,0.34,33 | 34% | Cost 111 ? | Next 114 ?,,true,Unlocked,Targets,,,00 | 1 | Cost 0 ? | Next 100 ?,,09 | 10 | Cost 900 ? | Maxed,,00 | 1 | Cost 0 ? | Next 100 ?,,00 | 1 | Cost 0 ? | Next 100 ?,,00 | 1 | Cost 0 ? | Next 100 ?,Tier 3,5739,5001,5717,5001,5739,,,Tourney League,Legends,Increase Max Game Speed,Increase Max Game Speed,Increase Max Game Speed,,,Workshop,eHP Farm,eHP Farm,eHP Farm,Utility Disco eHP,,
Workshop Utility Discount,48,,99,,Critical Chance,79,79,79,79,0,,0,,0,,79,Critical Factor +,1.92,92,80,0,0,0,600,Smart Missiles,,Damage,10,00 | x10 | Cost 0 ? | Next 5 ?,,Range,7,false,Super Tower,Coins,Second Wind,Second Wind,,Total Relics,231,,Ad Gem Stack,0,,,Range,00 | 30m | Cost 0 ? | Next 100 ?,Sync,00 | 30m | Cost 0 ? | Next 100 ?,Sync,15 | 90m | Cost 660 ? | Maxed,Sync,00 | 30m | Cost 0 ? | Next 100 ?,Sync,00 | 30m | Cost 0 ? | Next 100 ?,Sync,,,,0.6904761904761905,,,,,,,,,,,,,,,,Ally,,Recovery Amount,,false,00 | 1% | Cost 0 ? | Next 10 ?,false,00 | 1% | Cost 0 ? | Next 10 ?,false,00 | 1% | Cost 0 ? | Next 10 ?,false,00 | 1% | Cost 0 ? | Next 10 ?,false,00 | 1% | Cost 0 ? | Next 10 ?,Tier 4,6310,5179,4300,5584,5008,true,,Lifetime Coins,1.06Q,Coins / - Health,Black Hole Duration,Black Hole Duration,,,Cards,eHP Farm,GC Tournament,eHP Milestone,GC Tournament,,
Labs Coin Discount,72,,99,,Critical Factor,150,150,150,150,0,,0,,0,,150,Damage / Meter +,1,0,0,0,0,0,600,,,Quantity,5,00 | #5 | Cost 0 ? | Next 4 ?,,Cash,7,true,Energy Net,Plasma Cannon,Energy Shield,Recovery Package Chance,,,,,Damage Cap Slider,0,,Bot +,Wildfire,Lo |?Locked,false,Lo |?Locked,false,Lo |?Locked,false,Lo |?Locked,false,Lo |?Locked,false,eHP GComp Farm,,,,,eHP GComp Farm,,,,,eHP GComp Farm,,,,,eHP GComp Farm,,,,,,Max Recovery,,,00 | 1.1x | Cost 0 ? | Next 1 ?,,00 | 1.1x | Cost 0 ? | Next 1 ?,,00 | 1.1x | Cost 0 ? | Next 1 ?,,00 | 1.1x | Cost 0 ? | Next 1 ?,,00 | 1.1x | Cost 0 ? | Next 1 ?,Tier 5,7643,5193,6335,5002,5040,,,Stones,39.64K,Black Hole Duration,- Enemies Damage / - Damage,- Enemies Health / - Regen and Lifesteal,,,Bots,Farming,Tournament,eHP,Tournament,,
Labs Speed,99,,99,true,Range,79,79,79,79,0,,0,,0,,79,Super Crit Multi +,1.8399999999999999,84,70,0,0,0,600,false,UW Locked,Cooldown,180,00 | 180s | Cost 0 ? | Next 8 ?,,Coins,7,false,Plasma Cannon,Attack Speed,Super Tower,Critical Chance,,Total Bonuses,Active,,Global Presets,0,,Thunder Bot,Duration,00 | 5.0s | Cost 0 ? | Next 100 ?,Active,00 | 5.0s | Cost 0 ? | Next 100 ?,Active,00 | 5.0s | Cost 0 ? | Next 100 ?,Active,00 | 5.0s | Cost 0 ? | Next 100 ?,Active,00 | 5.0s | Cost 0 ? | Next 100 ?,Active,Primary Slot,Amplifying Strike,,,,Primary Slot,Sharp Fortitude,,,,Primary Slot,Galaxy Compressor,,,,Primary Slot,Multiverse Nexus,,,true,Unlocked,Cooldown,,,00 | 120s | Cost 0 ? | Next 1 ?,,00 | 120s | Cost 0 ? | Next 1 ?,,00 | 120s | Cost 0 ? | Next 1 ?,,00 | 120s | Cost 0 ? | Next 1 ?,,00 | 120s | Cost 0 ? | Next 1 ?,Tier 6,8252,5045,6048,5001,5040,,,Gems,349.37K,Golden Tower Bonus,Defense %,Chain Lightning Damage,,,Modules,eHP GComp Farm,GC GComp OC,eHP GComp Farm,Utility Disco GC,,
Buy Multiplier,4,,4,,Damage / Meter,200,200,180,200,0,,0,,0,,200,Attack Speed +,1.2,20,20,0,0,0,100,UW+,,Cover Fire,Locked,Lo | Locked,,Slow Aura,7,false,Damage,Wave Skip,Health Regen,Ultimate Crit,,Misc.,,,Cards Section,false,,,Cooldown,00 | 120s | Cost 0 ? | Next 100 ?,false,00 | 120s | Cost 0 ? | Next 100 ?,false,00 | 120s | Cost 0 ? | Next 100 ?,false,00 | 120s | Cost 0 ? | Next 100 ?,false,00 | 120s | Cost 0 ? | Next 100 ?,false,Assist Slot,,,,,Assist Slot,Orbital Augment,,,,Assist Slot,Black Hole Digestor,,,,Assist Slot,Primordial Collapse,,,Bounty,,Multiplier,0.3000000000000001,true,29 | 0.30x | Cost 29 ? | Next 30 ?,false,00 | 0.01x | Cost 0 ? | Next 1 ?,false,00 | 0.01x | Cost 0 ? | Next 1 ?,false,00 | 0.01x | Cost 0 ? | Next 1 ?,false,00 | 0.01x | Cost 0 ? | Next 1 ?,Tier 7,7854,5021,7551,5301,5001,true,,Keys,3,Wave on Death Wave (Effect Wave),Health Regen / - Health,- Enemies Speed / Enemies Damage,,,Guardians,Farming,Tourney,Tourney,Tourney,,
More Round Stats,1,,1,true,Multishot Chance,99,99,99,99,0,,0,,0,,99,Health +,1.8399999999999999,84,100,0,0,0,600,Death Wave,,Damage,85,09 | x85 | Cost 53 ? | Next 61 ?,,Critical Chance,7,false,Wave Skip,Health Regen,Wave Skip,Damage,,Lab Speed,0.5299999999999999,,Additional Card Slot,0,,,Linger,00 | 20% | Cost 0 ? | Next 100 ?,,00 | 20% | Cost 0 ? | Next 100 ?,,00 | 20% | Cost 0 ? | Next 100 ?,,00 | 20% | Cost 0 ? | Next 100 ?,,00 | 20% | Cost 0 ? | Next 100 ?,,,,,,,,,,,,,,,,,,,,,,,Cooldown,100,,20 | 100s | Cost 40 ? | Next 42 ?,,00 | 120s | Cost 0 ? | Next 2 ?,,00 | 120s | Cost 0 ? | Next 2 ?,,00 | 120s | Cost 0 ? | Next 2 ?,,00 | 120s | Cost 0 ? | Next 2 ?,Tier 8,8119,5002,5509,7538,5083,,,Coin / Hour,1.23q,All Coin Bonus,Max Health,Chrono Field Duration,,,Perks,Farming,Farming,eHP Milestone,GC Milestone,,
Target Priority,2,,2,,Multishot Targets,7,7,7,7,0,,0,,0,,7,Health Regen +,2,100,130,0,0,0,600,,,Quantity,3,02 | #3 | Cost 500 ? | Next 850 ?,,Enemy Balance,7,false,Ultimate Crit,Wave Accelerator,Demon Mode,Berserker,,Bot Range,10,,Charge Berzerker,0,,,Range,00 | 25m | Cost 0 ? | Next 100 ?,Sync,00 | 25m | Cost 0 ? | Next 100 ?,Sync,00 | 25m | Cost 0 ? | Next 100 ?,Sync,00 | 25m | Cost 0 ? | Next 100 ?,Sync,00 | 25m | Cost 0 ? | Next 100 ?,Sync,GC GComp OC,,,,,GC GComp OC,,,,,GC GComp OC,,,,,GC GComp OC,,,,true,Unlocked,Targets,5,,04 | 5 | Cost 400 ? | Next 500 ?,,00 | 1 | Cost 0 ? | Next 100 ?,,00 | 1 | Cost 0 ? | Next 100 ?,,00 | 1 | Cost 0 ? | Next 100 ?,,00 | 1 | Cost 0 ? | Next 100 ?,Tier 9,7039,7039,6191,5031,5034,,,,,Free Upgrade Chance for all,Health Regen,Spotlight Damage Bonus,,,,,,,,,
