,,=Sum(C$5:C54),,,=Sum(F$5:F54),,=Sum(H$5:H54),,=Sum(J$5:J54),,,,,=Sum(O$5:O54),,=Sum(Q$5:Q54),,=Sum(S$5:S54),,,,,=Sum(X$5:X54),,=Sum(Z$5:Z54),,=Sum(AB$5:AB54),,,,,=Sum(AG$5:AG54),,=Sum(AI$5:AI54),,=Sum(AK$5:AK54),,,
,,,,,,,,,,,=Sum(L$5:L54),,,,,,,,,=Sum(U$5:U54),,,,,,,,,=Sum(AD$5:AD54),,,,,,,,,=Sum(AM$5:AM54),
=Images!$J$3,Unlock Costs per Bot,,=Images!$B$4,Flame Bot,,,,,,,,=Images!$B$5,Thunder Bot,,,,,,,,=Images!$B$3,Golden Bot,,,,,,,,=Images!$B$2,Amplify Bot,,,,,,,,
,# Bots,Cost,,Damage R.,Cost,Cooldown,Cost,Damage,Cost,Range,Cost,,Duration,Cost,Cooldown,Cost,Linger,Cost,Range,Cost,,Duration,Cost,Cooldown,Cost,Bonus,Cost,Range,Cost,,Duration,Cost,Cooldown,Cost,Bonus,Cost,Range,Cost,
BOT UNLOCKS,0.0,0.0,FLAME BOT,0.2,0.0,75.0,0.0,50.0,0.0,30.0,0.0,THUNDER BOT,5.0,0.0,120.0,0.0,0.2,0.0,25.0,0.0,GOLDEN BOT,20.0,0.0,120.0,0.0,2.0,0.0,20.0,0.0,AMPLIFY BOT,20.0,0.0,120.0,0.0,3.5,0.0,25.0,0.0,
,1.0,150.0,,=E5+3%,100.0,=G5-3,100.0,=I5+8,100.0,=K5+4,100.0,,=N5+0.5,100.0,=P5-3,100.0,=R5+3%,100.0,=T5+3,100.0,,=W5+0.5,100.0,=Y5-3,100.0,=AA5+0.2,100.0,=AC5+2,100.0,,=AF5+0.5,100.0,=AH5-3,100.0,=AJ5+0.4,100.0,=AL5+2,100.0,
,2.0,300.0,,=E6+3%,140.0,=G6-3,140.0,=I6+8,140.0,=K6+4,140.0,,=N6+0.5,140.0,=P6-3,140.0,=R6+3%,140.0,=T6+3,140.0,,=W6+0.5,140.0,=Y6-3,140.0,=AA6+0.2,140.0,=AC6+2,140.0,,=AF6+0.5,140.0,=AH6-3,140.0,=AJ6+0.4,140.0,=AL6+2,140.0,
,3.0,600.0,,=E7+3%,180.0,=G7-3,180.0,=I7+8,180.0,=K7+4,180.0,,=N7+0.5,180.0,=P7-3,180.0,=R7+3%,180.0,=T7+3,180.0,,=W7+0.5,180.0,=Y7-3,180.0,=AA7+0.2,180.0,=AC7+2,180.0,,=AF7+0.5,180.0,=AH7-3,180.0,=AJ7+0.4,180.0,=AL7+2,180.0,
,4.0,900.0,,=E8+3%,220.0,=G8-3,220.0,=I8+8,220.0,=K8+4,220.0,,=N8+0.5,220.0,=P8-3,220.0,=R8+3%,220.0,=T8+3,220.0,,=W8+0.5,220.0,=Y8-3,220.0,=AA8+0.2,220.0,=AC8+2,220.0,,=AF8+0.5,220.0,=AH8-3,220.0,=AJ8+0.4,220.0,=AL8+2,220.0,
,,,,=E9+3%,260.0,=G9-3,260.0,=I9+8,260.0,=K9+4,260.0,,=N9+0.5,260.0,=P9-3,260.0,=R9+3%,260.0,=T9+3,260.0,,=W9+0.5,260.0,=Y9-3,260.0,=AA9+0.2,260.0,=AC9+2,260.0,,=AF9+0.5,260.0,=AH9-3,260.0,=AJ9+0.4,260.0,=AL9+2,260.0,
,,,,=E10+3%,300.0,=G10-3,300.0,=I10+8,300.0,=K10+4,300.0,,=N10+0.5,300.0,=P10-3,300.0,=R10+3%,300.0,=T10+3,300.0,,=W10+0.5,300.0,=Y10-3,300.0,=AA10+0.2,300.0,=AC10+2,300.0,,=AF10+0.5,300.0,=AH10-3,300.0,=AJ10+0.4,300.0,=AL10+2,300.0,
,,,,=E11+3%,340.0,=G11-3,340.0,=I11+8,340.0,=K11+4,340.0,,=N11+0.5,340.0,=P11-3,340.0,=R11+3%,340.0,=T11+3,340.0,,=W11+0.5,340.0,=Y11-3,340.0,=AA11+0.2,340.0,=AC11+2,340.0,,=AF11+0.5,340.0,=AH11-3,340.0,=AJ11+0.4,340.0,=AL11+2,340.0,
