provenance,source_page,level,medal_cost,damage_reduction_pct,cooldown_seconds,damage_multiplier_x,range_meters
wiki_fact,Flame_Bot,1,100,23,72,58,34
wiki_fact,Flame_Bot,2,140,26,69,66,38
wiki_fact,Flame_Bot,3,180,29,66,74,42
wiki_fact,Flame_Bot,4,220,32,63,82,46
wiki_fact,Flame_Bot,5,260,35,60,90,50
wiki_fact,Flame_Bot,6,300,38,57,98,54
wiki_fact,Flame_Bot,7,340,41,54,106,58
wiki_fact,Flame_Bot,8,380,44,51,114,62
wiki_fact,Flame_Bot,9,420,47,48,122,66
wiki_fact,Flame_Bot,10,460,50,45,130,70
wiki_fact,Flame_Bot,11,500,53,42,138,74
wiki_fact,Flame_Bot,12,540,56,39,146,78
wiki_fact,Flame_Bot,13,580,59,36,154,82
wiki_fact,Flame_Bot,14,620,62,33,162,86
wiki_fact,Flame_Bot,15,660,65,30,170,90
wiki_fact,Flame_Bot,16,700,68,,178,
wiki_fact,Flame_Bot,17,740,71,,186,
wiki_fact,Flame_Bot,18,780,74,,194,
wiki_fact,Flame_Bot,19,820,77,,202,
wiki_fact,Flame_Bot,20,860,80,,210,
wiki_fact,Flame_Bot,21,900,83,,218,
wiki_fact,Flame_Bot,22,940,86,,226,
wiki_fact,Flame_Bot,23,980,89,,234,
wiki_fact,Flame_Bot,24,1020,92,,242,
wiki_fact,Flame_Bot,25,1060,95,,250,
wiki_fact,Flame_Bot,26,1100,,,258,
wiki_fact,Flame_Bot,27,1140,,,266,
wiki_fact,Flame_Bot,28,1180,,,274,
wiki_fact,Flame_Bot,29,1220,,,282,
wiki_fact,Flame_Bot,30,1260,,,290,
