level,cost_medals,duration_seconds,cooldown_seconds,linger_slow_pct,range_m,source_status,notes
1,100,5.5,117,23%,28,live_wiki_row_verified,
2,140,6.0,114,26%,31,live_wiki_row_verified,
3,180,6.5,111,29%,34,live_wiki_row_verified,
4,220,7.0,108,32%,37,live_wiki_row_verified,
5,260,7.5,105,35%,40,live_wiki_row_verified,
6,300,8.0,102,38%,43,live_wiki_row_verified,
7,340,8.5,99,41%,46,live_wiki_row_verified,
8,380,9.0,96,44%,49,live_wiki_row_verified,
9,420,9.5,93,47%,52,live_wiki_row_verified,
10,460,10.0,90,50%,55,live_wiki_row_verified,
11,500,10.5,87,53%,58,live_wiki_row_verified,
12,540,11.0,84,56%,61,live_wiki_row_verified,
13,580,11.5,81,59%,64,live_wiki_row_verified,
14,620,12.0,78,62%,67,live_wiki_row_verified,
15,660,12.5,75,65%,70,live_wiki_row_verified,
16,700,13.0,,68%,,live_wiki_row_verified,cooldown/range columns omitted on source page after stat caps
17,740,13.5,,71%,,live_wiki_row_verified,cooldown/range columns omitted on source page after stat caps
18,780,14.0,,74%,,live_wiki_row_verified,cooldown/range columns omitted on source page after stat caps
19,820,14.5,,77%,,live_wiki_row_verified,cooldown/range columns omitted on source page after stat caps
20,860,15.0,,80%,,live_wiki_row_verified,cooldown/range columns omitted on source page after stat caps
