Rarity,Name,Description,Lv. 1,Lv. 2,Lv. 3,Lv. 4,Lv. 5,Lv. 6,Lv. 7
Epic,Death Ray,"A powerful ray that destroys enemies on contact (except bosses), with a duration of # sec",2.3 sec,2.7 sec,3.1 sec,3.5 sec,3.9 sec,4.4 sec,4.9 sec
Epic,Energy Net,Fire a special net at a boss immobilizing it for # sec,2.5 sec,2.8 sec,3.1 sec,3.4 sec,3.7 sec,4.0 sec,4.3 sec
Epic,Super Tower,"The tower becomes super for 15 seconds, tower damage increased by x # (30 sec cooldown)",2.5,2.9,3.3,3.7,4.1,4.5,5.0
Epic,Second Wind,Revive the tower with half health once per round and creates an invincible shield for [x] sec,10 sec,15 sec,20 sec,25 sec,30 sec,35 sec,40 sec
Epic,Demon Mode,"Once per round, activate Demon mode, increasing the damage by x3 and becoming invincible for [x] sec",180 sec,200 sec,220 sec,240 sec,260 sec,280 sec,300 sec
Epic,Energy Shield,"Shield that ignores a single attack, replenishes after [x] min",20 min,18 min,16 min,14 min,12 min,10 min,8 min
Epic,Wave Accelerator,Reduce the cooldown between waves by [x],30%,34%,38%,42%,46%,50%,54%
Epic,Berserker,Increase damage by [x] of total damage absorbed this round (max of x8 tower damage),0.8%,0.9%,1.0%,1.1%,1.2%,1.3%,1.4%
Epic,Ultimate Crit,Ultimate weapons gain a [x] chance to deal critical damage of [Tower critical factor],1%,1.33%,1.66%,2%,2.33%,2.66%,3%
Epic,Nuke,Destroys [x] of enemies.,25%,35%,45%,55%,65%,80%,100%
Epic,Area of Effect,"Increase area of effect damage for Inner Land Mine, Poison Swamp, Smart Missile, Flame Bot, and Land Mine by [x]",5%,8%,11%,14%,17%,20%,25%
