card_id,canonical_name,rarity,description,base_level,raw_value,unit,source_surface,source_url,verification_status
DAMAGE,Damage,common,Increase tower damage by x #,1,1.5,raw_number,kb/cards/sources/raw/repo-cache/wiki/cards-common.csv,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,bundled_wiki_cache_row_verified_and_live_wiki_spot_checked_2026-03-14
DAMAGE,Damage,common,Increase tower damage by x #,2,2.0,raw_number,kb/cards/sources/raw/repo-cache/wiki/cards-common.csv,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,bundled_wiki_cache_row_verified_and_live_wiki_spot_checked_2026-03-14
DAMAGE,Damage,common,Increase tower damage by x #,3,2.4,raw_number,kb/cards/sources/raw/repo-cache/wiki/cards-common.csv,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,bundled_wiki_cache_row_verified_and_live_wiki_spot_checked_2026-03-14
DAMAGE,Damage,common,Increase tower damage by x #,4,2.8,raw_number,kb/cards/sources/raw/repo-cache/wiki/cards-common.csv,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,bundled_wiki_cache_row_verified_and_live_wiki_spot_checked_2026-03-14
DAMAGE,Damage,common,Increase tower damage by x #,5,3.2,raw_number,kb/cards/sources/raw/repo-cache/wiki/cards-common.csv,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,bundled_wiki_cache_row_verified_and_live_wiki_spot_checked_2026-03-14
DAMAGE,Damage,common,Increase tower damage by x #,6,3.6,raw_number,kb/cards/sources/raw/repo-cache/wiki/cards-common.csv,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,bundled_wiki_cache_row_verified_and_live_wiki_spot_checked_2026-03-14
DAMAGE,Damage,common,Increase tower damage by x #,7,4.0,raw_number,kb/cards/sources/raw/repo-cache/wiki/cards-common.csv,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,bundled_wiki_cache_row_verified_and_live_wiki_spot_checked_2026-03-14
ATTACK_SPEED,Attack Speed,common,Increase tower attack speed by x #,1,1.25,raw_number,kb/cards/sources/raw/repo-cache/wiki/cards-common.csv,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,bundled_wiki_cache_row_verified_and_live_wiki_spot_checked_2026-03-14
ATTACK_SPEED,Attack Speed,common,Increase tower attack speed by x #,2,1.4,raw_number,kb/cards/sources/raw/repo-cache/wiki/cards-common.csv,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,bundled_wiki_cache_row_verified_and_live_wiki_spot_checked_2026-03-14
ATTACK_SPEED,Attack Speed,common,Increase tower attack speed by x #,3,1.55,raw_number,kb/cards/sources/raw/repo-cache/wiki/cards-common.csv,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,bundled_wiki_cache_row_verified_and_live_wiki_spot_checked_2026-03-14
ATTACK_SPEED,Attack Speed,common,Increase tower attack speed by x #,4,1.7,raw_number,kb/cards/sources/raw/repo-cache/wiki/cards-common.csv,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,bundled_wiki_cache_row_verified_and_live_wiki_spot_checked_2026-03-14
ATTACK_SPEED,Attack Speed,common,Increase tower attack speed by x #,5,1.85,raw_number,kb/cards/sources/raw/repo-cache/wiki/cards-common.csv,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,bundled_wiki_cache_row_verified_and_live_wiki_spot_checked_2026-03-14
ATTACK_SPEED,Attack Speed,common,Increase tower attack speed by x #,6,2.0,raw_number,kb/cards/sources/raw/repo-cache/wiki/cards-common.csv,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,bundled_wiki_cache_row_verified_and_live_wiki_spot_checked_2026-03-14
ATTACK_SPEED,Attack Speed,common,Increase tower attack speed by x #,7,2.15,raw_number,kb/cards/sources/raw/repo-cache/wiki/cards-common.csv,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,bundled_wiki_cache_row_verified_and_live_wiki_spot_checked_2026-03-14
HEALTH,Health,common,Increase tower health by x #,1,1.5,raw_number,kb/cards/sources/raw/repo-cache/wiki/cards-common.csv,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,bundled_wiki_cache_row_verified_and_live_wiki_spot_checked_2026-03-14
HEALTH,Health,common,Increase tower health by x #,2,2.0,raw_number,kb/cards/sources/raw/repo-cache/wiki/cards-common.csv,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,bundled_wiki_cache_row_verified_and_live_wiki_spot_checked_2026-03-14
HEALTH,Health,common,Increase tower health by x #,3,2.4,raw_number,kb/cards/sources/raw/repo-cache/wiki/cards-common.csv,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,bundled_wiki_cache_row_verified_and_live_wiki_spot_checked_2026-03-14
HEALTH,Health,common,Increase tower health by x #,4,2.8,raw_number,kb/cards/sources/raw/repo-cache/wiki/cards-common.csv,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,bundled_wiki_cache_row_verified_and_live_wiki_spot_checked_2026-03-14
HEALTH,Health,common,Increase tower health by x #,5,3.2,raw_number,kb/cards/sources/raw/repo-cache/wiki/cards-common.csv,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,bundled_wiki_cache_row_verified_and_live_wiki_spot_checked_2026-03-14
HEALTH,Health,common,Increase tower health by x #,6,3.6,raw_number,kb/cards/sources/raw/repo-cache/wiki/cards-common.csv,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,bundled_wiki_cache_row_verified_and_live_wiki_spot_checked_2026-03-14
HEALTH,Health,common,Increase tower health by x #,7,4.0,raw_number,kb/cards/sources/raw/repo-cache/wiki/cards-common.csv,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,bundled_wiki_cache_row_verified_and_live_wiki_spot_checked_2026-03-14
HEALTH_REGEN,Health Regen,common,Increase tower health regen by x # / sec,1,1.4,raw_number,kb/cards/sources/raw/repo-cache/wiki/cards-common.csv,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,bundled_wiki_cache_row_verified_and_live_wiki_spot_checked_2026-03-14
HEALTH_REGEN,Health Regen,common,Increase tower health regen by x # / sec,2,1.6,raw_number,kb/cards/sources/raw/repo-cache/wiki/cards-common.csv,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,bundled_wiki_cache_row_verified_and_live_wiki_spot_checked_2026-03-14
