card_id,layer,effect_name,target_surface,operation_type,value_capture_status,runtime_gate,provenance
DAMAGE,base_card,damage,tower.damage_multiplier,see owning ladder/value surface,active_base_ladder_surface,equipped_and_not_excluded_by_lock_rules,kb/cards/tables/card-base-ladders.csv
ATTACK_SPEED,base_card,attack_speed,tower.attack_speed_multiplier,see owning ladder/value surface,active_base_ladder_surface,equipped_and_not_excluded_by_lock_rules,kb/cards/tables/card-base-ladders.csv
HEALTH,base_card,health,tower.health_multiplier,see owning ladder/value surface,active_base_ladder_surface,equipped_and_not_excluded_by_lock_rules,kb/cards/tables/card-base-ladders.csv
COINS,base_card,coins,economy.coin_multiplier,see owning ladder/value surface,active_base_ladder_surface,equipped_and_not_excluded_by_lock_rules,kb/cards/tables/card-base-ladders.csv
SLOW_AURA,base_card,slow_aura,enemies.attack_speed_multiplier,see owning ladder/value surface,active_base_ladder_surface,equipped_and_not_excluded_by_lock_rules,kb/cards/tables/card-base-ladders.csv
EXTRA_DEFENSE,base_card,extra_defense,tower.defense_pct_bonus,see owning ladder/value surface,active_base_ladder_surface,equipped_and_not_excluded_by_lock_rules,kb/cards/tables/card-base-ladders.csv
FREE_UPGRADES,base_card,free_upgrades,free_upgrades.runtime_bonus,see owning ladder/value surface,active_base_ladder_surface,equipped_and_not_excluded_by_lock_rules,kb/cards/tables/card-base-ladders.csv
EXTRA_ORB,base_card,extra_orb,orbs.count_bonus,see owning ladder/value surface,active_base_ladder_surface,equipped_and_not_excluded_by_lock_rules,kb/cards/tables/card-base-ladders.csv
PLASMA_CANNON,base_card,plasma_cannon,plasma_cannon.runtime_effect,see owning ladder/value surface,active_base_ladder_surface,equipped_and_not_excluded_by_lock_rules,kb/cards/tables/card-base-ladders.csv
CRITICAL_CHANCE,base_card,critical_chance,tower.crit_chance_percent_points,see owning ladder/value surface,active_base_ladder_surface,equipped_and_not_excluded_by_lock_rules,kb/cards/tables/card-base-ladders.csv
CRITICAL_COIN,base_card,critical_coin,economy.critical_coin_bonus,see owning ladder/value surface,active_base_ladder_surface,equipped_and_not_excluded_by_lock_rules,kb/cards/tables/card-base-ladders.csv
WAVE_SKIP,base_card,wave_skip,waves.skip_chance,see owning ladder/value surface,active_base_ladder_surface,equipped_and_not_excluded_by_lock_rules,kb/cards/tables/card-base-ladders.csv
INTRO_SPRINT,base_card,intro_sprint,waves.intro_sprint_runtime,see owning ladder/value surface,active_base_ladder_surface,equipped_and_not_excluded_by_lock_rules,kb/cards/tables/card-base-ladders.csv
DAMAGE,mastery,Damage_mastery,Increases card stat multiplier,see mastery ladder values,active_mastery_ladder_surface,mastery_unlocked_and_card_equipped,https://the-tower-idle-tower-defense.fandom.com/wiki/Card_Masteries
ATTACK_SPEED,mastery,Attack Speed_mastery,Increases card stat multiplier,see mastery ladder values,active_mastery_ladder_surface,mastery_unlocked_and_card_equipped,https://the-tower-idle-tower-defense.fandom.com/wiki/Card_Masteries
HEALTH,mastery,Health_mastery,Increases card stat multiplier,see mastery ladder values,active_mastery_ladder_surface,mastery_unlocked_and_card_equipped,https://the-tower-idle-tower-defense.fandom.com/wiki/Card_Masteries
HEALTH_REGEN,mastery,Health Regen_mastery,Increases card stat multiplier,see mastery ladder values,active_mastery_ladder_surface,mastery_unlocked_and_card_equipped,https://the-tower-idle-tower-defense.fandom.com/wiki/Card_Masteries
RANGE,mastery,Range_mastery,Adds damage per meter bonus multiplier,see mastery ladder values,active_mastery_ladder_surface,mastery_unlocked_and_card_equipped,https://the-tower-idle-tower-defense.fandom.com/wiki/Card_Masteries
CASH,mastery,Cash_mastery,Adds chance for elites to drop reroll dice,percent_or_multiplier_by_mastery_level,active_mastery_ladder_surface,mastery_unlocked_and_card_equipped,https://the-tower-idle-tower-defense.fandom.com/wiki/Card_Masteries
COINS,mastery,Coins_mastery,Increases card stat multiplier,see mastery ladder values,active_mastery_ladder_surface,mastery_unlocked_and_card_equipped,https://the-tower-idle-tower-defense.fandom.com/wiki/Card_Masteries
SLOW_AURA,mastery,Slow Aura_mastery,Reduces enemy attack speed,see mastery ladder values,active_mastery_ladder_surface,mastery_unlocked_and_card_equipped,https://the-tower-idle-tower-defense.fandom.com/wiki/Card_Masteries
CRITICAL_CHANCE,mastery,Critical Chance_mastery,"Bonus to Crit Chance, super Crit chance, and Super Crit Factor",percent_or_multiplier_by_mastery_level,active_mastery_ladder_surface,mastery_unlocked_and_card_equipped,https://the-tower-idle-tower-defense.fandom.com/wiki/Card_Masteries
ENEMY_BALANCE,mastery,Enemy Balance_mastery,Chance for double elite spawn,percent_or_multiplier_by_mastery_level,active_mastery_ladder_surface,mastery_unlocked_and_card_equipped,https://the-tower-idle-tower-defense.fandom.com/wiki/Card_Masteries
EXTRA_DEFENSE,mastery,Extra Defense_mastery,Increases card stat multiplier,percent_or_multiplier_by_mastery_level,active_mastery_ladder_surface,mastery_unlocked_and_card_equipped,https://the-tower-idle-tower-defense.fandom.com/wiki/Card_Masteries
