card_mastery,stone_cost,description,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,provenance,verification_status
Damage,750,Increases card stat multiplier,x1.4,x1.8,x2.2,x2.6,x3,x3.4,x3.8,x4.2,x4.6,x5,https://the-tower-idle-tower-defense.fandom.com/wiki/Card_Masteries,live_wiki_row_verified_2026-03-14
Attack Speed,750,Increases card stat multiplier,x1.03,x1.06,x1.09,x1.12,x1.15,x1.18,x1.21,x1.24,x1.27,x1.3,https://the-tower-idle-tower-defense.fandom.com/wiki/Card_Masteries,live_wiki_row_verified_2026-03-14
Health,750,Increases card stat multiplier,x1.2,x1.4,x1.6,x1.8,x2,x2.2,x2.4,x2.6,x2.8,x3,https://the-tower-idle-tower-defense.fandom.com/wiki/Card_Masteries,live_wiki_row_verified_2026-03-14
Health Regen,750,Increases card stat multiplier,x1.4,x1.8,x2.2,x2.6,x3,x3.4,x3.8,x4.2,x4.6,x5,https://the-tower-idle-tower-defense.fandom.com/wiki/Card_Masteries,live_wiki_row_verified_2026-03-14
Range,750,Adds damage per meter bonus multiplier,x1.2,x1.4,x1.6,x1.8,x2,x2.2,x2.4,x2.6,x2.8,x3,https://the-tower-idle-tower-defense.fandom.com/wiki/Card_Masteries,live_wiki_row_verified_2026-03-14
Cash,500,Adds chance for elites to drop reroll dice,0.4%,0.8%,1.2%,1.6%,2%,2.4%,2.8%,3.2%,3.6%,4%,https://the-tower-idle-tower-defense.fandom.com/wiki/Card_Masteries,live_wiki_row_verified_2026-03-14
Coins,1250,Increases card stat multiplier,x1.03,x1.06,x1.09,x1.12,x1.15,x1.18,x1.21,x1.24,x1.27,x1.3,https://the-tower-idle-tower-defense.fandom.com/wiki/Card_Masteries,live_wiki_row_verified_2026-03-14
Slow Aura,1000,Reduces enemy attack speed,x1.05,x1.1,x1.15,x1.2,x1.25,x1.3,x1.35,x1.4,x1.45,x1.5,https://the-tower-idle-tower-defense.fandom.com/wiki/Card_Masteries,live_wiki_row_verified_2026-03-14
Critical Chance,750,"Bonus to Crit Chance, super Crit chance, and Super Crit Factor",+1%,+2%,+3%,+4%,+5%,+6%,+7%,+8%,+9%,+10%,https://the-tower-idle-tower-defense.fandom.com/wiki/Card_Masteries,live_wiki_row_verified_2026-03-14
Enemy Balance,1000,Chance for double elite spawn,6%,12%,18%,24%,30%,36%,42%,48%,54%,60%,https://the-tower-idle-tower-defense.fandom.com/wiki/Card_Masteries,live_wiki_row_verified_2026-03-14
Extra Defense,1000,Increases card stat multiplier,+0.7%,+1.4%,+2.1%,+2.8%,+3.5%,+4.2%,+4.9%,+5.6%,+6.3%,+7.0%,https://the-tower-idle-tower-defense.fandom.com/wiki/Card_Masteries,live_wiki_row_verified_2026-03-14
Fortress,750,Reduces wall rebuild time,-10s,-20s,-30s,-40s,-50s,-60s,-70s,-80s,-90s,-100s,https://the-tower-idle-tower-defense.fandom.com/wiki/Card_Masteries,live_wiki_row_verified_2026-03-14
Free Upgrades,500,Lock a stat from free ups,1,2,3,4,5,6,7,8,9,10,https://the-tower-idle-tower-defense.fandom.com/wiki/Card_Masteries,live_wiki_row_verified_2026-03-14
Extra Orb,750,Orb coin bonus,x1.04,x1.08,x1.12,x1.16,x1.2,x1.24,x1.28,x1.32,x1.36,x1.4,https://the-tower-idle-tower-defense.fandom.com/wiki/Card_Masteries,live_wiki_row_verified_2026-03-14
Plasma Cannon,1250,Percent of plasma cannon applied to elites,5%,10%,15%,20%,25%,30%,35%,40%,45%,50%,https://the-tower-idle-tower-defense.fandom.com/wiki/Card_Masteries,live_wiki_row_verified_2026-03-14
Critical Coin,1000,Chance of double coin drop on common enemies,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%,https://the-tower-idle-tower-defense.fandom.com/wiki/Card_Masteries,live_wiki_row_verified_2026-03-14
Wave Skip,1000,Chance to double wave skip,10%,15%,20%,25%,30%,35%,40%,45%,50%,55%,https://the-tower-idle-tower-defense.fandom.com/wiki/Card_Masteries,live_wiki_row_verified_2026-03-14
Intro Sprint,1250,Increases how many waves it's active,x1.8,x3.6,x5.4,x7.2,x9,x10.8,x12.6,x14.4,x16.2,x18,https://the-tower-idle-tower-defense.fandom.com/wiki/Card_Masteries,live_wiki_row_verified_2026-03-14
Land Mine Stun,1000,Chance stunned enemies will miss attacks,2.5%,5%,7.5%,10%,12.5%,15%,17.5%,20%,22.5%,25%,https://the-tower-idle-tower-defense.fandom.com/wiki/Card_Masteries,live_wiki_row_verified_2026-03-14
Package Chance,1000,Packages have a chance to drop common modules,0.4%,0.8%,1.2%,1.6%,2%,2.4%,2.8%,3.2%,3.6%,4%,https://the-tower-idle-tower-defense.fandom.com/wiki/Card_Masteries,live_wiki_row_verified_2026-03-14
Death Ray,750,Death ray partially pierces protector shield,5%,10%,15%,20%,25%,30%,35%,40%,45%,50%,https://the-tower-idle-tower-defense.fandom.com/wiki/Card_Masteries,live_wiki_row_verified_2026-03-14
Energy Net,750,Damage multi to bosses when trapped and 10s after,x2,x4,x6,x8,x10,x12,x14,x16,x18,x20,https://the-tower-idle-tower-defense.fandom.com/wiki/Card_Masteries,live_wiki_row_verified_2026-03-14
Super Tower,1000,"35% of super tower bonus is applied to Ultimate Weapons (UWs), reduces cooldown",-3s,-6s,-9s,-12s,-15s,-18s,-21s,-24s,-27s,-30s,https://the-tower-idle-tower-defense.fandom.com/wiki/Card_Masteries,live_wiki_row_verified_2026-03-14
Second Wind,1000,Increases HP regen for 400 waves when triggered,x1.9,x2.8,x3.7,x4.6,x5.5,x6.4,x7.3,x8.2,x9.1,x10,https://the-tower-idle-tower-defense.fandom.com/wiki/Card_Masteries,live_wiki_row_verified_2026-03-14
Demon Mode,1000,Lingering damage multi for 300 waves,x1.5,x2,x2.5,x3,x3.5,x4,x4.5,x5,x5.5,x6,https://the-tower-idle-tower-defense.fandom.com/wiki/Card_Masteries,live_wiki_row_verified_2026-03-14
Energy Shield,1000,Energy shield activates a blast that repels all enemies back by a percent of tower max range and destroys all enemy projectiles. The charge times of Rays are reset.,5%,10%,15%,20%,25%,30%,35%,40%,45%,50%,https://the-tower-idle-tower-defense.fandom.com/wiki/Card_Masteries,live_wiki_row_verified_2026-03-14
Wave Accelerator,1000,Increases spawn rate acceleration,110%,120%,130%,140%,150%,160%,170%,180%,190%,200%,https://the-tower-idle-tower-defense.fandom.com/wiki/Card_Masteries,live_wiki_row_verified_2026-03-14
Berserker,750,Increases damage cap from berserk to x500 for a limited time after death defy,30s,60s,90s,120s,150s,180s,210s,240s,270s,300s,https://the-tower-idle-tower-defense.fandom.com/wiki/Card_Masteries,live_wiki_row_verified_2026-03-14
Ultimate Crit,750,Increases UW crit chance,+0.3%,+0.7%,+1.0%,+1.3%,+1.7%,+2.0%,+2.3%,+2.7%,+3.0%,+3.3%,https://the-tower-idle-tower-defense.fandom.com/wiki/Card_Masteries,live_wiki_row_verified_2026-03-14
Nuke,750,Reduces enemy attack speed for 300 waves after Nuke use,5%,10%,15%,20%,25%,30%,35%,40%,45%,50%,https://the-tower-idle-tower-defense.fandom.com/wiki/Card_Masteries,live_wiki_row_verified_2026-03-14
Area of Effect,1000,Increases Area of Effect radius,2.5%,5%,7.5%,10%,12.5%,15%,17.5%,20%,22.5%,25%,https://the-tower-idle-tower-defense.fandom.com/wiki/Card_Masteries,live_wiki_row_verified_2026-03-14
