slot,gem_cost,source_url,verification_status
1,Free,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,live_wiki_row_verified_2026-03-14
2,50,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,live_wiki_row_verified_2026-03-14
3,100,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,live_wiki_row_verified_2026-03-14
4,200,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,live_wiki_row_verified_2026-03-14
5,300,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,live_wiki_row_verified_2026-03-14
6,400,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,live_wiki_row_verified_2026-03-14
7,500,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,live_wiki_row_verified_2026-03-14
8,600,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,live_wiki_row_verified_2026-03-14
9,750,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,live_wiki_row_verified_2026-03-14
10,1000,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,live_wiki_row_verified_2026-03-14
11,1200,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,live_wiki_row_verified_2026-03-14
12,1400,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,live_wiki_row_verified_2026-03-14
13,1600,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,live_wiki_row_verified_2026-03-14
14,1800,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,live_wiki_row_verified_2026-03-14
15,2500,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,live_wiki_row_verified_2026-03-14
16,3500,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,live_wiki_row_verified_2026-03-14
17,4500,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,live_wiki_row_verified_2026-03-14
18,5500,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,live_wiki_row_verified_2026-03-14
19,6500,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,live_wiki_row_verified_2026-03-14
20,7500,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,live_wiki_row_verified_2026-03-14
21,8500,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,live_wiki_row_verified_2026-03-14
22,10000,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,live_wiki_row_verified_2026-03-14
