enemy_class,mechanic,interaction_type,behavior,rule_confidence,notes
normal,orb_kill,susceptibility,affected,HIGH,Base case
normal,death_ray,susceptibility,affected,HIGH,Base case
normal,black_hole_pull,susceptibility,affected,HIGH,Base case
normal,black_hole_damage,susceptibility,affected,MEDIUM,Behavioral applicability only
normal,thorns,susceptibility,affected,HIGH,Base case
normal,shockwave,susceptibility,affected,HIGH,Base case
normal,knockback,susceptibility,affected,HIGH,Base case
boss,orb_kill,susceptibility,immune_except_boss_orb_hit_case,MEDIUM,Special exception case
boss,death_ray,susceptibility,immune,HIGH,
boss,black_hole_pull,susceptibility,immune,HIGH,
boss,thorns,resistance,0.5_effectiveness,HIGH,
boss,plasma_cannon,targeting,affected,HIGH,
boss,energy_net,targeting,affected,HIGH,
boss,oa_electrons,resistance,0.25_effectiveness,HIGH,Quarter-effective
elite,orb_kill,susceptibility,immune,HIGH,
elite,death_ray,susceptibility,immune,HIGH,
elite,black_hole_pull,susceptibility,immune,HIGH,
elite,shockwave,susceptibility,immune,HIGH,
elite,knockback,susceptibility,varies_by_subtype,MEDIUM,Subtype expansion deferred
fleet,orb_kill,susceptibility,immune,HIGH,
fleet,death_ray,susceptibility,immune,HIGH,
fleet,black_hole_pull,susceptibility,immune,HIGH,
fleet,black_hole_damage,susceptibility,immune,HIGH,
fleet,shockwave,susceptibility,immune,HIGH,
fleet,knockback,susceptibility,immune,HIGH,
fleet,thorns,resistance,0.1_effectiveness,HIGH,
fleet,chrono_field,resistance,0.5_effectiveness,HIGH,
fleet,poison_swamp_stun,resistance,0.5_effectiveness,HIGH,
fleet,plasma_cannon,targeting,cannot_target,HIGH,
fleet,oa_electrons,resistance,0.25_effectiveness,HIGH,Quarter-effective
