wave,surface,enemy_health,source_class,source_file
1,Tier 1,2.35,repo_raw_table,enemy_health_table.csv
10,Tier 1,18.36,repo_raw_table,enemy_health_table.csv
20,Tier 1,59.25,repo_raw_table,enemy_health_table.csv
30,Tier 1,143.36,repo_raw_table,enemy_health_table.csv
40,Tier 1,266.11,repo_raw_table,enemy_health_table.csv
50,Tier 1,477.47,repo_raw_table,enemy_health_table.csv
60,Tier 1,809.09,repo_raw_table,enemy_health_table.csv
70,Tier 1,1170.0,repo_raw_table,enemy_health_table.csv
80,Tier 1,1820.0,repo_raw_table,enemy_health_table.csv
90,Tier 1,2780.0,repo_raw_table,enemy_health_table.csv
100,Tier 1,4360.0,repo_raw_table,enemy_health_table.csv
150,Tier 1,17190.0,repo_raw_table,enemy_health_table.csv
200,Tier 1,54840.0,repo_raw_table,enemy_health_table.csv
250,Tier 1,142350.0,repo_raw_table,enemy_health_table.csv
300,Tier 1,323610.0,repo_raw_table,enemy_health_table.csv
400,Tier 1,1350000.0,repo_raw_table,enemy_health_table.csv
500,Tier 1,4530000.0,repo_raw_table,enemy_health_table.csv
750,Tier 1,65500000.0,repo_raw_table,enemy_health_table.csv
1000,Tier 1,742100000.0,repo_raw_table,enemy_health_table.csv
1250,Tier 1,5260000000.0,repo_raw_table,enemy_health_table.csv
1500,Tier 1,39090000000.0,repo_raw_table,enemy_health_table.csv
2000,Tier 1,1710000000000.0,repo_raw_table,enemy_health_table.csv
2500,Tier 1,50170000000000.0,repo_raw_table,enemy_health_table.csv
3000,Tier 1,1730000000000000.0,repo_raw_table,enemy_health_table.csv
3500,Tier 1,4.442e+16,repo_raw_table,enemy_health_table.csv
4500,Tier 1,3.062e+19,repo_raw_table,enemy_health_table.csv
5000,Tier 1,6.1826e+20,repo_raw_table,enemy_health_table.csv
5500,Tier 1,1.565e+22,repo_raw_table,enemy_health_table.csv
6000,Tier 1,3.3074e+23,repo_raw_table,enemy_health_table.csv
6500,Tier 1,7.02e+24,repo_raw_table,enemy_health_table.csv
7000,Tier 1,1.6524999999999998e+26,repo_raw_table,enemy_health_table.csv
7500,Tier 1,3.5400000000000006e+27,repo_raw_table,enemy_health_table.csv
8000,Tier 1,6.676000000000001e+28,repo_raw_table,enemy_health_table.csv
8500,Tier 1,1.5200000000000002e+30,repo_raw_table,enemy_health_table.csv
9000,Tier 1,3.172e+31,repo_raw_table,enemy_health_table.csv
9500,Tier 1,5.8337999999999994e+32,repo_raw_table,enemy_health_table.csv
10000,Tier 1,1.121e+34,repo_raw_table,enemy_health_table.csv
10500,Tier 1,2.1752e+35,repo_raw_table,enemy_health_table.csv
11000,Tier 1,4.67e+36,repo_raw_table,enemy_health_table.csv
11500,Tier 1,7.896e+37,repo_raw_table,enemy_health_table.csv
12000,Tier 1,1.6699999999999994e+39,repo_raw_table,enemy_health_table.csv
12500,Tier 1,2.646e+40,repo_raw_table,enemy_health_table.csv
13000,Tier 1,5.8662e+41,repo_raw_table,enemy_health_table.csv
13500,Tier 1,1.4300000000000002e+43,repo_raw_table,enemy_health_table.csv
14500,Tier 1,4.66e+45,repo_raw_table,enemy_health_table.csv
15000,Tier 1,7.879e+46,repo_raw_table,enemy_health_table.csv
15500,Tier 1,1.55e+48,repo_raw_table,enemy_health_table.csv
16000,Tier 1,2.7910000000000004e+49,repo_raw_table,enemy_health_table.csv
16500,Tier 1,5.308e+50,repo_raw_table,enemy_health_table.csv
17000,Tier 1,9.12e+51,repo_raw_table,enemy_health_table.csv
17500,Tier 1,1.7425999999999998e+53,repo_raw_table,enemy_health_table.csv
18000,Tier 1,3.53e+54,repo_raw_table,enemy_health_table.csv
18500,Tier 1,5.796e+55,repo_raw_table,enemy_health_table.csv
19000,Tier 1,1.11e+57,repo_raw_table,enemy_health_table.csv
19500,Tier 1,2.011e+58,repo_raw_table,enemy_health_table.csv
20000,Tier 1,3.3733e+59,repo_raw_table,enemy_health_table.csv
21000,Tier 1,1.494e+62,repo_raw_table,enemy_health_table.csv
22000,Tier 1,4.5070000000000003e+64,repo_raw_table,enemy_health_table.csv
23000,Tier 1,1.4009999999999998e+67,repo_raw_table,enemy_health_table.csv
24000,Tier 1,4.5e+69,repo_raw_table,enemy_health_table.csv
25000,Tier 1,1.35e+72,repo_raw_table,enemy_health_table.csv
30000,Tier 1,5.2300000000000014e+84,repo_raw_table,enemy_health_table.csv
35000,Tier 1,1.586e+97,repo_raw_table,enemy_health_table.csv
40000,Tier 1,4.339e+109,repo_raw_table,enemy_health_table.csv
45000,Tier 1,1.28e+122,repo_raw_table,enemy_health_table.csv
50000,Tier 1,3.1000000000000002e+134,repo_raw_table,enemy_health_table.csv
55000,Tier 1,9.36e+146,repo_raw_table,enemy_health_table.csv
60000,Tier 1,2.01e+159,repo_raw_table,enemy_health_table.csv
65000,Tier 1,5.5899999999999995e+171,repo_raw_table,enemy_health_table.csv
70000,Tier 1,1.31e+184,repo_raw_table,enemy_health_table.csv
75000,Tier 1,3.52e+196,repo_raw_table,enemy_health_table.csv
80000,Tier 1,7.03e+208,repo_raw_table,enemy_health_table.csv
85000,Tier 1,2.1499999999999998e+221,repo_raw_table,enemy_health_table.csv
90000,Tier 1,4.860000000000001e+233,repo_raw_table,enemy_health_table.csv
95000,Tier 1,9.28e+245,repo_raw_table,enemy_health_table.csv
100000,Tier 1,2.22e+258,repo_raw_table,enemy_health_table.csv
1,Tier 2,47.0,repo_raw_table,enemy_health_table.csv
10,Tier 2,367.13,repo_raw_table,enemy_health_table.csv
20,Tier 2,1180.0,repo_raw_table,enemy_health_table.csv
30,Tier 2,2870.0,repo_raw_table,enemy_health_table.csv
40,Tier 2,5320.0,repo_raw_table,enemy_health_table.csv
50,Tier 2,9550.0,repo_raw_table,enemy_health_table.csv
60,Tier 2,16180.0,repo_raw_table,enemy_health_table.csv
70,Tier 2,23330.0,repo_raw_table,enemy_health_table.csv
80,Tier 2,36470.0,repo_raw_table,enemy_health_table.csv
90,Tier 2,55620.0,repo_raw_table,enemy_health_table.csv
100,Tier 2,87290.0,repo_raw_table,enemy_health_table.csv
150,Tier 2,343710.0,repo_raw_table,enemy_health_table.csv
200,Tier 2,1100000.0,repo_raw_table,enemy_health_table.csv
250,Tier 2,2850000.0,repo_raw_table,enemy_health_table.csv
300,Tier 2,6470000.0,repo_raw_table,enemy_health_table.csv
400,Tier 2,26980000.0,repo_raw_table,enemy_health_table.csv
500,Tier 2,90500000.0,repo_raw_table,enemy_health_table.csv
750,Tier 2,1310000000.0,repo_raw_table,enemy_health_table.csv
1000,Tier 2,14840000000.0,repo_raw_table,enemy_health_table.csv
1250,Tier 2,105300000000.0,repo_raw_table,enemy_health_table.csv
1500,Tier 2,781860000000.0,repo_raw_table,enemy_health_table.csv
2000,Tier 2,34150000000000.0,repo_raw_table,enemy_health_table.csv
2500,Tier 2,1000000000000000.0,repo_raw_table,enemy_health_table.csv
3000,Tier 2,3.451e+16,repo_raw_table,enemy_health_table.csv
3500,Tier 2,8.8832e+17,repo_raw_table,enemy_health_table.csv
4500,Tier 2,6.1238e+20,repo_raw_table,enemy_health_table.csv
5000,Tier 2,1.237e+22,repo_raw_table,enemy_health_table.csv
5500,Tier 2,3.1301e+23,repo_raw_table,enemy_health_table.csv
6000,Tier 2,6.61e+24,repo_raw_table,enemy_health_table.csv
6500,Tier 2,1.4041e+26,repo_raw_table,enemy_health_table.csv
7000,Tier 2,3.3000000000000003e+27,repo_raw_table,enemy_health_table.csv
7500,Tier 2,7.084999999999999e+28,repo_raw_table,enemy_health_table.csv
8000,Tier 2,1.3400000000000002e+30,repo_raw_table,enemy_health_table.csv
8500,Tier 2,3.033e+31,repo_raw_table,enemy_health_table.csv
9000,Tier 2,6.3443e+32,repo_raw_table,enemy_health_table.csv
9500,Tier 2,1.1669999999999998e+34,repo_raw_table,enemy_health_table.csv
10000,Tier 2,2.2425e+35,repo_raw_table,enemy_health_table.csv
10500,Tier 2,4.35e+36,repo_raw_table,enemy_health_table.csv
11000,Tier 2,9.345e+37,repo_raw_table,enemy_health_table.csv
11500,Tier 2,1.58e+39,repo_raw_table,enemy_health_table.csv
12000,Tier 2,3.345e+40,repo_raw_table,enemy_health_table.csv
12500,Tier 2,5.2924e+41,repo_raw_table,enemy_health_table.csv
13000,Tier 2,1.173e+43,repo_raw_table,enemy_health_table.csv
13500,Tier 2,2.8603e+44,repo_raw_table,enemy_health_table.csv
14500,Tier 2,9.328e+46,repo_raw_table,enemy_health_table.csv
15000,Tier 2,1.5800000000000002e+48,repo_raw_table,enemy_health_table.csv
15500,Tier 2,3.107e+49,repo_raw_table,enemy_health_table.csv
16000,Tier 2,5.5824e+50,repo_raw_table,enemy_health_table.csv
16500,Tier 2,1.062e+52,repo_raw_table,enemy_health_table.csv
17000,Tier 2,1.8247e+53,repo_raw_table,enemy_health_table.csv
17500,Tier 2,3.4900000000000005e+54,repo_raw_table,enemy_health_table.csv
18000,Tier 2,7.055e+55,repo_raw_table,enemy_health_table.csv
18500,Tier 2,1.16e+57,repo_raw_table,enemy_health_table.csv
19000,Tier 2,2.225e+58,repo_raw_table,enemy_health_table.csv
19500,Tier 2,4.0212e+59,repo_raw_table,enemy_health_table.csv
20000,Tier 2,6.749999999999999e+60,repo_raw_table,enemy_health_table.csv
21000,Tier 2,2.9900000000000004e+63,repo_raw_table,enemy_health_table.csv
22000,Tier 2,9.013900000000001e+65,repo_raw_table,enemy_health_table.csv
23000,Tier 2,2.8012000000000003e+68,repo_raw_table,enemy_health_table.csv
24000,Tier 2,8.990000000000001e+70,repo_raw_table,enemy_health_table.csv
