wave_actual,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,Tier 10,Tier 11,Tier 12,Tier 13,Tier 14,Tier 15,Tier 16,Tier 17,Tier 18,Tier 19,Tier 20,Tier 21,Champion,Copper,Gold,Legend,Platinum,Silver
1,2.35,47.0,141.0,282.0,564.0,1130.0,2260.0,4510.0,13540.0,94750.0,6160000.0,3700000000.0,1850000000000.0,554299999999999.94,1.6629e+17,8.31e+18,2.4943e+20,6.24e+21,8.109999999999999e+24,9.73e+27,1.167e+31,12320000000.0,7.84,1880.0,8.3176e+20,15050.0,470.17
10,18.36,367.13,1100.0,2200.0,4410.0,8810.0,17620.0,35240.0,105730.0,747300.0,49050000.0,31970000000.0,18390000000000.0,6650000000000000.0,2.5e+18,1.2524e+20,3.76e+21,9.393000000000001e+22,1.2211e+26,1.4653000000000001e+29,1.7584e+32,387750000000.0,210.36,50490.0,5.553e+22,403890.0,12620.0
20,59.25,1180.0,3550.0,7110.0,14220.0,28440.0,56880.0,113760.0,341280.0,2430000.0,161300000.0,113600000000.0,73870000000000.0,3.1e+16,1.369e+19,6.845099999999999e+20,2.054e+22,5.1338e+23,6.674e+26,8.0088e+29,9.6105e+32,2080000000000.0,1020.0,245570.0,4.3863e+23,1960000.0,61390.0
30,143.36,2870.0,8600.0,17200.0,34410.0,68810.0,137620.0,275240.0,825730.0,5930000.0,395090000.0,292370000000.0,204700000000000.0,9.336e+16,4.485e+19,2.2400000000000003e+21,6.7269999999999994e+22,1.6799999999999998e+24,2.19e+27,2.62e+30,3.15e+33,6740000000000.0,3130.0,752340.0,1.74e+24,6020000.0,188090.0
40,266.11,5320.0,15970.0,31930.0,63870.0,127730.0,255470.0,510930.0,1530000.0,11050000.0,739830000.0,566700000000.0,417150000000000.0,2.0101e+17,1.0201e+20,5.1e+21,1.5300999999999997e+23,3.83e+24,4.97e+27,5.97e+30,7.16e+33,15330000000000.0,6880.0,1650000.0,4.5300000000000003e+24,13210000.0,412820.0
50,477.47,9550.0,28650.0,57300.0,114590.0,229180.0,458370.0,916740.0,2750000.0,19890000.0,1340000000.0,1050000000000.0,802450000000000.0,4.0262e+17,2.1271e+20,1.064e+22,3.1907e+23,7.98e+24,1.037e+28,1.244e+31,1.493e+34,32259999999999.996,14090.0,3380000.0,1.0539999999999998e+25,27060000.0,845660.0
60,809.09,16180.0,48550.0,97090.0,194180.0,388360.0,776720.0,1550000.0,4660000.0,33800000.0,2280000000.0,1830000000000.0,1440000000000000.0,7.4398e+17,4.0573e+20,2.029e+22,6.0859e+23,1.521e+25,1.9780000000000002e+28,2.374e+31,2.848e+34,62440000000000.0,26710.0,6410000.0,2.211e+25,51280000.0,1600000.0
70,1170.0,23330.0,70000.0,140000.0,279990.0,559980.0,1120000.0,2240000.0,6720000.0,48840000.0,3300000000.0,2690000000000.0,2170000000000000.0,1.1499999999999999e+18,6.4472e+20,3.224e+22,9.6708e+23,2.4179999999999997e+25,3.143e+28,3.772e+31,4.526e+34,101090000000000.0,42490.0,10200000.0,3.8299999999999997e+25,81580000.0,2550000.0
80,1820.0,36470.0,109420.0,218850.0,437700.0,875390.0,1750000.0,3500000.0,10500000.0,76480000.0,5170000000.0,4280000000000.0005,3520000000000000.0,1.91e+18,1.0900000000000001e+21,5.471e+22,1.64e+24,4.103e+25,5.334e+28,6.401000000000001e+31,7.6809999999999995e+34,175320000000000.0,72600.0,17420000.0,7.0359999999999995e+25,139380000.0,4360000.0
90,2780.0,55620.0,166860.0,333730.0,667460.0,1330000.0,2670000.0,5340000.0,16020000.0,116820000.0,7910000000.0,6630000000000.0,5540000000000000.0,3.07e+18,1.79e+21,8.958e+22,2.69e+24,6.719e+25,8.734e+28,1.0481e+32,1.2576999999999999e+35,293980000000000.0,120160.0,28840000.0,1.2408e+26,230710000.0,7210000.0
100,4360.0,87290.0,261880.0,523760.0,1050000.0,2100000.0,4190000.0000000005,8380000.000000001,25140000.0,183600000.0,12450000000.0,10550000000000.0,8960000000000001.0,5.04e+18,2.99e+21,1.4968e+23,4.49e+24,1.1226e+26,1.4594e+29,1.7513e+32,2.1015e+35,503940000000000.0,203620.0,48870000.0,2.2245e+26,390950000.0,12220000.0
150,17190.0,343710.0,1030000.0,2060000.0,4120000.0,8250000.0,16500000.0,33000000.0,98990000.0,726620000.0,49530000000.0,43660000000000.0,3.924e+16,2.352e+19,1.4890000000000002e+22,7.4446e+23,2.2329999999999997e+25,5.5834e+26,7.2585e+29,8.7101e+32,1.05e+36,4780000000000000.0,1850000.0,443860000.0,2.5e+27,3550000000.0,110970000.0
200,54840.0,1100000.0,3290000.0,6580000.0,13160000.0,26320000.0,52650000.0,105290000.0,315870000.0,2330000000.0,159160000000.0,144130000000000.0,1.3461000000000002e+17,8.423e+19,5.576e+22,2.79e+24,8.364e+25,2.09e+27,2.7200000000000004e+30,3.2599999999999993e+33,3.91e+36,2.103e+16,7900000.0,1890000000.0,1.241e+28,15160000000.0,473700000.0
250,142350.0,2850000.0,8540000.0,17080000.0,34170000.0,68330000.0,136660000.0,273320000.0,819960000.0,6060000000.0,415310000000.0,383790000000000.0,3.6903e+17,2.3863e+20,1.6349e+23,8.17e+24,2.4523e+26,6.13e+27,7.97e+30,9.56e+33,1.148e+37,1.2054e+17,44230000.0,10620000000.0,7.806000000000001e+28,84920000000.0,2650000000.0
300,323610.0,6470000.0,19420000.0,38830000.0,77670000.0,155330000.0,310670000.0,621330000.0,1860000000.0,13790000000.0,948050000000.0,890400000000000.0,8.7646e+17,5.82e+20,4.1000999999999996e+23,2.05e+25,6.1500999999999996e+26,1.5380000000000002e+28,1.9989999999999998e+31,2.399e+34,2.878e+37,3.6022e+17,129729999.99999999,31130000000.0,2.5152e+29,249080000000.0,7780000000.0
